Cluster,Posts,E-E-A-T Depth,Humanization,Conversion,Comparison Quality,Trust Intensity,Citation Readiness,Practical Usefulness,Overall Authority
Dog Toys,5,88.0,99.0,83.0,100.0,98.0,90.0,82.0,91.4
Dog Food,5,92.0,87.0,85.0,100.0,96.0,94.0,83.0,91.0
Dog Health,5,88.0,91.0,88.0,100.0,98.0,87.0,82.0,90.6
Dog Training,5,88.0,96.0,76.0,93.0,98.0,91.0,77.0,88.4
Cat Toys,5,90.0,85.0,73.0,76.0,88.0,91.0,74.0,82.4
Cat Supplies,5,88.0,95.0,80.0,80.0,96.0,91.0,83.0,87.6
Dog Grooming,5,84.0,83.0,56.0,20.0,86.0,72.0,65.0,66.6
Dog Harnesses,5,82.0,81.0,71.0,85.0,94.0,88.0,64.0,80.7
Dog Beds,5,88.0,86.0,76.0,73.0,96.0,86.0,72.0,82.4
Puppy Care,2,95.0,92.5,70.0,90.0,100.0,95.0,82.5,89.3
