date,cluster,pethub_score,top_competitor,top_competitor_score,status,movement,prev_month_pethub_score,prev_month_status,score_change
2026-05-29,Dog Food,87.7,Pets at Home,69.2,WINNING,BASELINE,,,
2026-05-29,Dog Health,86.2,Purina,58.7,WINNING,BASELINE,,,
2026-05-29,Dog Beds,88.8,Pets at Home,65.2,WINNING,BASELINE,,,
2026-05-29,Dog Care,87.8,Pets at Home,59.2,WINNING,BASELINE,,,
2026-05-29,Dog Supplies,83.2,Pets at Home,65.2,WINNING,BASELINE,,,
2026-05-29,Dog Toys,87.2,Pets at Home,65.2,WINNING,BASELINE,,,
2026-05-29,Cat Supplies,85.2,Cats.com,87.9,COMPETITIVE,BASELINE,,,
2026-05-29,Cat Toys,84.7,Cats.com,87.9,COMPETITIVE,BASELINE,,,
2026-05-29,Dog Harnesses,86.8,Pets at Home,63.2,WINNING,BASELINE,,,
2026-05-29,Training Supplies,88.3,Pets at Home,61.2,WINNING,BASELINE,,,
2026-05-29,Puppy Care,89.3,Pets at Home,59.2,WINNING,BASELINE,,,
2026-05-29,Indoor Cats,83.8,Cats.com,87.9,COMPETITIVE,BASELINE,,,
2026-05-29,Pet Care,83.2,Cats.com,63.2,WINNING,BASELINE,,,
2026-05-29,Uncategorized,84.8,Cats.com,53.4,WINNING,BASELINE,,,
