id,title,cluster,comparison_added,checklist_added,next_steps_added,status
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Beds,False,True,True,updated
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,False,True,True,updated
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,False,True,True,updated
4783,How to Choose the Right Dog Bed Size,Dog Beds,False,True,True,updated
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,False,True,True,updated
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,False,True,True,updated
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,False,True,True,updated
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,False,True,True,updated
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,False,False,False,already_complete
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,True,True,True,updated
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,False,False,False,already_complete
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,False,False,False,already_complete
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,False,False,False,already_complete
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,True,True,True,updated
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,False,True,True,updated
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,False,True,True,updated
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,False,True,True,updated
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,False,True,True,updated
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,False,True,True,updated
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Dog Harnesses,False,True,True,updated
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Dog Harnesses,False,True,True,updated
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Harnesses,False,True,True,updated
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Harnesses,False,True,True,updated
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Harnesses,False,True,True,updated
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,False,True,True,updated
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,False,True,True,updated
