id,title,cluster,answer_superiority,extraction_superiority,comparison_superiority,trust_superiority,usefulness_superiority,ai_preference_score
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,96.7,90,95,100,90,94.3
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,96.7,90,90,100,90,93.3
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,96.7,90,90,100,90,93.3
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,96.7,90,90,100,90,93.3
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,96.7,90,85,100,90,92.3
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,96.7,90,85,100,90,92.3
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,96.7,90,85,100,90,92.3
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,96.7,90,85,100,90,92.3
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,96.7,90,85,100,90,92.3
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Training Supplies,96.7,90,95,100,90,94.3
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,96.7,90,95,100,90,94.3
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,96.7,90,95,100,90,94.3
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,96.7,90,85,100,90,92.3
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,96.7,90,80,100,90,91.3
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,96.7,90,80,100,90,91.3
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,96.7,90,80,100,90,91.3
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Training Supplies,96.7,90,80,100,90,91.3
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,96.7,90,75,100,90,90.3
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,96.7,90,75,100,90,90.3
4791,How to Choose the Right Dog Training Treats,Training Supplies,96.7,90,75,100,90,90.3
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,96.7,90,75,100,90,90.3
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,96.7,90,75,100,90,90.3
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,96.7,90,75,100,90,90.3
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,96.7,90,75,100,90,90.3
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,96.7,90,75,100,90,90.3
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,96.7,90,75,100,90,90.3
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,96.7,90,75,100,90,90.3
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,96.7,90,75,100,90,90.3
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,96.7,90,75,100,90,90.3
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,96.7,90,75,100,90,90.3
