id,title,cluster,blocks_added,comparison_tables_added,trust_refs_added,glossary_added,practical_enhanced,extractability_enhanced,status
3836,Best Dog Food UK (2026) – Complete Buying Guide,Dog Food,,0,0,0,0,0,blocks_already_present
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,,0,0,0,0,0,blocks_already_present
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,,0,0,0,0,0,blocks_already_present
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,,0,0,0,0,0,blocks_already_present
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Food,,0,0,0,0,0,blocks_already_present
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,,0,0,0,0,0,blocks_already_present
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,,0,0,0,0,0,blocks_already_present
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,,0,0,0,0,0,blocks_already_present
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,,0,0,0,0,0,blocks_already_present
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Food,,0,0,0,0,0,blocks_already_present
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Food,why_sources,0,1,0,0,0,updated
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,,0,0,0,0,0,blocks_already_present
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,,0,0,0,0,0,blocks_already_present
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,why_sources,0,1,0,0,0,updated
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,research_sources|why_sources,0,2,0,0,0,updated
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,,0,0,0,0,0,blocks_already_present
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,research_sources,0,1,0,0,0,updated
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,research_sources|why_sources,0,2,0,0,0,updated
4783,How to Choose the Right Dog Bed Size,Dog Beds,research_sources,0,1,0,0,0,updated
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,research_sources|why_sources,0,2,0,0,0,updated
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,why_sources,0,1,0,0,0,updated
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,research_sources|why_sources,0,2,0,0,0,updated
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,why_sources,0,1,0,0,0,updated
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,research_sources|why_sources,0,2,0,0,0,updated
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,,0,0,0,0,0,blocks_already_present
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,research_sources|why_sources,0,2,0,0,0,updated
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,research_sources|why_sources,0,2,0,0,0,updated
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,why_sources,0,1,0,0,0,updated
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,,0,0,0,0,0,blocks_already_present
4785,How to Wash and Maintain Your Dog’s Bed,Dog Beds,research_sources|why_sources,0,2,0,0,0,updated
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,research_sources|why_sources,0,2,0,0,0,updated
4568,Dog Dental Health: A Practical Care Guide,Dog Health,why_sources,0,1,0,0,0,updated
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,research_sources,0,1,0,0,0,updated
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,why_sources,0,1,0,0,0,updated
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Dog Care,why_sources,0,1,0,0,0,updated
7341,First Week with a New Puppy: A Day-by-Day Guide,Dog Care,why_sources,0,1,0,0,0,updated
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,why_sources,0,1,0,0,0,updated
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,why_sources,0,1,0,0,0,updated
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,research_sources|why_sources,0,2,0,0,0,updated
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,why_sources,0,1,0,0,0,updated
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,why_sources,0,1,0,0,0,updated
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,research_sources|why_sources,0,2,0,0,0,updated
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,why_sources,0,1,0,0,0,updated
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,research_sources|why_sources,0,2,0,0,0,updated
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,research_sources|why_sources,0,2,0,0,0,updated
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,research_sources|why_sources|glossary,0,2,1,0,0,updated
4786,Where to Place Your Dog’s Bed: Location and Comfort Tips,Dog Beds,research_sources|why_sources,0,2,0,0,0,updated
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,research_sources,0,1,0,0,0,updated
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,research_sources|why_sources,0,2,0,0,0,updated
