area,metric,current_value,target,gap,finding,source,impact,fix_complexity,requires_approval,generated_at,source_server,git_commit_hash,generated_by,data_source_label,approval_status,next_action
Server Response,TTFB,1.379s,<0.8s,0.579s above target,WordPress.com managed hosting uses Batcache. TTFB depends on cache status (HIT vs STALE vs MISS). Limited server-side control on managed hosting. HSTS and nginx are correctly configured.,EXTERNAL SEO SNAPSHOT,MEDIUM,HIGH - hosting constraint,YES for hosting changes,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_performance_analysis,Address render-blocking CSS and evaluate JS deferral
First Paint,FCP,1.976s,<1.8s,0.176s above target,Marginally above target. Driven by TTFB + render-blocking CSS. Three stylesheets loaded in head block first paint. GTM initialization adds ~100ms.,EXTERNAL SEO SNAPSHOT,LOW,MEDIUM,YES,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_performance_analysis,Address render-blocking CSS and evaluate JS deferral
Largest Paint,LCP,2.04s,<2.5s,PASSES - 0.46s under target,LCP is within Good range. Hero image (1536x1024) served via wp.com CDN. Lazy loading correctly disabled on above-fold images.,EXTERNAL SEO SNAPSHOT,NONE,N/A,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_performance_analysis,Address render-blocking CSS and evaluate JS deferral
Layout Stability,CLS,0.0000,<0.1,PASSES - perfect score,All 21 images have explicit width/height attributes. No layout shift detected. Excellent.,EXTERNAL SEO SNAPSHOT,NONE,N/A,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_performance_analysis,Address render-blocking CSS and evaluate JS deferral
Total Size,Page Weight,1.06MB,<1MB,0.06MB above target,"Slightly above 1MB. JS (522KB) is largest contributor, followed by images (505KB). HTML is well compressed at 43.47KB with Brotli.",EXTERNAL SEO SNAPSHOT,LOW,MEDIUM,YES for script changes,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_performance_analysis,Address render-blocking CSS and evaluate JS deferral
JavaScript,JS Weight,522KB,<400KB,122KB above target,"6 scripts identified: GTM (analytics - required), bilmur (WP.com metrics), Astra frontend + Site Kit consent (combined), WP Consent API, Complianz GDPR (required for compliance), Jetpack Carousel (potentially unnecessary). Cannot remove consent/GDPR scripts.",LIVE SERVER AUDIT,MEDIUM,MEDIUM,YES,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_performance_analysis,Address render-blocking CSS and evaluate JS deferral
Images,Image Weight,505KB,<400KB,105KB above target,21 images on homepage. All served through wp.com CDN (Photon) which handles WebP conversion and resizing. Some 1254x1254 images could be served at smaller display dimensions.,LIVE SERVER AUDIT,LOW,LOW,"NO for CSS, YES for image replacement",2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_performance_analysis,Address render-blocking CSS and evaluate JS deferral
Requests,HTTP Requests,25,<20,5 above target,"WordPress.com already concatenates static files. 21 images + bundled JS/CSS. Largest savings would come from reducing image count (e.g., lazy-loading below-fold images more aggressively) or removing unnecessary scripts.",EXTERNAL SEO SNAPSHOT + LIVE AUDIT,LOW,MEDIUM,YES for layout changes,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_performance_analysis,Address render-blocking CSS and evaluate JS deferral
Compression,Brotli,Active,Active,PASSES,Brotli compression is active. HTML compressed to 43.47KB. CSS and JS also minified. No improvements needed.,EXTERNAL SEO SNAPSHOT,NONE,N/A,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_performance_analysis,Address render-blocking CSS and evaluate JS deferral
Security,HTTPS/HSTS,Active,Active,PASSES - perfect score,HTTPS active. HSTS max-age=31536000. www redirects to non-www correctly. Server/Security score 100/100.,EXTERNAL SEO SNAPSHOT + LIVE AUDIT,NONE,N/A,NO,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,EXTERNAL SEO SNAPSHOT + LIVE SERVER AUDIT,phase_9g_performance_analysis,Address render-blocking CSS and evaluate JS deferral
