post_id,title,cluster,word_count,has_quick_answer,has_faq,has_glossary,has_trust_block,answer_extraction,summary_extraction,faq_extraction,conversational_use,citation_likelihood,comparison_use,overall_ai_readiness,grade
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Pet Gear,2498,True,True,True,True,100,90,95,100,75,55,89,A+
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Food & Nutrition,2751,True,True,False,True,95,98,85,85,78,85,89,A+
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Toys & Enrichment,3495,True,True,True,True,100,95,85,90,80,55,88,A+
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Dog Health,2580,True,True,True,True,100,95,85,90,80,55,88,A+
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Grooming,2874,True,True,True,True,100,95,85,90,80,55,88,A+
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Toys & Enrichment,2692,True,True,True,True,100,95,85,90,80,55,88,A+
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Beginner Guides,2699,True,True,True,True,100,95,85,90,80,55,88,A+
3836,Best Dog Food UK (2026) – Complete Buying Guide,Dog Food & Nutrition,4072,True,True,False,True,95,98,80,85,78,85,88,A+
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Toys & Enrichment,2625,True,True,True,True,100,95,80,90,80,55,87,A+
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Grooming,2684,True,True,True,True,100,95,80,90,80,55,87,A+
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Pet Gear,3313,True,True,True,True,100,95,95,90,80,25,86,A+
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Toys & Enrichment,2014,True,True,False,True,95,90,90,95,70,55,86,A+
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Dog Food & Nutrition,2143,True,True,True,True,100,90,85,90,75,55,86,A+
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,General Pet Care,2026,True,True,True,True,100,90,85,90,75,55,86,A+
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Toys & Enrichment,2214,True,True,True,True,100,90,90,90,75,25,84,A
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Toys & Enrichment,1812,True,True,False,True,90,90,95,90,70,55,84,A
5462,Dog Training Terminology Explained: Key Concepts for New Owners,General Pet Care,2339,True,True,True,True,100,90,90,90,75,25,84,A
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Toys & Enrichment,1491,True,True,True,True,95,88,80,85,78,65,84,A
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Grooming,2916,True,True,True,True,100,95,85,80,80,25,83,A
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Food & Nutrition,1610,True,True,False,False,90,93,80,75,58,100,83,A
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,2711,True,True,True,False,100,95,90,85,60,25,82,A
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Food & Nutrition,1919,True,True,False,False,90,93,85,75,58,85,82,A
