rank,id,title,cluster,overall_score,pages_above_70_count,pages_above_80_count
1,3836,Best Dog Food UK (2026) – Complete Buying Guide,Dog Food,92.2,95,12
2,3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Food,91.1,95,12
3,3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Food,88.2,95,12
4,5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Dog Food,87.0,95,12
5,3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Food,85.4,95,12
6,5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,85.2,95,12
7,5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,82.2,95,12
8,3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,81.7,95,12
9,5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Health,81.5,95,12
10,4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Uncategorized,81.2,95,12
11,5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Dog Food,80.9,95,12
12,5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,80.2,95,12
13,5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,79.0,95,12
14,5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,78.8,95,12
15,4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Health,78.7,95,12
16,4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,78.6,95,12
17,4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Uncategorized,78.6,95,12
18,4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,78.2,95,12
19,4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Toys,78.1,95,12
20,5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Educational,77.9,95,12
21,4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,77.5,95,12
22,5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Educational,77.4,95,12
23,4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,77.3,95,12
24,5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,77.1,95,12
25,4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Uncategorized,76.7,95,12
26,3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,76.5,95,12
27,4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Food,76.4,95,12
