id,title,slug,created_date,word_count,readiness_estimate
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,indoor-cat-diet-nutrition-guide,2026-05-29T01:05:38,988,75
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,indoor-cat-behaviour-common-issues,2026-05-29T01:05:35,867,75
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,cat-friendly-home-enrichment-indoor-cats,2026-05-29T01:05:32,829,75
7343,Indoor Cat Safety: Common Household Hazards for Cats,indoor-cat-safety-household-hazards,2026-05-29T01:05:30,903,75
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,indoor-cat-exercise-guide,2026-05-29T01:05:27,907,75
7341,First Week with a New Puppy: A Day-by-Day Guide,first-week-new-puppy-guide,2026-05-29T01:05:24,1072,90
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",puppy-teething-guide-stages-signs,2026-05-29T01:05:22,990,75
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,puppy-sleep-guide-by-age,2026-05-29T01:05:19,990,75
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,puppy-proofing-home-safety-guide,2026-05-29T01:05:16,915,75
7337,Puppy Vaccination Schedule UK: What to Expect and When,puppy-vaccination-schedule-uk,2026-05-29T01:05:14,1092,90
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,dog-bed-safety-non-toxic-materials,2026-05-29T01:05:11,1172,90
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,seasonal-dog-bedding-guide,2026-05-29T01:05:09,1188,90
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,puppy-bed-training-guide,2026-05-29T01:05:06,1539,90
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,dog-bed-placement-guide,2026-05-29T01:05:03,1579,90
7332,How to Wash and Dry a Dog Bed Safely,how-to-wash-dog-bed-safely,2026-05-29T01:05:00,1740,90
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,,2026-05-29T00:50:58,1707,90
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,,2026-05-29T00:50:54,1536,90
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",,2026-05-29T00:50:51,1594,90
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,,2026-05-29T00:50:48,1579,90
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,,2026-05-29T00:50:45,1509,90
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,,2026-05-29T00:50:42,1555,90
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,,2026-05-29T00:50:39,1592,90
