post_id,title,cluster,commercial_intent,citation_score,moat_score,ownership_score,ai_readiness,content_maturity,overall_readiness,readiness_tier,monetization_fit
3996,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Reviews,Dog Beds,97.1,95.0,83.6,100.0,94.3,100,95.1,READY,Affiliate; Sponsored; Display Ads
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,92.4,96.7,90.7,100.0,94.3,100,95.0,READY,Affiliate; Sponsored; Display Ads
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,91.2,96.7,87.1,100.0,94.3,100,94.1,READY,Affiliate; Sponsored; Display Ads
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,91.2,96.7,87.1,100.0,94.3,100,94.1,READY,Affiliate; Sponsored; Display Ads
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,92.9,95.0,85.7,100.0,94.3,100,94.1,READY,Affiliate; Sponsored; Display Ads
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,92.4,96.7,83.6,100.0,94.3,100,93.9,READY,Affiliate; Sponsored; Display Ads
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,90.3,96.7,87.1,100.0,94.3,100,93.8,READY,Affiliate; Sponsored; Display Ads
3960,Best Puppy Toys UK (2026) – Teething &#038; First Toys Guide,Dog Toys,88.2,96.7,89.3,100.0,94.3,100,93.5,READY,Affiliate; Sponsored; Display Ads
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,89.3,96.7,85.7,100.0,94.3,100,93.3,READY,Affiliate; Sponsored; Display Ads
4078,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding Guide,Dog Care,88.6,96.7,85.7,100.0,94.3,100,93.1,READY,Affiliate; Sponsored; Display Ads
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,89.7,95.0,85.7,100.0,92.3,97.7,92.5,READY,Affiliate; Sponsored; Display Ads
3956,Best Dog Toys UK (2026) – Complete Guide &#038; Honest Reviews,Dog Toys,90.9,93.3,85.7,100.0,91.7,97.7,92.5,READY,Affiliate; Sponsored; Display Ads
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,89.1,95.0,85.7,100.0,92.3,97.7,92.3,READY,Affiliate; Sponsored; Display Ads
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,85.6,96.7,85.7,100.0,94.3,100,92.2,READY,Affiliate; Sponsored; Display Ads
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,87.6,95.0,85.7,100.0,92.3,97.7,91.9,READY,Affiliate; Sponsored; Display Ads
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Cat Supplies,87.0,95.0,85.7,100.0,92.3,97.7,91.7,READY,Affiliate; Sponsored; Display Ads
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,82.8,96.7,87.1,100.0,94.3,100,91.6,READY,Affiliate; Sponsored; Display Ads
4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,Dog Beds,85.7,95.0,83.6,100.0,94.3,100,91.6,READY,Affiliate; Sponsored; Display Ads
4181,Best Interactive Cat Toys UK (2026) – Wand &#038; Puzzle Guide,Cat Toys,86.4,95.0,85.7,100.0,92.3,97.7,91.5,READY,Affiliate; Sponsored; Display Ads
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,82.3,96.7,83.6,100.0,94.3,100,90.9,READY,Affiliate; Sponsored; Display Ads
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,88.2,93.3,84.3,100.0,90.3,94.3,90.8,READY,Affiliate; Sponsored; Display Ads
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,84.3,93.3,85.7,100.0,91.7,97.7,90.5,READY,Affiliate; Sponsored; Display Ads
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,79.1,96.7,85.7,100.0,94.3,100,90.2,READY,Affiliate; Sponsored; Display Ads
3959,Best Interactive Dog Toys UK (2026) – Puzzle &#038; Enrichment Guide,Dog Toys,83.7,93.3,84.3,100.0,91.7,97.7,90.2,READY,Affiliate; Sponsored; Display Ads
4071,Best Dog Shampoo UK (2026) – Ingredients &#038; Safety Guide,Dog Care,77.9,96.7,87.1,100.0,94.3,100,90.1,READY,Affiliate; Sponsored; Display Ads
4139,Best Dog Training Leads UK (2026) – Long Lines &#038; Harnesses,Training Supplies,80.2,95.0,83.6,100.0,94.3,100,90.0,READY,Affiliate; Sponsored; Display Ads
4042,Best Dog Leads UK (2026) – Walking &#038; Training Lead Guide,Training Supplies,78.5,95.0,83.6,100.0,94.3,100,89.5,READY,Affiliate; Sponsored; Display Ads
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,84.6,92.5,83.6,100.0,89.3,92.7,89.1,READY,Affiliate; Sponsored; Display Ads
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,77.2,95.0,85.7,100.0,92.3,97.7,88.8,READY,Affiliate; Sponsored; Display Ads
3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,Dog Food,84.7,92.5,81.4,100.0,89.3,92.7,88.8,NEAR-READY (BLOCKED),Blocked (pending evidence)
3836,Best Dog Food UK (2026) &#8211; Complete Buying Guide,Dog Food,82.7,92.5,85.7,100.0,89.3,92.7,88.8,NEAR-READY (BLOCKED),Blocked (pending evidence)
4125,Best Dog Training Treats UK (2026) – Reward Guide,Training Supplies,77.0,95.0,85.7,100.0,92.3,97.7,88.7,READY,Affiliate; Sponsored; Display Ads
4251,Best Cat Shampoo UK (2026) – When &#038; How to Bathe,Cat Supplies,77.8,95.0,83.6,100.0,91.7,97.7,88.5,READY,Affiliate; Sponsored; Display Ads
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,77.4,93.3,85.7,100.0,91.7,97.7,88.5,READY,Affiliate; Sponsored; Display Ads
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,73.4,95.0,89.3,100.0,92.3,97.7,88.2,READY,Affiliate; Sponsored; Display Ads
4049,Best Puppy Collars UK (2026) – First Collar &#038; Harness Guide,Puppy Care,73.5,96.7,83.6,100.0,94.3,100,88.2,READY,Affiliate; Sponsored; Display Ads
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,84.2,90.8,82.1,100.0,87.3,89.3,87.7,NEAR-READY (BLOCKED),Blocked (pending evidence)
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,74.3,94.2,87.1,100.0,91.3,96.0,87.6,READY,Affiliate; Sponsored; Display Ads
4034,Best No-Pull Dog Harnesses UK (2026) – Training &#038; Comfort Guide,Dog Harnesses,83.3,90.8,82.1,100.0,87.3,89.3,87.4,NEAR-READY (BLOCKED),Blocked (pending evidence)
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,72.6,95.0,85.0,100.0,92.3,97.7,87.3,READY,Affiliate; Sponsored; Display Ads
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,71.3,95.0,85.7,100.0,92.3,97.7,87.0,READY,Affiliate; Sponsored; Display Ads
3838,Dry vs Wet Dog Food UK &#8211; An Honest Comparison Guide,Dog Food,69.7,95.0,87.9,100.0,92.3,97.7,86.8,NEAR-READY (BLOCKED),Blocked (pending evidence)
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,72.2,94.2,85.0,100.0,91.3,96.0,86.6,READY,Affiliate; Sponsored; Display Ads
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,78.6,90.8,82.1,100.0,87.3,89.3,86.0,READY,Affiliate; Sponsored; Display Ads
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,65.0,96.7,85.0,100.0,94.3,100,85.9,NEAR-READY,Affiliate; Sponsored; Display Ads
3837,Best Dry Dog Food UK (2026) &#8211; Evidence-Based Guide,Dog Food,76.4,90.8,84.3,100.0,87.3,89.3,85.7,NEAR-READY (BLOCKED),Blocked (pending evidence)
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,66.2,95.0,85.7,100.0,92.3,97.7,85.5,NEAR-READY,Affiliate; Sponsored; Display Ads
4223,Best Cat Window Perches UK (2026) – Sunning &#038; Bird Watching,Cat Supplies,65.9,95.0,85.7,100.0,92.3,97.7,85.4,NEAR-READY,Affiliate; Sponsored; Display Ads
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,65.1,95.8,81.4,100.0,93.3,99.3,85.0,NEAR-READY (BLOCKED),Blocked (pending evidence)
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,61.4,95.0,85.7,100.0,93.7,100,84.6,NEAR-READY,Affiliate; Sponsored; Display Ads
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,60.9,96.7,83.6,100.0,94.3,100,84.5,NEAR-READY,Sponsored; Display Ads
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,64.7,93.3,84.3,100.0,90.3,94.3,83.7,NEAR-READY,Affiliate; Sponsored; Display Ads
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,71.0,90.8,82.1,100.0,87.3,89.3,83.7,READY,Affiliate; Sponsored; Display Ads
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,63.1,89.2,83.6,100.0,91.3,100,83.5,NEAR-READY,Sponsored; Display Ads
4293,Best Cat Trees UK (2026) – Climbing &#038; Scratching Towers,Cat Supplies,65.6,92.5,83.6,100.0,89.3,92.7,83.4,NEAR-READY,Affiliate; Sponsored; Display Ads
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,59.6,92.5,85.0,100.0,90.7,96.0,82.5,NEAR-READY,Affiliate; Display Ads
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,58.1,92.5,85.0,100.0,90.7,96.0,82.1,NEAR-READY,Affiliate; Display Ads
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,74.0,87.5,79.3,100.0,80.7,80.7,81.4,READY,Affiliate; Sponsored; Display Ads
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,56.7,93.3,82.1,100.0,90.3,94.3,81.0,NEAR-READY,Affiliate; Display Ads
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,48.4,96.7,85.0,100.0,94.3,100,80.9,NEAR-READY,Affiliate; Display Ads
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,54.2,93.3,84.3,100.0,90.3,94.3,80.6,NEAR-READY (BLOCKED),Blocked (pending evidence)
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,48.7,95.0,83.6,100.0,94.3,100,80.5,NEAR-READY,Affiliate; Display Ads
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,43.6,96.7,85.0,100.0,94.3,100,79.5,NEAR-READY,Display Ads
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,46.3,95.0,83.6,100.0,92.3,97.7,79.2,NEAR-READY,Affiliate; Display Ads
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,43.0,96.7,83.6,100.0,94.3,100,79.1,NEAR-READY,Display Ads
4791,How to Choose the Right Dog Training Treats,Training Supplies,39.6,96.7,87.1,100.0,94.3,100,78.6,DEVELOPING,Display Ads
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,42.1,95.0,83.6,100.0,94.3,100,78.6,NEAR-READY,Display Ads
