id,title,cluster,reference_quality,comparison_usefulness,practical_specificity,extractability,trust_depth,summary_usefulness,citation_preference_score
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Food,75,100,99,100,100,100,94.8
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Food,70,100,84,100,100,100,90.0
3836,Best Dog Food UK (2026) – Complete Buying Guide,Dog Food,75,80,75,100,100,100,85.8
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,75,80,78,91,100,100,85.2
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,70,62,100,82,96,100,85.2
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,70,100,66,98,100,96,84.6
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,46,100,90,98,78,96,83.6
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,75,70,79,87,100,100,83.3
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Food,65,80,75,100,96,100,83.3
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,75,100,53,99,100,100,83.1
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,70,62,83,83,100,100,81.5
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,70,62,81,82,100,100,80.8
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,70,62,83,82,94,100,80.8
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,65,64,83,82,100,100,80.7
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,63,92,61,99,94,96,80.3
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,65,62,83,82,100,100,80.3
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,75,62,75,82,100,96,79.8
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,75,62,75,82,100,96,79.8
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,70,74,63,91,100,100,79.5
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,80,62,67,83,100,100,79.5
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Training Supplies,60,96,57,99,92,96,79.1
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,75,46,82,76,100,100,78.8
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,85,60,62,81,100,100,78.7
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,65,98,52,98,84,96,78.2
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,64,80,63,90,94,96,77.8
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,75,80,45,99,100,96,77.5
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Training Supplies,65,86,54,91,100,96,77.4
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,65,64,75,82,92,96,77.2
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,65,62,69,83,100,100,77.0
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,70,66,58,90,100,100,76.9
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,80,54,61,83,100,100,76.8
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,65,80,60,91,86,96,76.7
4783,How to Choose the Right Dog Bed Size,Dog Beds,65,62,66,90,98,96,76.5
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,65,86,55,91,86,96,76.3
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,75,62,58,82,100,96,75.5
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,65,86,52,91,86,96,75.5
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Toys,70,62,58,83,100,100,75.2
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,70,66,64,84,82,96,75.1
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,53,82,65,91,76,96,74.8
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,65,51,77,70,92,100,74.6
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,60,84,54,91,82,96,74.3
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,70,58,61,82,96,96,74.2
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,70,62,56,82,100,96,74.0
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,58,82,56,91,80,96,73.9
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,70,60,57,82,96,96,73.5
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,70,64,53,83,96,96,73.3
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,65,64,57,83,96,96,73.3
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,70,62,52,83,100,96,73.2
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,60,62,61,83,98,96,73.2
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,75,64,40,90,100,96,72.5
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,57,86,49,91,78,96,72.4
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,70,80,31,99,92,96,72.2
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,65,62,57,83,88,96,72.2
696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,Cat Supplies,70,68,49,77,98,96,72.2
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,50,64,65,91,82,96,72.1
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,75,62,44,82,100,96,72.0
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,65,64,53,83,92,96,71.9
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,75,66,33,91,100,96,71.2
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,53,82,50,91,76,96,71.0
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Training Supplies,65,58,53,83,92,96,71.0
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,70,60,45,82,100,96,70.9
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,70,70,33,91,100,96,70.8
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,70,64,43,82,96,96,70.7
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,60,64,53,82,90,96,70.5
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,60,64,53,83,88,96,70.5
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,70,58,46,82,96,96,70.5
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,70,36,58,83,92,96,69.9
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,75,44,45,83,96,96,69.3
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,65,60,44,82,96,96,69.3
4125,Best Dog Training Treats UK (2026) – Reward Guide,Training Supplies,60,82,32,91,88,96,69.2
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,70,64,31,91,96,96,69.0
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Uncategorized,70,66,28,91,100,96,68.9
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,70,60,31,91,100,96,68.8
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,70,62,31,91,92,96,68.3
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,60,60,48,83,84,96,68.2
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,60,72,25,99,98,96,68.1
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,65,56,37,91,88,96,67.5
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,70,62,33,82,92,96,67.4
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,70,66,25,90,92,96,67.2
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,65,62,25,90,100,100,67.0
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,65,66,29,91,88,96,67.0
4785,How to Wash and Maintain Your Dog’s Bed,Dog Beds,69,58,29,90,94,96,67.0
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,39,82,63,90,64,75,67.0
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,50,62,50,91,70,96,66.8
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,65,66,28,91,88,96,66.8
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Training Supplies,64,58,40,82,86,96,66.8
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,75,42,34,83,100,96,66.7
6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Uncategorized,60,64,33,90,88,96,66.6
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,70,62,25,91,90,96,66.6
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,65,42,45,82,92,96,66.5
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,65,60,36,82,88,96,66.5
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,75,44,32,83,100,96,66.4
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,80,42,28,82,100,98,66.3
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,60,66,34,91,78,96,66.2
4568,Dog Dental Health: A Practical Care Guide,Dog Health,64,61,32,91,82,96,66.2
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,65,62,32,82,92,96,66.2
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,70,51,31,83,100,96,66.2
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,65,60,25,91,96,96,65.9
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,75,42,31,83,100,96,65.9
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,59,64,34,91,78,96,65.8
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,70,42,42,67,100,100,65.8
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,70,40,37,83,90,96,65.1
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,70,40,33,83,100,96,65.1
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,75,42,25,83,100,100,65.0
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,60,62,25,91,92,96,64.8
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,70,42,32,83,96,96,64.8
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,70,44,28,83,100,96,64.4
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,70,42,29,83,100,96,64.4
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,70,36,34,83,96,96,64.3
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Dog Care,60,60,28,91,82,96,64.2
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,65,42,32,83,100,96,64.2
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,70,46,33,73,96,96,64.1
7341,First Week with a New Puppy: A Day-by-Day Guide,Dog Care,60,62,25,91,84,96,64.0
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,65,42,33,83,92,98,63.9
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,60,62,25,91,82,96,63.8
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,59,64,28,91,74,96,63.8
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,70,42,28,83,96,96,63.8
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,65,44,31,83,96,96,63.8
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,70,44,27,83,96,96,63.8
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,70,36,34,76,100,96,63.7
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,55,66,41,90,78,75,63.7
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,60,58,28,91,78,96,63.6
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,52,66,34,91,68,96,63.6
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,75,42,22,83,100,96,63.6
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,70,42,28,82,96,96,63.6
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,48,68,37,91,64,96,63.5
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,57,66,47,76,78,75,63.5
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,59,66,25,91,74,96,63.4
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,70,42,27,82,96,96,63.4
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,55,68,28,91,70,96,63.2
5033,How to Choose the Right Cat Toy for Your Cat’s Personality,Cat Toys,70,42,28,82,92,96,63.2
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,70,38,28,83,96,96,63.1
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,70,42,25,83,96,96,63.0
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,70,40,28,83,88,96,62.6
