post_id,title,slug,cluster,Educational Usefulness,Comparison Usefulness,Trust Reinforcement,Practical Specificity,Glossary Richness,Extractability,Answer Usefulness,Reference Quality,Summary Usefulness,overall_citation_confidence,threshold_status
3836,Best Dog Food UK (2026) – Complete Buying Guide,best-dog-food-uk,Dog Food,100,67,59,43,45,60,61,5,35,57,below_70
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,best-puppy-food-uk,Dog Food,95,57,59,34,45,60,60,5,35,54,below_70
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,best-dry-dog-food-uk,Dog Food,90,70,58,33,45,60,53,10,35,54,below_70
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,dry-vs-wet-dog-food-uk,Dog Food,82,67,42,40,45,60,53,5,20,50,below_70
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,pet-health-terminology-guide,Pet Care General,100,20,42,10,65,50,50,33,42,49,below_70
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",dog-training-equipment-guide,Educational,95,40,34,38,35,50,45,38,28,48,below_70
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,dog-toy-rotation-guide,Dog Toys,100,35,16,24,65,53,60,33,20,48,below_70
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,best-dog-toys-uk,Dog Toys,96,5,41,28,45,60,65,27,35,48,below_70
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",orthopaedic-care-dogs,Unclassified,100,20,66,20,25,53,50,21,10,47,below_70
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",pet-toy-safety-guide,Pet Care General,85,55,24,18,70,53,45,27,20,47,below_70
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",dog-health-basics-guide,Dog Health,95,10,44,20,60,53,50,22,10,46,below_70
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",pet-feeding-guide,Pet Care General,90,59,42,10,35,53,50,22,10,46,below_70
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",mental-stimulation-toys-dogs,Dog Toys,95,40,26,14,45,53,50,33,20,45,below_70
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,dog-behaviour-explained,Educational,95,20,34,10,45,53,50,33,20,44,below_70
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,pet-grooming-glossary,Dog Care,100,20,24,20,50,50,45,38,10,44,below_70
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,puppy-development-stages-guide,Puppy Care,90,5,34,24,45,53,50,33,20,43,below_70
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,senior-dog-toys,Dog Toys,100,0,24,15,65,53,45,33,20,43,below_70
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",dog-boredom-prevention,Dog Toys,95,5,26,14,65,53,45,33,20,43,below_70
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,best-dog-water-bottles-uk,Unclassified,66,0,51,55,45,60,45,0,35,43,below_70
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,best-elevated-dog-bowls-uk,Dog Supplies,77,0,51,50,45,60,40,0,35,43,below_70
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,best-dog-beds-uk,Dog Beds,78,0,33,37,45,60,65,11,35,43,below_70
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,best-indestructible-dog-toys-uk,Dog Toys,75,10,33,41,45,60,60,0,35,43,below_70
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,indoor-cat-care-guide,Cat Supplies,85,5,42,18,35,53,61,27,10,42,below_70
5462,Dog Training Terminology Explained: Key Concepts for New Owners,dog-training-terminology-explained,Educational,100,17,16,5,55,50,50,33,20,42,below_70
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,cat-scratching-behaviour-explained,Cat Supplies,100,35,16,21,25,53,55,22,10,42,below_70
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,best-puppy-toys-uk,Puppy Care,88,0,41,29,45,60,50,0,35,42,below_70
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,best-interactive-dog-toys-uk,Dog Toys,82,0,33,30,45,60,50,11,35,42,below_70
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,dog-bed-sizing-guide,Dog Beds,95,40,16,35,15,47,58,22,10,41,below_70
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,best-dog-bowls-feeding-uk,Dog Supplies,69,0,51,25,65,56,35,0,35,41,below_70
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,best-dog-collars-and-harnesses-uk,Dog Harnesses,79,5,33,30,45,60,40,11,35,41,below_70
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,best-orthopaedic-dog-beds-uk,Dog Beds,73,0,33,49,45,60,50,0,35,41,below_70
4783,How to Choose the Right Dog Bed Size,how-to-choose-dog-bed-size,Dog Beds,74,5,16,39,55,60,60,0,25,40,below_70
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,best-dog-training-behaviour-uk,Educational,77,0,43,35,45,56,40,0,35,40,below_70
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,best-cooling-dog-beds-uk,Dog Beds,77,5,33,34,45,60,45,0,35,40,below_70
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,dog-toy-lifespan-replacement,Dog Toys,85,0,16,13,45,53,55,33,20,39,below_70
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,pet-nutrition-terminology-guide,Pet Care General,90,25,16,5,50,53,48,22,10,39,below_70
5416,Dog Bed Types Explained: A Complete Glossary,dog-bed-types-glossary,Dog Beds,87,35,16,23,60,44,45,0,22,39,below_70
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,best-cat-harnesses-uk,Cat Supplies,75,0,41,25,45,60,40,0,25,39,below_70
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,best-dog-grooming-supplies-uk,Dog Care,74,5,33,30,45,60,40,0,35,39,below_70
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,best-puppy-collars-uk,Dog Harnesses,69,0,41,28,45,60,45,0,25,39,below_70
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,best-puppy-beds-uk,Puppy Care,73,0,41,30,45,60,40,0,35,39,below_70
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,confidence-building-play-dogs,Unclassified,66,30,24,11,40,44,50,38,20,38,below_70
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,safe-multi-dog-toy-management,Dog Toys,66,40,16,13,40,47,50,33,20,38,below_70
5418,Dog Harness Types Explained: Finding the Right Fit,dog-harness-types-glossary,Dog Harnesses,90,30,26,10,55,44,40,0,0,38,below_70
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",dog-bed-materials-guide,Dog Beds,76,35,16,20,55,56,40,0,15,38,below_70
4414,Harness vs Collar: Which Is Better for Your Dog?,harness-vs-collar-which-is-better,Dog Harnesses,75,65,24,5,45,49,35,0,18,38,below_70
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",dog-harnesses-complete-guide,Dog Harnesses,84,45,24,5,45,49,35,0,22,38,below_70
4272,Best Cat ID Tags UK (2026) – Identification Guide,best-cat-id-tags-uk,Cat Supplies,65,0,41,30,45,60,40,0,25,38,below_70
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,best-cat-toys-indoor-cats-uk,Cat Toys,74,0,33,25,45,56,50,0,25,38,below_70
4174,Best Cat Toys UK (2026) – Complete Guide,best-cat-toys-uk,Cat Toys,78,10,33,25,45,53,35,0,35,38,below_70
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,best-slow-feeder-dog-bowls-uk,Dog Supplies,70,0,43,25,45,56,40,0,25,38,below_70
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,best-dog-training-leads-uk,Dog Harnesses,71,0,43,34,45,56,35,0,25,38,below_70
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,best-dog-flea-treatment-uk,Dog Health,72,0,33,35,45,60,45,0,25,38,below_70
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,low-mobility-enrichment-dogs,Dog Toys,61,30,24,14,40,44,40,38,20,37,below_70
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,rotating-puzzle-complexity-dogs,Unclassified,67,30,16,9,40,47,51,33,28,37,below_70
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,dog-toy-anxiety-reduction,Dog Toys,67,30,24,14,40,47,40,33,20,37,below_70
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",pet-enrichment-guide,Pet Care General,100,0,16,18,25,47,60,22,10,37,below_70
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,dog-toy-cleaning-guide,Dog Toys,76,30,16,14,45,53,60,0,10,37,below_70
5419,Cat Care Basics: A Glossary for New Cat Owners,cat-care-basics-glossary,Cat Supplies,85,0,24,20,60,47,43,0,20,37,below_70
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,best-cat-litter-disposal-uk,Cat Supplies,71,5,33,28,45,56,40,0,25,37,below_70
4314,Best Cat Litter Trays UK (2026) – Complete Guide,best-cat-litter-trays-uk,Cat Supplies,69,5,33,31,45,56,35,0,35,37,below_70
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,best-cat-scratching-posts-uk,Cat Supplies,73,0,33,31,45,56,38,0,35,37,below_70
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,best-cat-gps-trackers-uk,Cat Supplies,65,0,41,46,45,52,30,0,25,37,below_70
4202,Best Cat Beds UK (2026) – Complete Guide,best-cat-beds-uk,Cat Supplies,71,15,33,25,45,53,35,0,25,37,below_70
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,best-puppy-training-guide-uk,Puppy Care,65,0,43,30,45,56,35,0,25,37,below_70
4125,Best Dog Training Treats UK (2026) – Reward Guide,best-dog-training-treats-uk,Dog Supplies,70,0,43,25,45,56,35,0,25,37,below_70
4089,Best Dog Health and Care UK (2026) – Complete Guide,best-dog-health-care-uk,Dog Health,72,0,33,25,45,60,40,0,25,37,below_70
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,toy-overstimulation-recovery-dogs,Unclassified,71,35,16,14,40,44,35,33,20,36,below_70
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,play-recovery-after-surgery-dogs,Dog Toys,63,30,16,14,40,47,40,33,20,36,below_70
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,dog-toy-storage-organisation,Dog Toys,73,0,26,5,40,44,50,33,27,36,below_70
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,dog-toy-overstimulation-signs,Unclassified,69,0,26,9,45,45,55,33,10,36,below_70
5425,Dog Toys FAQ: Common Questions Answered,dog-toys-faq,Dog Toys,82,0,26,14,45,53,50,0,20,36,below_70
5423,Dog Toy Enrichment: Beyond Basic Fetch,dog-toy-enrichment-beyond-fetch,Dog Toys,86,10,16,9,55,53,44,0,10,36,below_70
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,best-cat-litter-uk,Cat Supplies,64,5,33,34,45,53,40,0,25,36,below_70
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,best-cat-trees-uk,Cat Supplies,65,0,33,46,45,52,33,0,25,36,below_70
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,best-cat-shampoo-uk,Cat Supplies,70,0,33,25,45,56,40,0,25,36,below_70
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,best-cat-grooming-supplies-uk,Dog Care,73,0,33,35,45,52,25,0,35,36,below_70
4188,Best Catnip Toys UK (2026) – What Works and Why,best-catnip-toys-uk,Unclassified,75,0,33,25,45,49,40,0,25,36,below_70
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,best-dog-joint-supplements-uk,Dog Health,66,0,33,25,45,60,40,0,25,36,below_70
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,best-dog-dental-care-uk,Dog Health,65,0,33,25,45,60,45,0,25,36,below_70
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,best-dog-shampoo-uk,Unclassified,64,5,33,30,45,56,38,0,25,36,below_70
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,best-dog-leads-uk,Dog Supplies,67,0,33,28,45,57,40,0,25,36,below_70
