post_id,title,status,result
5296,Best Indoor Cat Toys UK (2026),publish,trust_links_inserted
5033,How to Choose the Right Cat Toy for Your Cat's Personality,publish,trust_links_inserted
5036,Understanding Cat Play Behaviour,publish,trust_links_inserted
5032,Cat Toys FAQ: Common Questions Answered,publish,trust_links_inserted
5035,Cat Enrichment Beyond Toys,publish,trust_links_inserted
5034,Cat Toy Rotation: How to Keep Toys Fresh,publish,trust_links_inserted
4792,Puppy Socialisation: A Complete Timeline Guide,publish,trust_links_inserted
4791,How to Choose the Right Dog Training Treats,publish,trust_links_inserted
4790,DIY Dog Toys: Safe Homemade Options,publish,trust_links_inserted
4789,Best Types of Dog Toys for Different Play Styles,publish,trust_links_inserted
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,publish,trust_links_inserted
4787,Dog Toy Safety: What Every Owner Needs to Know,publish,trust_links_inserted
4786,Where to Place Your Dog's Bed,publish,trust_links_inserted
4785,How to Wash and Maintain Your Dog's Bed,publish,trust_links_inserted
4784,Dog Bed Materials Explained,publish,trust_links_inserted
4783,How to Choose the Right Dog Bed Size,publish,trust_links_inserted
4573,Seasonal Pet Safety,publish,trust_links_inserted
4216,Unknown (fetched OK),publish,trust_links_inserted
4215,Unknown,unknown,skipped_status_none
4214,Unknown,unknown,skipped_status_none
4213,Unknown,unknown,skipped_status_none
3947,Unknown,unknown,skipped_status_none
3946,Unknown,unknown,skipped_status_none
3945,Unknown,unknown,skipped_status_none
3944,Unknown,unknown,skipped_status_none
3943,Unknown,unknown,skipped_status_none
3837,Unknown (fetched OK),publish,trust_links_inserted
3836,Unknown,pending,pending_at_script_end
