# generated_at: 2026-05-27T19:57:48Z
# source_server: 167.99.198.145
# git_commit: 40402f2
# generated_by: PetHub AI Platform - Phase 9I.1/9J/10 Generator
# data_source_label: LIVE WordPress + Rank Math API
# approval_status: planning_only
# next_action: owner_review
post_id,title,slug,post_type,post_status,post_date,post_modified,permalink,categories,in_sitemap,rest_created,manually_updated,rank_math_title,rank_math_robots,canonical,hypothesis
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,best-cat-litter-disposal-uk,post,publish,2026-05-27T01:20:59,2026-05-27T20:16:41,https://pethubonline.com/best-cat-litter-disposal-uk,Cat Supplies; Pet Care; Product Reviews,no,yes_REST_API,no_REST_only,Best Cat Litter Disposal UK (2026) – Waste Management Guide,index,https://pethubonline.com/best-cat-litter-disposal-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Option,best-self-cleaning-litter-trays-uk,post,publish,2026-05-27T01:20:40,2026-05-27T20:16:44,https://pethubonline.com/best-self-cleaning-litter-trays-uk,Cat Supplies; Pet Care; Product Reviews,no,yes_REST_API,no_REST_only,Best Self-Cleaning Litter Trays UK (2026) – Automatic Option,index,https://pethubonline.com/best-self-cleaning-litter-trays-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,best-cat-litter-uk,post,publish,2026-05-27T01:20:21,2026-05-27T20:16:48,https://pethubonline.com/best-cat-litter-uk,Cat Supplies; Pet Care; Product Reviews,no,yes_REST_API,no_REST_only,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,index,https://pethubonline.com/best-cat-litter-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4314,Best Cat Litter Trays UK (2026) – Complete Guide,best-cat-litter-trays-uk,post,publish,2026-05-27T01:20:00,2026-05-27T20:16:52,https://pethubonline.com/best-cat-litter-trays-uk,Cat Supplies; Pet Care; Product Reviews,no,yes_REST_API,no_REST_only,Best Cat Litter Trays UK (2026) – Complete Guide,index,https://pethubonline.com/best-cat-litter-trays-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,best-wall-mounted-cat-scratchers-uk,post,publish,2026-05-27T01:17:14,2026-05-27T20:16:56,https://pethubonline.com/best-wall-mounted-cat-scratchers-uk,Cat Supplies; Pet Care; Product Reviews,no,yes_REST_API,no_REST_only,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,index,https://pethubonline.com/best-wall-mounted-cat-scratchers-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,best-cardboard-cat-scratchers-uk,post,publish,2026-05-27T01:16:52,2026-05-27T20:16:59,https://pethubonline.com/best-cardboard-cat-scratchers-uk,Cat Supplies; Pet Care; Product Reviews,no,yes_REST_API,no_REST_only,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,index,https://pethubonline.com/best-cardboard-cat-scratchers-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4293,Best Cat Trees UK (2026) – Climbing &#038; Scratching Towers,best-cat-trees-uk,post,publish,2026-05-27T01:16:32,2026-05-27T20:17:03,https://pethubonline.com/best-cat-trees-uk,Cat Supplies; Pet Care; Product Reviews,no,yes_REST_API,no_REST_only,Best Cat Trees UK (2026) – Climbing &#038; Scratching Towers,index,https://pethubonline.com/best-cat-trees-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,best-cat-scratching-posts-uk,post,publish,2026-05-27T01:16:11,2026-05-27T20:17:06,https://pethubonline.com/best-cat-scratching-posts-uk,Cat Supplies; Pet Care; Product Reviews,no,yes_REST_API,no_REST_only,Best Cat Scratching Posts UK (2026) – Complete Guide,index,https://pethubonline.com/best-cat-scratching-posts-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,best-cat-harnesses-uk,post,publish,2026-05-27T01:13:34,2026-05-27T20:17:10,https://pethubonline.com/best-cat-harnesses-uk,Cat Supplies; Pet Care; Product Reviews,no,yes_REST_API,no_REST_only,Best Cat Harnesses UK (2026) – Safe Walking Guide,index,https://pethubonline.com/best-cat-harnesses-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4272,Best Cat ID Tags UK (2026) – Identification Guide,best-cat-id-tags-uk,post,publish,2026-05-27T01:13:14,2026-05-27T20:17:14,https://pethubonline.com/best-cat-id-tags-uk,Cat Supplies; Pet Care; Product Reviews,no,yes_REST_API,no_REST_only,Best Cat ID Tags UK (2026) – Identification Guide,index,https://pethubonline.com/best-cat-id-tags-uk/,RM_sitemap_table_not_populated_no_save_post_hook
