post_id,title,cluster,terms_count,status,terms
8172,Our Research Standards,Uncategorized,8,inserted,Catio; RSPCA; British Veterinary Association; PDSA; Enrichment; Kennel Club; Cats Protection; Body Condition Score
8171,Why PetHub Online Exists,Uncategorized,8,inserted,RSPCA; British Veterinary Association; PDSA; Enrichment; Catio; Body Condition Score; Kennel Club; Cats Protection
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,8,inserted,Indoor-Only Cat; Enrichment; Hairball Prevention; Puzzle Feeder; Feline Lower Urinary Tract Disease; Body Condition Score; Environmental Enrichment; Kennel Club
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,8,inserted,Indoor-Only Cat; Enrichment; Litter Tray Management; Catio; Scratching Post; Vertical Territory; Interactive Play; Environmental Enrichment
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,8,inserted,Indoor-Only Cat; Enrichment; Vertical Territory; Scratching Post; Litter Tray Management; Environmental Enrichment; Catio; Window Perch
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,8,inserted,Indoor-Only Cat; Catio; Toxic Plants; Enrichment; Cats Protection; Vertical Territory; Litter Tray Management; Interactive Play
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,8,inserted,Indoor-Only Cat; Vertical Territory; Interactive Play; Puzzle Feeder; Enrichment; Scratching Post; Catio; Environmental Enrichment
7341,First Week with a New Puppy: A Day-by-Day Guide,Dog Care,8,inserted,Microchipping; Crate Training; Vaccination Schedule; Socialisation Period; Preventative Healthcare; RSPCA; Parasite Prevention; PDSA
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,8,inserted,Teething Phase; Dental Hygiene; PDSA; British Veterinary Association; Parasite Prevention; RSPCA; Natural Rubber; Kennel Club
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Dog Care,8,inserted,Crate Training; PDSA; Catio; RSPCA; British Veterinary Association; Teething Phase; Socialisation Period; Kennel Club
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,8,inserted,Puppy Proofing; RSPCA; Toxic Plants; PDSA; Dental Hygiene; Teething Phase; Parasite Prevention; Enrichment
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,8,inserted,Vaccination Schedule; British Veterinary Association; Microchipping; Parasite Prevention; PDSA; RSPCA; Preventative Healthcare; Kennel Club
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,8,inserted,Orthopaedic Support; Value for Money; Waterproof Rating; Bolster Bed; Removable Cover; Senior Pet Care; Catio; Chew Durability Rating
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,8,inserted,Orthopaedic Support; Bolster Bed; Value for Money; Breed Size Classification; Waterproof Rating; Removable Cover; Senior Pet Care; Natural Rubber
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,8,inserted,Crate Training; Orthopaedic Support; Bolster Bed; Value for Money; Teething Phase; Waterproof Rating; Senior Pet Care; Breed Size Classification
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,8,inserted,Orthopaedic Support; Bolster Bed; Waterproof Rating; Value for Money; Catio; Crate Training; Breed Size Classification; Separation Anxiety
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,8,inserted,Orthopaedic Support; Waterproof Rating; Parasite Prevention; Removable Cover; Value for Money; Crate Training; Bolster Bed; Senior Pet Care
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Supplies,8,inserted,Catnip Response; Interactive Play; Enrichment; Puzzle Feeder; Indoor-Only Cat; CE/UKCA Marking; Catio; Cats Protection
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,8,inserted,Litter Tray Management; Scratching Post; Microchipping; Parasite Prevention; Catio; Feline Lower Urinary Tract Disease; Indoor-Only Cat; Cats Protection
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,8,inserted,Orthopaedic Support; Bolster Bed; Dental Hygiene; Waterproof Rating; Crate Training; Calming Bed; Breed Size Classification; Catio
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,8,inserted,FEDIAF Guidelines; Life Stage Nutrition; Grain-Free Formula; Complete Diet; Hypoallergenic Diet; Senior Pet Care; Body Condition Score; British Veterinary Association
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,8,inserted,Vaccination Schedule; Dental Hygiene; Parasite Prevention; PDSA; Body Condition Score; British Veterinary Association; Preventative Healthcare; Orthopaedic Support
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,8,inserted,Vaccination Schedule; Socialisation Period; Dental Hygiene; Kennel Club; Microchipping; Recall Training; Parasite Prevention; Teething Phase
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Cat Supplies,8,inserted,Indoor-Only Cat; Litter Tray Management; Vertical Territory; Catio; Enrichment; Scratching Post; Feline Lower Urinary Tract Disease; Environmental Enrichment
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Uncategorized,8,inserted,Enrichment; RSPCA; Catio; Fetch Toy; PDSA; Natural Rubber; Kennel Club; Chew Durability Rating
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,8,inserted,Crate Training; Enrichment; KONG Classic; RSPCA; Separation Anxiety; Catio; PDSA; Squeaker Toy
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,8,inserted,Tug Toy; RSPCA; Catio; PDSA; British Veterinary Association; Fetch Toy; Dental Hygiene; Microchipping
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,8,inserted,Enrichment; RSPCA; Catio; PDSA; British Veterinary Association; Kennel Club; Microchipping; Senior Pet Care
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,8,inserted,Squeaker Toy; Enrichment; RSPCA; British Veterinary Association; Stress Signals; Catio; PDSA; Chew Durability Rating
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,8,inserted,Breed Size Classification; Choking Hazard; RSPCA; Squeaker Toy; Natural Rubber; Catio; British Veterinary Association; Chew Durability Rating
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,8,inserted,Vaccination Schedule; Catio; Parasite Prevention; PDSA; Dental Hygiene; RSPCA; Neutering; Body Condition Score
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,8,inserted,Squeaker Toy; Chew Durability Rating; Microchipping; Natural Rubber; CE/UKCA Marking; Dental Hygiene; Fetch Toy; Choking Hazard
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,8,inserted,Socialisation Period; Vaccination Schedule; Teething Phase; RSPCA; British Veterinary Association; PDSA; Litter Tray Management; Catio
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,8,inserted,Chew Durability Rating; Squeaker Toy; Natural Rubber; RSPCA; Catio; PDSA; Fetch Toy; Enrichment
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,8,inserted,Enrichment; RSPCA; Senior Pet Care; Catio; Puzzle Feeder; British Veterinary Association; PDSA; Fetch Toy
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,8,inserted,Senior Pet Care; Enrichment; Dental Hygiene; Puzzle Feeder; RSPCA; Fetch Toy; PDSA; Squeaker Toy
