post_id,title,cluster,changes,chars_added,status
3839,Best Puppy Food UK (2026),Dog Food,Added 3 FAQ questions,1228,OK
4784,Dog Bed Materials Explained,Dog Beds,Added 2 FAQ questions; Added 1 internal links; Added 'Best For' column to comparison table,1195,OK
3960,Best Puppy Toys UK (2026),Puppy Care,Added 3 FAQ questions; Added 1 internal links,1414,OK
4335,Best Cat Litter Disposal UK (2026),Cat Supplies,Added 2 FAQ questions; Added 3 internal links,1262,OK
4321,Best Cat Litter UK (2026),Cat Supplies,Added 2 FAQ questions; Added 2 internal links,1143,OK
4314,Best Cat Litter Trays UK (2026),Cat Supplies,Added 2 FAQ questions; Added 3 internal links,1293,OK
4110,Best Dog Joint Supplements UK (2026),Dog Health,Added 2 FAQ questions; Added 5 internal links,1447,OK
4414,Harness vs Collar,Dog Harnesses,Added 3 FAQ questions,1181,OK
4413,How to Measure Your Dog for a Harness,Dog Harnesses,Added 2 FAQ questions,800,OK
5418,Dog Harness Types Explained,Dog Harnesses,Added 4 internal links; Added 'Best For' column to comparison table,699,OK
