post_id,title,cluster,trust_links,has_faq,has_glossary,has_comparison,snippet_h2_pct,total_h2s,question_h2s,has_quick_answer,has_sources,internal_links,word_count,authority_density
8172,Our Research Standards,Uncategorized,100.0,100,100,100,0.0,11,0,100,100,7,2699,82.0
8171,Why PetHub Online Exists,Uncategorized,100.0,100,100,100,0.0,8,0,100,100,6,2339,81.0
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,100.0,100,100,100,0.0,12,0,100,100,16,2674,85.0
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,100.0,100,100,100,0.0,12,0,100,100,16,2593,85.0
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,100.0,100,100,100,8.3,12,1,100,100,16,2574,86.2
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,100.0,100,100,100,0.0,13,0,100,100,16,2706,85.0
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,100.0,100,100,100,8.3,12,1,100,100,16,2671,86.2
7341,First Week with a New Puppy: A Day-by-Day Guide,Dog Care,100.0,100,100,100,0.0,11,0,0,100,20,3920,80.0
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,100.0,100,100,100,0.0,11,0,0,100,20,3666,80.0
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Dog Care,100.0,100,100,100,0.0,10,0,0,100,20,3596,80.0
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,100.0,100,100,100,0.0,9,0,0,100,20,3516,80.0
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,100.0,100,100,100,0.0,12,0,0,100,11,4175,80.0
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,100.0,100,100,100,0.0,12,0,0,100,17,3565,80.0
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,100.0,100,100,100,0.0,10,0,0,100,17,3210,80.0
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,100.0,100,100,100,0.0,11,0,0,100,19,3933,80.0
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,100.0,100,100,100,0.0,11,0,0,100,17,3681,80.0
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,100.0,100,100,100,7.7,13,1,0,100,18,3732,81.2
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Supplies,100.0,100,100,100,0.0,7,0,100,100,14,4288,85.0
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,100.0,100,100,100,0.0,7,0,100,100,18,4149,85.0
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,100.0,100,100,100,0.0,7,0,100,100,14,4573,85.0
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,100.0,100,100,50,0.0,5,0,0,100,7,4870,69.5
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,100.0,100,100,100,0.0,7,0,0,100,18,4372,80.0
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,100.0,100,100,100,0.0,7,0,0,100,14,4525,80.0
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Cat Supplies,100.0,100,100,100,0.0,7,0,100,100,12,4409,85.0
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,100.0,100,100,100,0.0,9,0,100,100,10,3496,85.0
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,100.0,100,100,100,25.0,8,2,100,100,11,3276,88.8
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,100.0,100,100,100,0.0,8,0,100,100,10,3343,85.0
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,100.0,100,100,100,22.2,9,2,100,100,9,3212,87.3
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,100.0,100,100,100,12.5,8,1,100,100,10,3296,86.9
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,100.0,100,100,100,0.0,8,0,100,100,11,3343,85.0
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,100.0,100,100,100,12.5,8,1,100,100,10,3301,86.9
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,100.0,100,100,100,10.0,10,1,100,100,9,3193,85.5
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Uncategorized,100.0,100,100,100,20.0,5,1,100,100,12,3230,88.0
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,100.0,100,100,100,22.2,9,2,100,100,9,3421,87.3
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,100.0,100,100,100,7.7,13,1,100,100,14,3725,86.2
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,100.0,100,100,100,9.1,11,1,100,100,12,3480,86.4
