id,title,cluster,answer_superiority,extraction_superiority,comparison_superiority,trust_superiority,usefulness_superiority,ai_preference_score
3836,Best Dog Food UK (2026) – Complete Buying Guide,Dog Food,100,92.0,99,83,94,93.6
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,100,87.0,98,81,91,91.4
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Training Supplies,100,97.8,83,83,91,91.0
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,100,97.8,76,83,95,90.4
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Food,100,88.0,89,83,91,90.2
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,100,87.0,95,83,85,90.0
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,100,84.0,84,83,94,89.0
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,100,87.0,84,83,91,89.0
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,100,88.0,71,83,100,88.4
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Food,100,88.0,75,83,94,88.0
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,100,90.8,76,81,91,87.8
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Training Supplies,100,93.8,71,83,91,87.8
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Food,100,86.0,83,83,87,87.8
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,100,85.0,96,66,91,87.6
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,100,87.0,82,80,89,87.6
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,100,87.0,86,77,88,87.6
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,100,88.0,71,83,94,87.2
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,100,87.0,81,83,85,87.2
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,100,79.0,83,83,90,87.0
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,100,78.0,82,83,91,86.8
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Training Supplies,100,87.0,68,83,95,86.6
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,100,82.0,78,83,89,86.4
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,100,100,66,75,90,86.2
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,100,87.0,70,83,91,86.2
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,100,100,63,70,97,86.0
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,100,89.0,67,83,91,86.0
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,100,87.0,78,74,91,86.0
4786,Where to Place Your Dog’s Bed: Location and Comfort Tips,Dog Beds,100,87.0,75,81,87,86.0
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,100,82.0,75,83,90,86.0
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,100,87.0,78,79,85,85.8
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,100,84.0,78,83,82,85.4
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,100,86.0,73,83,85,85.4
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,100,87.0,70,74,95,85.2
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,100,87.0,66,83,90,85.2
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,100,100,57,75,93,85.0
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Toys,100,82.0,63,83,97,85.0
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,100,87.0,57,83,97,84.8
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,100,100,45,81,97,84.6
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,100,83.0,75,83,82,84.6
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,100,86.0,60,83,94,84.6
