cluster,current_score,target_score,gap,action_type,specific_action,estimated_impact,priority
Dog Food,91.9,90.0,0,comparison_enhancement,Add/improve striped comparison tables in all posts (current avg: 81.0),+0,1
Dog Harnesses,92.5,90.0,0,comparison_enhancement,Add/improve striped comparison tables in all posts (current avg: 72.1),+0,1
Dog Supplies,91.8,90.0,0,comparison_enhancement,Add/improve striped comparison tables in all posts (current avg: 80.7),+0,1
Cat Supplies,94.0,90.0,0,moat_deepening,"Add educational sections, glossary depth, and unique methodology (moat avg: 84.7)",+0,2
Cat Toys,93.5,90.0,0,moat_deepening,"Add educational sections, glossary depth, and unique methodology (moat avg: 83.9)",+0,2
Dog Beds,93.9,90.0,0,moat_deepening,"Add educational sections, glossary depth, and unique methodology (moat avg: 82.6)",+0,2
Dog Care,93.6,90.0,0,moat_deepening,"Add educational sections, glossary depth, and unique methodology (moat avg: 83.0)",+0,2
Dog Food,91.9,90.0,0,moat_deepening,"Add educational sections, glossary depth, and unique methodology (moat avg: 84.7)",+0,2
Dog Harnesses,92.5,90.0,0,moat_deepening,"Add educational sections, glossary depth, and unique methodology (moat avg: 81.0)",+0,2
Dog Health,92.4,90.0,0,moat_deepening,"Add educational sections, glossary depth, and unique methodology (moat avg: 84.7)",+0,2
Dog Supplies,91.8,90.0,0,moat_deepening,"Add educational sections, glossary depth, and unique methodology (moat avg: 82.0)",+0,2
Dog Toys,95.2,90.0,0,moat_deepening,"Add educational sections, glossary depth, and unique methodology (moat avg: 84.5)",+0,2
Indoor Cats,90.8,90.0,0,moat_deepening,"Add educational sections, glossary depth, and unique methodology (moat avg: 83.1)",+0,2
Pet Care,94.0,90.0,0,moat_deepening,"Add educational sections, glossary depth, and unique methodology (moat avg: 82.8)",+0,2
Puppy Care,97.0,90.0,0,moat_deepening,"Add educational sections, glossary depth, and unique methodology (moat avg: 83.6)",+0,2
Uncategorized,92.8,90.0,0,moat_deepening,"Add educational sections, glossary depth, and unique methodology (moat avg: 82.1)",+0,2
Cat Supplies,94.0,90.0,0,citation_improvement,Improve extractability and reference quality (citation avg: 94.1),+0,3
Cat Supplies,94.0,90.0,0,ai_optimization,Optimize for AI answer extraction with clear summaries (AI pref avg: 91.3),+0,3
Cat Toys,93.5,90.0,0,citation_improvement,Improve extractability and reference quality (citation avg: 93.7),+0,3
Cat Toys,93.5,90.0,0,ai_optimization,Optimize for AI answer extraction with clear summaries (AI pref avg: 91.7),+0,3
Dog Beds,93.9,90.0,0,citation_improvement,Improve extractability and reference quality (citation avg: 93.5),+0,3
Dog Care,93.6,90.0,0,citation_improvement,Improve extractability and reference quality (citation avg: 93.7),+0,3
Dog Food,91.9,90.0,0,citation_improvement,Improve extractability and reference quality (citation avg: 92.3),+0,3
Dog Food,91.9,90.0,0,ai_optimization,Optimize for AI answer extraction with clear summaries (AI pref avg: 89.9),+0,3
Dog Harnesses,92.5,90.0,0,citation_improvement,Improve extractability and reference quality (citation avg: 92.8),+0,3
Dog Harnesses,92.5,90.0,0,ai_optimization,Optimize for AI answer extraction with clear summaries (AI pref avg: 89.7),+0,3
Dog Health,92.4,90.0,0,citation_improvement,Improve extractability and reference quality (citation avg: 92.8),+0,3
Dog Health,92.4,90.0,0,ai_optimization,Optimize for AI answer extraction with clear summaries (AI pref avg: 91.9),+0,3
Dog Supplies,91.8,90.0,0,citation_improvement,Improve extractability and reference quality (citation avg: 92.0),+0,3
Dog Supplies,91.8,90.0,0,ai_optimization,Optimize for AI answer extraction with clear summaries (AI pref avg: 89.2),+0,3
Dog Toys,95.2,90.0,0,citation_improvement,Improve extractability and reference quality (citation avg: 94.8),+0,3
Indoor Cats,90.8,90.0,0,citation_improvement,Improve extractability and reference quality (citation avg: 91.4),+0,3
Pet Care,94.0,90.0,0,citation_improvement,Improve extractability and reference quality (citation avg: 94.2),+0,3
Pet Care,94.0,90.0,0,ai_optimization,Optimize for AI answer extraction with clear summaries (AI pref avg: 91.0),+0,3
Uncategorized,92.8,90.0,0,citation_improvement,Improve extractability and reference quality (citation avg: 93.1),+0,3
Uncategorized,92.8,90.0,0,ai_optimization,Optimize for AI answer extraction with clear summaries (AI pref avg: 90.4),+0,3
Dog Food,91.9,90.0,0,content_expansion,Publish additional posts to strengthen cluster depth (currently 5 posts),+0,4
Dog Harnesses,92.5,90.0,0,content_expansion,Publish additional posts to strengthen cluster depth (currently 7 posts),+0,4
Dog Health,92.4,90.0,0,content_expansion,Publish additional posts to strengthen cluster depth (currently 8 posts),+0,4
Dog Supplies,91.8,90.0,0,content_expansion,Publish additional posts to strengthen cluster depth (currently 7 posts),+0,4
Indoor Cats,90.8,90.0,0,content_expansion,Publish additional posts to strengthen cluster depth (currently 6 posts),+0,4
Pet Care,94.0,90.0,0,content_expansion,Publish additional posts to strengthen cluster depth (currently 2 posts),+0,4
Puppy Care,97.0,90.0,0,content_expansion,Publish additional posts to strengthen cluster depth (currently 2 posts),+0,4
Training Supplies,96.5,90.0,0,content_expansion,Publish additional posts to strengthen cluster depth (currently 6 posts),+0,4
Indoor Cats,90.8,95.0,4.2,dominance_defense,Maintain and defend position; update content quarterly; monitor competitor entries,+0.5,5
Dog Supplies,91.8,95.0,3.2,dominance_defense,Maintain and defend position; update content quarterly; monitor competitor entries,+0.5,5
Dog Food,91.9,95.0,3.1,dominance_defense,Maintain and defend position; update content quarterly; monitor competitor entries,+0.5,5
Dog Health,92.4,95.0,2.6,dominance_defense,Maintain and defend position; update content quarterly; monitor competitor entries,+0.5,5
Dog Harnesses,92.5,95.0,2.5,dominance_defense,Maintain and defend position; update content quarterly; monitor competitor entries,+0.5,5
Uncategorized,92.8,95.0,2.2,dominance_defense,Maintain and defend position; update content quarterly; monitor competitor entries,+0.5,5
Cat Toys,93.5,95.0,1.5,dominance_defense,Maintain and defend position; update content quarterly; monitor competitor entries,+0.5,5
Dog Care,93.6,95.0,1.4,dominance_defense,Maintain and defend position; update content quarterly; monitor competitor entries,+0.5,5
Dog Beds,93.9,95.0,1.1,dominance_defense,Maintain and defend position; update content quarterly; monitor competitor entries,+0.5,5
Cat Supplies,94.0,95.0,1.0,dominance_defense,Maintain and defend position; update content quarterly; monitor competitor entries,+0.5,5
Pet Care,94.0,95.0,1.0,dominance_defense,Maintain and defend position; update content quarterly; monitor competitor entries,+0.5,5
Dog Toys,95.2,95.0,-0.2,dominance_defense,Maintain and defend position; update content quarterly; monitor competitor entries,+0.5,5
Training Supplies,96.5,95.0,-1.5,dominance_defense,Maintain and defend position; update content quarterly; monitor competitor entries,+0.5,5
Puppy Care,97.0,95.0,-2.0,dominance_defense,Maintain and defend position; update content quarterly; monitor competitor entries,+0.5,5
