id,title,cluster,comparison_added,checklist_added,next_steps_added,trust_refs_added,status
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,False,True,True,True,complete
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Cat Supplies,False,True,True,True,complete
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,False,True,True,True,complete
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,False,True,True,True,complete
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,False,True,True,True,complete
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,False,True,True,True,complete
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,False,True,True,True,complete
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,False,True,True,True,complete
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,False,True,True,True,complete
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,False,True,True,True,complete
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,False,True,True,True,complete
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,False,True,True,True,complete
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,False,True,True,True,complete
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Toys,False,True,True,True,complete
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Toys,False,True,True,True,complete
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Toys,False,True,True,True,complete
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,False,True,True,True,complete
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,False,True,True,True,complete
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,False,True,True,True,complete
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,True,True,True,True,complete
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Grooming,False,True,True,True,complete
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Grooming,False,True,True,True,complete
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Dog Grooming,False,True,True,True,complete
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Dog Grooming,False,True,True,True,complete
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Dog Grooming,False,True,True,True,complete
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,False,True,True,True,complete
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Grooming,False,True,True,True,complete
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Grooming,False,True,True,True,complete
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Grooming,False,True,True,True,complete
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,False,True,True,True,complete
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,False,True,True,True,complete
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Indoor Cats,False,True,True,True,complete
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,False,True,True,True,complete
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,False,True,True,True,complete
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,False,True,True,True,complete
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,False,True,True,True,complete
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,False,True,True,True,complete
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,False,True,True,True,complete
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,False,True,True,True,complete
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,False,True,True,True,complete
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Uncategorized,False,True,True,True,complete
4785,How to Wash and Maintain Your Dog's Bed,Uncategorized,False,True,True,True,complete
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Uncategorized,False,True,True,True,complete
4570,First-Time Dog Owner Essentials: What You Need to Know,Uncategorized,False,True,True,True,complete
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Uncategorized,False,True,True,True,complete
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Uncategorized,False,True,True,True,complete
4571,Pet First Aid Basics: What Every Owner Should Know,Uncategorized,False,True,True,True,complete
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Uncategorized,False,True,True,True,complete
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Uncategorized,False,True,True,True,complete
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Uncategorized,False,True,True,True,complete
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Uncategorized,False,True,True,True,complete
8172,Our Research Standards,Uncategorized,True,True,True,True,complete
8171,Why PetHub Online Exists,Uncategorized,True,True,True,True,complete
