post_id,title,slug,outbound_links,inbound_links,link_health
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Li,low-mobility-enrichment-dogs,4,0,orphan
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Do,toy-overstimulation-recovery-dogs,4,0,orphan
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Throug,sensory-enrichment-dogs,5,0,orphan
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Throu,confidence-building-play-dogs,4,0,orphan
6047,Play Recovery After Surgery: Gentle Enrichment for Healing D,play-recovery-after-surgery-dogs,4,0,orphan
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,dog-toy-hygiene-schedules,5,0,orphan
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,safe-multi-dog-toy-management,5,0,orphan
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart ,rotating-puzzle-complexity-dogs,5,0,orphan
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Inst,enrichment-by-breed-group,0,0,orphan
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,dog-toy-anxiety-reduction,4,0,orphan
4792,Puppy Socialisation: A Complete Timeline Guide,puppy-socialisation-guide,3,0,orphan
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,where-to-place-dog-bed,2,0,orphan
4785,How to Wash and Maintain Your Dog's Bed,how-to-wash-dog-bed,1,0,orphan
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",dog-bed-materials-guide,3,0,orphan
4570,First-Time Dog Owner Essentials: What You Need to Know,first-time-dog-owner-essentials,1,0,orphan
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,best-cat-litter-disposal-uk,3,0,orphan
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Option,best-self-cleaning-litter-trays-uk,3,0,orphan
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,best-cat-litter-uk,3,0,orphan
4314,Best Cat Litter Trays UK (2026) – Complete Guide,best-cat-litter-trays-uk,3,0,orphan
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,best-wall-mounted-cat-scratchers-uk,3,0,orphan
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,best-cardboard-cat-scratchers-uk,3,0,orphan
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,best-cat-trees-uk,3,0,orphan
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,best-cat-scratching-posts-uk,3,0,orphan
