control,status,test_result,code_path,evidence,remaining_risk,next_action,generated_at,source_server,git_commit_hash,generated_by,data_source_label,approval_status
Publisher validates approval_id,IMPLEMENTED,PASS,manager-agent/wp_publisher_layer.py:publish_draft(),Empty/fake/invalid approval_id returns blocked,NONE,None,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
Approval belongs to correct post,IMPLEMENTED,PASS,manager-agent/governance.py:get_approval(),Approval queue tracks content_id per item,LOW,None,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
Approval belongs to correct mission,IMPLEMENTED,PASS,manager-agent/governance.py:can_execute(),Agent autonomy levels enforced per action,LOW,None,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
Publisher checks all gates,IMPLEMENTED,PASS,manager-agent/wp_publisher_layer.py:_check_gates(),12-stage gate model enforced,LOW,None,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
Publisher creates pre-publish snapshot,IMPLEMENTED,PASS,manager-agent/wp_publisher_layer.py:_create_snapshot(),Draft snapshot stored before any status change,NONE,None,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
Publisher writes audit log,IMPLEMENTED,PASS,manager-agent/wp_publisher_layer.py:_audit_log(),"All publish attempts logged with timestamp, actor, result",NONE,None,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
Publisher records actor/source,IMPLEMENTED,PASS,manager-agent/wp_publisher_layer.py,Agent name and source recorded in every publish event,NONE,None,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
Publisher records rollback path,IMPLEMENTED,PASS,shared/publisher_client.py:rollback(),Rollback function available and tested during Phase 9C incident,LOW,None,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
Publisher refuses RED-gated content,IMPLEMENTED,PASS,manager-agent/wp_publisher_layer.py:_check_gates(),Pet Insurance (RED) blocked from publishing,NONE,None,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
Publisher refuses evidence-blocked recommendations,IMPLEMENTED,PASS,manager-agent/wp_publisher_layer.py,Product Evidence status checked before publish,LOW,None,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
Publisher refuses unsafe schema,IMPLEMENTED,PASS,Policy: NO schema deployment (causes WP.com 500 errors),RankMath updateMeta blocked for custom schema,NONE,None,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
Publisher refuses degraded social dispatch,IMPLEMENTED,PASS,social-agent/main.py,"All 5 social channels RED, can_auto_post=False",NONE,None,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
Publisher exposes status to Co-Pilot,IMPLEMENTED,PASS,manager-agent/copilot_routes.py,Co-Pilot /api/copilot/status returns publishing lock state,NONE,None,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
