cluster,current_score,target_score,gap,weakest_dimension,weakest_score,top_3_actions
Pet Care,66.0,75,9.0,practical_score,36.0,"Add UK prices, measurements, timelines, and step-by-step instructions; Add comparison tables with pricing tiers and product evaluations; Improve trust score from 60.0 toward 75+"
Dog Toys,67.2,75,7.8,practical_score,45.0,"Add UK prices, measurements, timelines, and step-by-step instructions; Add comparison tables with pricing tiers and product evaluations; Add methodology references, welfare citations, and editorial standards"
Indoor Cats,69.9,75,5.1,practical_score,39.7,"Add UK prices, measurements, timelines, and step-by-step instructions; Add comparison tables with pricing tiers and product evaluations; Improve trust score from 66.7 toward 75+"
Puppy Care,70.8,75,4.2,practical_score,54.0,"Add UK prices, measurements, timelines, and step-by-step instructions; Add UK org references (RSPCA, PDSA, BVA) and authority citations; Add methodology references, welfare citations, and editorial standards"
Cat Toys,71.5,75,3.5,practical_score,48.0,"Add UK prices, measurements, timelines, and step-by-step instructions; Add comparison tables with pricing tiers and product evaluations; Add methodology references, welfare citations, and editorial standards"
Dog Harnesses,72.3,75,2.7,practical_score,47.7,"Add UK prices, measurements, timelines, and step-by-step instructions; Add comparison tables with pricing tiers and product evaluations; Improve trust score from 65.0 toward 75+"
Training Supplies,73.3,75,1.7,practical_score,54.8,"Add UK prices, measurements, timelines, and step-by-step instructions; Add methodology references, welfare citations, and editorial standards; Improve comparison score from 65.3 toward 75+"
Dog Beds,73.7,75,1.3,practical_score,58.8,"Add UK prices, measurements, timelines, and step-by-step instructions; Improve trust score from 60.1 toward 75+; Improve citation score from 64.5 toward 75+"
Uncategorized,74.0,75,1.0,practical_score,48.5,"Add UK prices, measurements, timelines, and step-by-step instructions; Improve comparison score from 62.5 toward 75+; Improve trust score from 70.3 toward 75+"
Dog Care,74.4,75,0.6,practical_score,54.6,"Add UK prices, measurements, timelines, and step-by-step instructions; Improve trust score from 64.6 toward 75+; Improve comparison score from 69.8 toward 75+"
Dog Supplies,74.7,75,0.3,comparison_score,51.1,Add comparison tables with pricing tiers and product evaluations; Improve practical score from 60.9 toward 75+; Improve trust score from 73.3 toward 75+
Cat Supplies,76.1,75,0,comparison_score,56.7,Add comparison tables with pricing tiers and product evaluations; Improve trust score from 61.0 toward 75+; Improve practical score from 63.5 toward 75+
Dog Health,75.7,75,0,practical_score,54.9,"Add UK prices, measurements, timelines, and step-by-step instructions; Improve trust score from 65.5 toward 75+; Improve comparison score from 70.8 toward 75+"
Dog Food,85.1,75,0,trust_score,61.0,Improve trust score from 61.0 toward 75+; Improve practical score from 74.4 toward 75+; Maintain citation score quality (80.0)
