post_id,title,cluster,cat_behavior,dog_behavior,enrichment,safety,nutrition,training,grooming,materials,total_entities,primary_domains,entity_richness
5425,Dog Toys FAQ: Common Questions Answered,Dog Supplies,1,6,4,5,0,0,0,4,20,dog_behavior; safety; enrichment,HIGH
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Supplies,1,4,4,4,0,2,1,2,18,dog_behavior; enrichment; safety,HIGH
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Supplies,1,4,6,2,1,4,0,1,19,enrichment; dog_behavior; training,HIGH
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Supplies,2,4,4,1,0,0,0,1,12,dog_behavior; enrichment; cat_behavior,HIGH
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Supplies,1,3,3,4,0,1,1,4,17,safety; materials; dog_behavior,HIGH
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Supplies,1,3,1,4,0,0,2,4,15,safety; materials; dog_behavior,HIGH
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,5,0,5,3,2,0,4,0,19,cat_behavior; enrichment; grooming,HIGH
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,0,0,0,1,0,2,1,1,5,training; safety; grooming,LOW
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,1,1,1,4,2,5,0,1,15,training; safety; nutrition,HIGH
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,0,1,0,0,0,1,1,3,6,materials; dog_behavior; training,MEDIUM
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,1,4,7,1,0,0,0,2,15,enrichment; dog_behavior; materials,HIGH
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,4,0,5,1,1,0,0,1,12,enrichment; cat_behavior; safety,HIGH
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,6,0,6,3,1,0,1,0,17,cat_behavior; enrichment; safety,HIGH
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,3,0,4,0,0,0,0,0,7,enrichment; cat_behavior,MEDIUM
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,4,0,3,0,0,0,0,0,7,cat_behavior; enrichment,MEDIUM
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,4,0,5,3,0,0,1,4,17,enrichment; cat_behavior; materials,HIGH
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,4,1,6,1,0,2,1,0,15,enrichment; cat_behavior; training,HIGH
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,4,1,6,0,0,0,0,1,12,enrichment; cat_behavior; dog_behavior,HIGH
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Supplies,0,0,2,0,0,3,0,0,5,training; enrichment,LOW
4791,How to Choose the Right Dog Training Treats,Dog Supplies,1,2,1,0,3,2,0,0,9,nutrition; dog_behavior; training,MEDIUM
4790,DIY Dog Toys: Safe Homemade Options,Dog Supplies,1,3,6,2,1,0,0,3,16,enrichment; dog_behavior; materials,HIGH
4789,Best Types of Dog Toys for Different Play Styles,Dog Supplies,1,4,4,2,0,0,1,2,14,dog_behavior; enrichment; safety,HIGH
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Supplies,3,6,7,1,2,2,2,1,24,enrichment; dog_behavior; cat_behavior,HIGH
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Supplies,1,3,2,4,0,1,0,3,14,safety; dog_behavior; materials,HIGH
