cluster,posts,total_words,semantic_saturation,publication_depth,educational_breadth,faq_dominance,glossary_dominance,trust_reinforcement,ai_answer_readiness,crawl_reinforcement,comparison_usefulness,authority_momentum,overall_dominance
Dog Toys,35,63453,100,100,100,100.0,100.0,91.4,71.4,100,14.3,100,86.3
Dog Supplies,20,30902,100,100,100,100.0,100.0,85.0,71.7,100,15.0,65.0,84.0
Dog Food,7,24515,46.7,100,70,100.0,100.0,100.0,85.7,100,57.1,85.7,83.4
Dog Beds,9,20405,60.0,100,90,100.0,100.0,100.0,77.8,100,33.3,88.9,82.9
Cat Supplies,18,27627,100,100,100,100.0,100.0,88.9,68.5,100,5.6,38.9,81.7
Uncategorized,9,16358,60.0,100,90,100.0,100.0,100.0,70.4,100,11.1,33.3,76.8
Cat Toys,10,16120,66.7,100,100,100.0,100.0,100.0,66.7,100,0.0,30.0,76.5
Puppy Care,5,11114,33.3,100,50,100.0,100.0,100.0,66.7,100,0.0,80.0,71.5
Dog Harnesses,4,5954,26.7,99.2,40,100.0,100.0,50.0,83.3,100,50.0,50.0,70.9
Dog Health,5,7004,33.3,93.4,50,100.0,100.0,100.0,73.3,100,20.0,20.0,70.8
Dog Care,7,12273,46.7,100,70,100.0,100.0,57.1,66.7,100,0.0,57.1,69.1
Pet Care General,5,5701,33.3,76.0,50,100.0,100.0,80.0,66.7,100,0.0,80.0,67.1
