id,title,cluster,evaluation_added,troubleshooting_added,scenario_added,trust_refs_added,quick_answer_added,faq_expanded,status
8172,Our Research Standards,Uncategorized,yes,yes,yes,yes,yes,yes,updated
8171,Why PetHub Online Exists,Uncategorized,yes,yes,yes,yes,yes,yes,updated
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,yes,yes,yes,yes,yes,no,updated
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,yes,yes,yes,yes,yes,no,updated
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,yes,yes,yes,yes,yes,no,updated
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,yes,yes,yes,yes,yes,no,updated
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,yes,yes,yes,yes,yes,no,updated
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,yes,yes,yes,yes,yes,no,updated
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,yes,yes,yes,yes,yes,no,updated
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,yes,yes,yes,yes,yes,no,updated
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,yes,yes,yes,yes,yes,no,updated
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,yes,yes,yes,yes,yes,no,updated
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,yes,yes,yes,yes,yes,no,updated
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,yes,yes,yes,yes,yes,no,updated
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,yes,yes,yes,yes,yes,no,updated
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,yes,yes,yes,yes,yes,no,updated
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,yes,yes,yes,yes,yes,no,updated
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,yes,yes,yes,yes,yes,no,updated
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Uncategorized,yes,yes,yes,yes,yes,yes,updated
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,yes,yes,yes,yes,yes,no,updated
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,yes,yes,yes,yes,yes,no,updated
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,yes,yes,yes,yes,yes,no,updated
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,yes,yes,yes,yes,yes,no,updated
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,yes,yes,yes,yes,yes,no,updated
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,yes,yes,yes,yes,yes,no,updated
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,yes,yes,yes,yes,yes,no,updated
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,no,no,no,yes,yes,no,updated
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,no,no,no,yes,yes,no,updated
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,no,no,no,yes,yes,no,updated
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,no,no,no,yes,yes,no,updated
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Educational,yes,yes,yes,yes,yes,no,updated
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,yes,yes,yes,yes,yes,no,updated
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Educational,yes,yes,yes,yes,yes,no,updated
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Educational,no,no,no,yes,yes,no,updated
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Educational,no,no,no,yes,yes,no,updated
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,yes,yes,yes,yes,yes,no,updated
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,yes,yes,yes,yes,yes,no,updated
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,no,no,no,yes,yes,no,updated
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,no,no,no,yes,yes,no,updated
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,no,no,no,yes,yes,no,updated
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,no,no,no,yes,yes,no,updated
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,no,no,no,yes,yes,no,updated
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Educational,yes,yes,yes,yes,yes,no,updated
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Educational,no,no,no,yes,yes,yes,updated
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Educational,yes,yes,yes,yes,yes,no,updated
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Educational,no,no,no,yes,yes,no,updated
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,yes,yes,yes,yes,yes,no,updated
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,yes,yes,yes,yes,yes,no,updated
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Educational,no,no,no,yes,yes,yes,updated
5414,Cat Toy Types Explained: A Complete Glossary,Educational,yes,yes,yes,yes,yes,yes,updated
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Cat Toys,yes,yes,yes,yes,yes,no,updated
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,yes,yes,yes,yes,yes,yes,updated
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,no,no,no,yes,yes,yes,updated
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,yes,yes,yes,yes,yes,yes,updated
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,no,no,no,yes,yes,no,updated
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,no,no,no,yes,yes,no,updated
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,no,no,no,yes,yes,yes,updated
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,yes,yes,yes,yes,yes,no,updated
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,yes,yes,yes,yes,yes,yes,updated
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,yes,yes,yes,yes,yes,yes,updated
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,yes,yes,yes,yes,yes,yes,updated
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,yes,yes,yes,yes,yes,yes,updated
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,no,no,no,yes,yes,yes,updated
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,yes,yes,yes,yes,yes,yes,updated
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,yes,yes,yes,yes,yes,yes,updated
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,yes,yes,yes,yes,yes,yes,updated
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,yes,yes,yes,yes,yes,no,updated
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,yes,yes,yes,yes,yes,yes,updated
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,yes,yes,yes,yes,yes,no,updated
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,yes,yes,yes,yes,yes,yes,updated
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,yes,yes,yes,yes,yes,yes,updated
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,yes,yes,yes,yes,yes,yes,updated
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,yes,yes,yes,yes,yes,yes,updated
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,yes,yes,yes,yes,yes,yes,updated
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,yes,yes,yes,yes,yes,yes,updated
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,yes,yes,yes,yes,yes,yes,updated
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,no,no,no,yes,yes,yes,updated
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,no,no,no,yes,yes,yes,updated
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,no,no,no,yes,yes,yes,updated
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,no,no,no,yes,yes,yes,updated
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,yes,yes,yes,yes,yes,no,updated
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,yes,yes,yes,yes,yes,no,updated
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,yes,yes,yes,yes,yes,yes,updated
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,yes,yes,yes,yes,yes,yes,updated
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,no,no,no,yes,yes,yes,updated
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,yes,yes,yes,yes,yes,yes,updated
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,yes,yes,yes,yes,yes,yes,updated
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,yes,yes,yes,yes,yes,yes,updated
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,yes,yes,yes,yes,yes,no,updated
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,yes,yes,yes,yes,yes,no,updated
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,yes,yes,yes,yes,yes,yes,updated
