cluster,dominance,saturation,authority_density,trust_intensity,practical_usefulness,citation_confidence,moat_score,ai_visibility,ownership_score,ownership_status
Dog Food,85.1,100,20.1,61.2,100,80.0,84.2,100.0,78.8,OWNED
Dog Health,75.7,100,29.1,54.8,100,78.1,77.3,100.0,76.9,OWNED
Dog Supplies,74.7,100,39.4,66.0,89.7,74.9,72.7,97.1,76.8,OWNED
Dog Care,74.4,100,26.9,54.5,100,73.1,75.6,98.3,75.3,OWNED
Cat Supplies,76.1,100,32.0,56.6,70.3,78.4,74.1,100.0,73.4,CONTESTED
Training Supplies,73.3,100,29.3,49.0,86.0,70.8,74.2,100.0,72.8,CONTESTED
Uncategorized,74.0,100,28.2,58.5,52.5,79.2,74.9,98.7,70.8,CONTESTED
Puppy Care,70.8,100,20.5,57.0,100,58.0,70.5,90.0,70.8,CONTESTED
Cat Toys,71.5,100,33.9,49.1,59.8,76.9,72.8,97.5,70.2,CONTESTED
Dog Beds,73.7,100,21.6,53.2,69.1,64.5,73.3,97.3,69.1,CONTESTED
Indoor Cats,69.9,100,34.4,50.0,30.0,80.8,71.0,100.0,67.0,CONTESTED
Dog Harnesses,72.3,100,31.1,54.0,25.1,79.7,70.5,100.0,66.6,CONTESTED
Dog Toys,67.2,100,24.3,46.3,52.3,64.6,69.9,94.3,64.9,CONTESTED
Pet Care,66.0,100,47.7,48.0,4.0,75.5,67.2,100.0,63.5,CONTESTED
