id,title,cluster,blocks_added,comparison_tables_added,trust_refs_added,glossary_added,practical_enhanced,extractability_enhanced,status
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,,0,0,0,0,0,blocks_already_present
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,,0,0,0,0,0,blocks_already_present
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,,0,0,0,0,0,blocks_already_present
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,,0,0,0,0,0,blocks_already_present
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,,0,0,0,0,0,blocks_already_present
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,,0,0,0,0,0,blocks_already_present
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,,0,0,0,0,0,blocks_already_present
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Training Supplies,,0,0,0,0,0,blocks_already_present
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Training Supplies,,0,0,0,0,0,blocks_already_present
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,,0,0,0,0,0,blocks_already_present
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,,0,0,0,0,0,blocks_already_present
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,,0,0,0,0,0,blocks_already_present
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,,0,0,0,0,0,blocks_already_present
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,,0,0,0,0,0,blocks_already_present
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,,0,0,0,0,0,blocks_already_present
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,research_sources|why_sources,0,2,0,0,0,updated
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
