post_id,title,cluster,Extractability,Trust Reinforcement,Comparison Usefulness,Glossary Richness,Educational Clarity,Answer Usefulness,Practical Specificity,Source Quality,Summary Quality,overall_citation_confidence,gap_to_70,feasibility_score
3836,Best Dog Food UK (2026) – Complete Buying Guide,Dog Food,60,59,67,45,100,61,43,5,35,57,13,75
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Food,60,59,57,45,95,60,34,5,35,54,16,75
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Food,60,58,70,45,90,53,33,10,35,54,16,76
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Pet Care General,57,42,20,65,100,50,10,33,42,50,20,74
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Food,60,42,67,45,82,53,40,5,20,50,20,77
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Educational,50,34,40,35,95,45,38,38,28,48,22,89
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,53,16,35,65,100,60,24,33,20,48,22,85
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,60,41,5,45,96,65,28,27,35,48,22,74
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Unclassified,53,66,20,25,100,50,20,21,10,47,23,84
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Pet Care General,53,24,55,70,85,45,18,27,20,47,23,85
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,53,44,10,60,95,50,20,22,10,46,24,84
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Pet Care General,53,42,59,35,90,50,10,22,10,46,24,79
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,53,26,40,45,95,50,14,33,20,45,25,85
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,54,16,35,60,88,45,28,25,32,45,25,76
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Educational,53,34,20,45,95,50,10,33,20,44,26,83
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Care,50,24,20,50,100,45,20,38,10,44,26,84
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Care,53,34,5,45,90,50,24,33,20,43,27,83
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,53,24,0,65,100,45,15,33,20,43,27,83
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Dog Toys,53,26,5,65,95,45,14,33,20,43,27,83
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,56,16,35,55,77,40,30,33,25,43,27,85
4783,How to Choose the Right Dog Bed Size,Dog Beds,60,16,5,55,75,60,44,25,25,43,27,78
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Unclassified,60,51,0,45,66,45,55,0,35,43,27,77
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,60,51,0,45,77,40,50,0,35,43,27,77
