Item,URL/Detail,Status,Timestamp
Post Sitemap,https://pethubonline.com/post-sitemap.xml,6,2026-05-27 18:56:19 UTC
Category Sitemap,https://pethubonline.com/category-sitemap.xml,5,2026-05-27 18:56:19 UTC
Sitemap Index,https://pethubonline.com/sitemap_index.xml,3 sitemaps,2026-05-27 18:56:19 UTC
,,,
SITEMAP URLS,,,
best-dog-food-uk,https://pethubonline.com/best-dog-food-uk/,Published,
best-puppy-food-uk,https://pethubonline.com/best-puppy-food-uk/,Published,
dry-vs-wet-dog-food-uk,https://pethubonline.com/dry-vs-wet-dog-food-uk/,Published,
best-dry-dog-food-uk,https://pethubonline.com/best-dry-dog-food-uk/,Published,
essential-cat-supplies-for-cat-owners,https://pethubonline.com/essential-cat-supplies-for-cat-owners/,Published,
top-dog-toys-every-pet-owner-needs-in-2026,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026/,Published,
,,,
INSTANT INDEXING,4 Dog Food URLs submitted via Rank Math,Success,2026-05-27 18:56:19 UTC
52 NON-FOOD POSTS,Still missing from sitemap,Requires editor-based save,Pending
