id,title,cluster,trust_score_before,trust_score_after,blocks_added,status
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,100.0,100.0,none,skipped_complete
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,88.2,88.2,none,skipped_complete
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,94.1,94.1,none,skipped_complete
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,94.1,94.1,none,skipped_complete
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,94.1,94.1,none,skipped_complete
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,88.2,88.2,none,skipped_complete
6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Dog Toys,94.1,94.1,none,skipped_complete
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,88.2,88.2,none,skipped_complete
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,88.2,88.2,none,skipped_complete
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,100.0,100.0,none,skipped_complete
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Toys,94.1,94.1,none,skipped_complete
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Toys,94.1,94.1,none,skipped_complete
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,94.1,94.1,none,skipped_complete
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Toys,88.2,88.2,none,skipped_complete
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Toys,94.1,94.1,none,skipped_complete
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Toys,94.1,94.1,none,skipped_complete
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Toys,88.2,88.2,none,skipped_complete
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,94.1,94.1,none,skipped_complete
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,94.1,94.1,none,skipped_complete
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Dog Training,94.1,94.1,none,skipped_complete
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Dog Toys,94.1,94.1,none,skipped_complete
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Dog Toys,94.1,94.1,none,skipped_complete
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Care,94.1,94.1,none,skipped_complete
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,94.1,94.1,none,skipped_complete
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,88.2,88.2,none,skipped_complete
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,94.1,94.1,none,skipped_complete
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Dog Toys,100.0,100.0,none,skipped_complete
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,100.0,100.0,none,skipped_complete
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Dog Training,88.2,88.2,why_we_reference,updated
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,100.0,100.0,none,skipped_complete
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,94.1,94.1,none,skipped_complete
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,94.1,94.1,trust_footer_upgraded,updated
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,100.0,100.0,none,skipped_complete
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,88.2,88.2,none,skipped_complete
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,88.2,88.2,trust_footer_added,updated
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Dog Training,88.2,88.2,why_we_reference,updated
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Dog Toys,100.0,100.0,none,skipped_complete
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Dog Toys,100.0,100.0,none,skipped_complete
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Training,88.2,88.2,trust_footer_added,updated
4791,How to Choose the Right Dog Training Treats,Dog Training,100.0,100.0,trust_footer_added,updated
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,88.2,88.2,none,skipped_complete
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,100.0,100.0,none,skipped_complete
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,100.0,100.0,none,skipped_complete
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,88.2,88.2,none,skipped_complete
4415,Cat Toy Safety Guide: What Every Owner Should Know,Dog Toys,94.1,94.1,none,skipped_complete
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Dog Toys,100.0,100.0,none,skipped_complete
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Dog Toys,94.1,94.1,none,skipped_complete
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Training,94.1,94.1,trust_footer_added,updated
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,94.1,94.1,trust_footer_added,updated
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,94.1,94.1,trust_footer_added,updated
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,94.1,94.1,trust_footer_added,updated
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,94.1,94.1,none,skipped_complete
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,88.2,88.2,none,skipped_complete
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,100.0,100.0,none,skipped_complete
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,29.4,88.2,trust_footer_added,updated
7337,Puppy Vaccination Schedule UK: What to Expect and When,Puppy Care,70.6,82.4,"why_we_reference, trust_footer_upgraded",updated
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Puppy Care,70.6,82.4,"why_we_reference, trust_footer_upgraded",updated
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Puppy Care,70.6,82.4,"why_we_reference, trust_footer_upgraded",updated
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Puppy Care,70.6,82.4,"why_we_reference, trust_footer_upgraded",updated
7341,First Week with a New Puppy: A Day-by-Day Guide,Puppy Care,70.6,82.4,"why_we_reference, trust_footer_upgraded",updated
