wp_post_id,title,slug,cluster,content_type,word_count,status,url,trust_block,published_date
5458,Cat Scratching Behaviour Explained,cat-scratching-behaviour-explained,Cat Supplies,glossary,2624,published,https://pethubonline.com/cat-scratching-behaviour-explained/,yes,2026-05-28
5460,Pet Nutrition Terminology,pet-nutrition-terminology-guide,Pet Care,glossary,2741,published,https://pethubonline.com/pet-nutrition-terminology-guide/,yes,2026-05-28
5462,Dog Training Terminology Explained,dog-training-terminology-explained,Dog Care,glossary,2981,published,https://pethubonline.com/dog-training-terminology-explained/,yes,2026-05-28
5464,Pet Grooming Glossary,pet-grooming-glossary,Pet Care,glossary,3409,published,https://pethubonline.com/pet-grooming-glossary/,yes,2026-05-28
5467,Pet Feeding Guide,pet-feeding-guide,Pet Care,glossary,3291,published,https://pethubonline.com/pet-feeding-guide/,yes,2026-05-28
5469,Dog Toy Rotation Guide,dog-toy-rotation-guide,Dog Toys,educational,2435,published,https://pethubonline.com/dog-toy-rotation-guide/,yes,2026-05-28
5471,Dog Boredom Prevention,dog-boredom-prevention,Dog Toys,educational,2707,published,https://pethubonline.com/dog-boredom-prevention/,yes,2026-05-28
5473,Senior Dog Toys,senior-dog-toys,Dog Toys,educational,2610,published,https://pethubonline.com/senior-dog-toys/,yes,2026-05-28
5476,Mental Stimulation Toys for Dogs,mental-stimulation-toys-dogs,Dog Toys,educational,2999,published,https://pethubonline.com/mental-stimulation-toys-dogs/,yes,2026-05-28
5483,Dog Toy Lifespan and Replacement,dog-toy-lifespan-replacement,Dog Toys,educational,3161,published,https://pethubonline.com/dog-toy-lifespan-replacement/,yes,2026-05-28
