post_id,title,cluster,sources_count,status
8172,Our Research Standards,Uncategorized,5,inserted
8171,Why PetHub Online Exists,Uncategorized,5,inserted
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Supplies,5,inserted
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,5,inserted
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,5,inserted
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,5,inserted
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,5,inserted
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,5,inserted
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Cat Supplies,5,inserted
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,5,inserted
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,5,inserted
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,5,inserted
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,5,inserted
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,5,inserted
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,5,inserted
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,5,inserted
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,5,inserted
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Uncategorized,5,inserted
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,5,inserted
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,5,inserted
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,5,inserted
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,5,inserted
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,5,inserted
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,5,inserted
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,5,inserted
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,5,inserted
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,5,inserted
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,5,inserted
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,5,inserted
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,5,inserted
