post_id,title,slug,category,outbound_links,inbound_links,flow_balance,status,trust_links_out,glossary_links,faq_links
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",dog-health-basics-guide,Uncategorized,12,1,8.3,UNDERLINKED,8,1,2
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,dog-play-styles-explained,Uncategorized,12,1,8.3,UNDERLINKED,3,0,2
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,puppy-safe-dog-toys,Dog Supplies,11,1,9.1,UNDERLINKED,3,0,1
5414,Cat Toy Types Explained: A Complete Glossary,cat-toy-types-glossary,Uncategorized,11,1,9.1,UNDERLINKED,3,0,4
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,dog-toy-cleaning-guide,Dog Supplies,10,1,10.0,UNDERLINKED,3,0,3
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,dog-toy-lifespan-replacement,Uncategorized,9,1,11.1,UNDERLINKED,3,0,3
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,cat-scratching-behaviour-explained,Uncategorized,8,1,12.5,UNDERLINKED,3,2,0
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,best-indoor-cat-toys,Uncategorized,8,1,12.5,UNDERLINKED,3,0,2
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,no-pull-dog-harness-guide,Dog Harnesses,8,1,12.5,UNDERLINKED,5,1,0
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",pet-enrichment-guide,Pages,7,1,14.3,UNDERLINKED,3,0,0
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,dog-bed-sizing-guide,Pages,7,1,14.3,UNDERLINKED,3,0,0
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,puppy-development-stages-guide,Uncategorized,7,1,14.3,UNDERLINKED,3,0,1
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,pet-nutrition-terminology-guide,Uncategorized,7,1,14.3,UNDERLINKED,3,2,2
5419,Cat Care Basics: A Glossary for New Cat Owners,cat-care-basics-glossary,Cat Supplies,7,1,14.3,UNDERLINKED,3,0,0
4792,Puppy Socialisation: A Complete Timeline Guide,puppy-socialisation-guide,Dog Supplies,13,2,15.4,UNDERLINKED,3,1,2
