post_id,title,slug,cluster,word_count,commercial_intent_score,authority_score,citation_readiness,revenue_potential,affiliate_links,commercial_signals,url
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,best-indoor-cat-toys,Uncategorized,3391,80,80,100,86,8,best-X title; price/buy language; comparison content; product mentions (14); affiliate links (8),https://pethubonline.com/best-indoor-cat-toys/
4789,Best Types of Dog Toys for Different Play Styles,dog-toys-for-different-play-styles,Dog Supplies,3928,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (12); affiliate links (7),https://pethubonline.com/dog-toys-for-different-play-styles/
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,best-interactive-cat-toys-indoor-cats,Cat Supplies,3191,80,80,100,86,8,best-X title; price/buy language; comparison content; product mentions (13); affiliate links (8),https://pethubonline.com/best-interactive-cat-toys-indoor-cats/
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,best-cat-litter-disposal-uk,Cat Supplies,4803,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-cat-litter-disposal-uk/
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,best-self-cleaning-litter-trays-uk,Cat Supplies,4134,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-self-cleaning-litter-trays-uk/
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,best-cat-litter-uk,Cat Supplies,4464,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-cat-litter-uk/
4314,Best Cat Litter Trays UK (2026) – Complete Guide,best-cat-litter-trays-uk,Cat Supplies,5138,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-cat-litter-trays-uk/
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,best-wall-mounted-cat-scratchers-uk,Cat Supplies,4567,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-wall-mounted-cat-scratchers-uk/
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,best-cardboard-cat-scratchers-uk,Cat Supplies,4555,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-cardboard-cat-scratchers-uk/
4293,Best Cat Trees UK (2026) – Climbing &#038; Scratching Towers,best-cat-trees-uk,Cat Supplies,3928,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-cat-trees-uk/
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,best-cat-scratching-posts-uk,Cat Supplies,4643,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-cat-scratching-posts-uk/
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,best-cat-harnesses-uk,Cat Supplies,4029,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-cat-harnesses-uk/
4272,Best Cat ID Tags UK (2026) – Identification Guide,best-cat-id-tags-uk,Cat Supplies,4143,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-cat-id-tags-uk/
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,best-cat-gps-trackers-uk,Cat Supplies,3948,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-cat-gps-trackers-uk/
4258,Best Cat Collars UK (2026) – Complete Safety Guide,best-cat-collars-uk,Cat Supplies,4186,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-cat-collars-uk/
4251,Best Cat Shampoo UK (2026) – When &#038; How to Bathe,best-cat-shampoo-uk,Cat Supplies,3743,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-cat-shampoo-uk/
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,best-cat-nail-clippers-uk,Cat Supplies,2979,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-cat-nail-clippers-uk/
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,best-cat-brushes-uk,Cat Supplies,2979,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-cat-brushes-uk/
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,best-cat-grooming-supplies-uk,Cat Supplies,4052,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-cat-grooming-supplies-uk/
4223,Best Cat Window Perches UK (2026) – Sunning &#038; Bird Watching,best-cat-window-perches-uk,Cat Supplies,3766,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-cat-window-perches-uk/
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,best-cat-radiator-beds-uk,Cat Supplies,3925,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-cat-radiator-beds-uk/
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,best-heated-cat-beds-uk,Cat Supplies,4109,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-heated-cat-beds-uk/
4202,Best Cat Beds UK (2026) – Complete Guide,best-cat-beds-uk,Cat Supplies,4382,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-cat-beds-uk/
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,best-cat-toys-indoor-cats-uk,Cat Supplies,4680,80,80,100,86,8,best-X title; price/buy language; comparison content; product mentions (10); affiliate links (8),https://pethubonline.com/best-cat-toys-indoor-cats-uk/
4188,Best Catnip Toys UK (2026) – What Works and Why,best-catnip-toys-uk,Cat Supplies,4541,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-catnip-toys-uk/
4181,Best Interactive Cat Toys UK (2026) – Wand &#038; Puzzle Guide,best-interactive-cat-toys-uk,Cat Supplies,5160,80,80,100,86,8,best-X title; price/buy language; comparison content; product mentions (10); affiliate links (8),https://pethubonline.com/best-interactive-cat-toys-uk/
4174,Best Cat Toys UK (2026) – Complete Guide,best-cat-toys-uk,Cat Supplies,5628,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (12); affiliate links (7),https://pethubonline.com/best-cat-toys-uk/
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,best-dog-water-bottles-uk,Dog Supplies,4667,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (10); affiliate links (7),https://pethubonline.com/best-dog-water-bottles-uk/
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,best-elevated-dog-bowls-uk,Dog Supplies,4388,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-elevated-dog-bowls-uk/
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,best-slow-feeder-dog-bowls-uk,Dog Supplies,4508,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-slow-feeder-dog-bowls-uk/
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,best-dog-bowls-feeding-uk,Dog Supplies,4378,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-dog-bowls-feeding-uk/
4139,Best Dog Training Leads UK (2026) – Long Lines &#038; Harnesses,best-dog-training-leads-uk,Dog Supplies,4934,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-dog-training-leads-uk/
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,best-puppy-training-guide-uk,Dog Supplies,4843,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-puppy-training-guide-uk/
4125,Best Dog Training Treats UK (2026) – Reward Guide,best-dog-training-treats-uk,Buying Guides,4507,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-dog-training-treats-uk/
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,best-dog-training-behaviour-uk,Buying Guides,4888,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-dog-training-behaviour-uk/
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,best-dog-joint-supplements-uk,Dog Health,4878,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-dog-joint-supplements-uk/
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,best-dog-flea-treatment-uk,Dog Health,5149,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-dog-flea-treatment-uk/
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,best-dog-dental-care-uk,Dog Health,4818,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-dog-dental-care-uk/
4089,Best Dog Health and Care UK (2026) – Complete Guide,best-dog-health-care-uk,Dog Health,5107,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-dog-health-care-uk/
4078,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding Guide,best-dog-nail-clippers-uk,Dog Care,4632,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-dog-nail-clippers-uk/
4071,Best Dog Shampoo UK (2026) – Ingredients &#038; Safety Guide,best-dog-shampoo-uk,Dog Care,4344,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-dog-shampoo-uk/
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,best-dog-brushes-uk,Dog Care,4471,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-dog-brushes-uk/
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,best-dog-grooming-supplies-uk,Dog Care,5371,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-dog-grooming-supplies-uk/
4049,Best Puppy Collars UK (2026) – First Collar &#038; Harness Guide,best-puppy-collars-uk,Dog Supplies,4568,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-puppy-collars-uk/
4042,Best Dog Leads UK (2026) – Walking &#038; Training Lead Guide,best-dog-leads-uk,Dog Supplies,4535,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-dog-leads-uk/
4034,Best No-Pull Dog Harnesses UK (2026) – Training &#038; Comfort Guide,best-no-pull-dog-harnesses-uk,Dog Harnesses,4174,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-no-pull-dog-harnesses-uk/
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,best-dog-collars-and-harnesses-uk,Dog Harnesses,4547,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-dog-collars-and-harnesses-uk/
4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,best-puppy-beds-uk,Dog Beds,4712,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-puppy-beds-uk/
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,best-cooling-dog-beds-uk,Dog Beds,4646,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-cooling-dog-beds-uk/
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,best-orthopaedic-dog-beds-uk,Dog Beds,4992,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-orthopaedic-dog-beds-uk/
3996,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Reviews,best-dog-beds-uk,Dog Beds,5263,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-dog-beds-uk/
3960,Best Puppy Toys UK (2026) – Teething &#038; First Toys Guide,best-puppy-toys-uk,Dog Supplies,6104,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (10); affiliate links (7),https://pethubonline.com/best-puppy-toys-uk/
3959,Best Interactive Dog Toys UK (2026) – Puzzle &#038; Enrichment Guide,best-interactive-dog-toys-uk,Dog Supplies,4922,80,80,100,86,8,best-X title; price/buy language; comparison content; product mentions (10); affiliate links (8),https://pethubonline.com/best-interactive-dog-toys-uk/
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,best-indestructible-dog-toys-uk,Dog Supplies,5207,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (10); affiliate links (7),https://pethubonline.com/best-indestructible-dog-toys-uk/
3956,Best Dog Toys UK (2026) – Complete Guide &#038; Honest Reviews,best-dog-toys-uk,Dog Supplies,5324,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (9); affiliate links (7),https://pethubonline.com/best-dog-toys-uk/
3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,best-puppy-food-uk,Dog Food,6267,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (13); affiliate links (7),https://pethubonline.com/best-puppy-food-uk/
3837,Best Dry Dog Food UK (2026) &#8211; Evidence-Based Guide,best-dry-dog-food-uk,Dog Food,6836,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (14); affiliate links (7),https://pethubonline.com/best-dry-dog-food-uk/
3836,Best Dog Food UK (2026) &#8211; Complete Buying Guide,best-dog-food-uk,Dog Food,8297,80,80,100,86,7,best-X title; price/buy language; comparison content; product mentions (16); affiliate links (7),https://pethubonline.com/best-dog-food-uk/
8172,Our Research Standards,our-research-standards,Pet Care,3801,50,80,100,74,7,price/buy language; comparison content; product mentions (12); affiliate links (7),https://pethubonline.com/our-research-standards/
8171,Why PetHub Online Exists,why-pethub-online-exists,Pet Care,3311,50,80,100,74,7,price/buy language; comparison content; product mentions (12); affiliate links (7),https://pethubonline.com/why-pethub-online-exists/
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,indoor-cat-diet-nutrition-guide,Indoor Cats,3815,50,80,100,74,7,price/buy language; comparison content; product mentions (12); affiliate links (7),https://pethubonline.com/indoor-cat-diet-nutrition-guide/
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,indoor-cat-behaviour-common-issues,Indoor Cats,3721,50,80,100,74,7,price/buy language; comparison content; product mentions (12); affiliate links (7),https://pethubonline.com/indoor-cat-behaviour-common-issues/
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,cat-friendly-home-enrichment-indoor-cats,Indoor Cats,3773,50,80,100,74,8,price/buy language; comparison content; product mentions (13); affiliate links (8),https://pethubonline.com/cat-friendly-home-enrichment-indoor-cats/
7343,Indoor Cat Safety: Common Household Hazards for Cats,indoor-cat-safety-household-hazards,Indoor Cats,3934,50,80,100,74,7,price/buy language; comparison content; product mentions (12); affiliate links (7),https://pethubonline.com/indoor-cat-safety-household-hazards/
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,indoor-cat-exercise-guide,Health &amp; Wellness,3823,50,80,100,74,7,price/buy language; comparison content; product mentions (12); affiliate links (7),https://pethubonline.com/indoor-cat-exercise-guide/
7341,First Week with a New Puppy: A Day-by-Day Guide,first-week-new-puppy-guide,Dog Care,5010,50,80,100,74,7,price/buy language; comparison content; product mentions (12); affiliate links (7),https://pethubonline.com/first-week-new-puppy-guide/
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",puppy-teething-guide-stages-signs,Dog Health,4512,50,80,100,74,7,price/buy language; comparison content; product mentions (12); affiliate links (7),https://pethubonline.com/puppy-teething-guide-stages-signs/
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,puppy-sleep-guide-by-age,Dog Care,4506,50,80,100,74,7,price/buy language; comparison content; product mentions (12); affiliate links (7),https://pethubonline.com/puppy-sleep-guide-by-age/
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,puppy-proofing-home-safety-guide,Dog Care,4343,50,80,100,74,7,price/buy language; comparison content; product mentions (12); affiliate links (7),https://pethubonline.com/puppy-proofing-home-safety-guide/
7337,Puppy Vaccination Schedule UK: What to Expect and When,puppy-vaccination-schedule-uk,Dog Health,4982,50,80,100,74,7,price/buy language; comparison content; product mentions (12); affiliate links (7),https://pethubonline.com/puppy-vaccination-schedule-uk/
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,dog-bed-safety-non-toxic-materials,Dog Beds,4569,50,80,100,74,7,price/buy language; comparison content; product mentions (12); affiliate links (7),https://pethubonline.com/dog-bed-safety-non-toxic-materials/
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,seasonal-dog-bedding-guide,Dog Beds,4152,50,80,100,74,7,price/buy language; comparison content; product mentions (12); affiliate links (7),https://pethubonline.com/seasonal-dog-bedding-guide/
