timestamp,post_id,title,cluster,status,detail,blocks_added
2026-05-29T02:41:01.500631,5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Grooming,OK,rev6552:22172->28199,"at_a_glance,why_this_matters,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:41:11.918035,4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Grooming,OK,rev6529:10051->9370,"at_a_glance,why_this_matters,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:41:22.600623,4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Grooming,OK,rev6469:11184->18399,"at_a_glance,why_this_matters,what_we_considered,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:41:33.512480,4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Grooming,OK,rev6531:11980->18899,"at_a_glance,why_this_matters,what_we_considered,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:41:43.953555,4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Grooming,OK,rev6465:12130->19107,"at_a_glance,why_this_matters,what_we_considered,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:41:55.721999,4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,OK,rev6532:14079->21304,"at_a_glance,why_this_matters,what_we_considered,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:42:07.035628,5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,OK,rev6263:15571->21435,"at_a_glance,why_this_matters,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:42:18.624326,4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,OK,rev6305:10263->10250,"at_a_glance,why_this_matters,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:42:29.240058,4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,OK,rev6307:9625->8844,"at_a_glance,why_this_matters,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:42:39.435585,4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,OK,rev6308:8982->8923,"at_a_glance,why_this_matters,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:42:49.794266,4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Dog Harnesses,OK,rev6334:11180->18029,"at_a_glance,why_this_matters,what_we_considered,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:43:01.061047,4258,Best Cat Collars UK (2026) – Complete Safety Guide,Dog Harnesses,OK,rev6340:12453->19300,"at_a_glance,why_this_matters,what_we_considered,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:43:11.528301,4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Harnesses,OK,rev6370:11541->18417,"at_a_glance,why_this_matters,what_we_considered,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:43:21.944143,4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Harnesses,OK,rev6411:12856->19654,"at_a_glance,why_this_matters,what_we_considered,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:43:33.642135,4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,OK,rev6415:12747->19665,"at_a_glance,why_this_matters,what_we_considered,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:43:44.307731,4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,OK,rev6413:15605->22500,"at_a_glance,why_this_matters,what_we_considered,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:44:03.532931,5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,OK,rev7970:31107->35978,"at_a_glance,why_this_matters,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:44:14.134104,4783,How to Choose the Right Dog Bed Size,Dog Beds,OK,rev6286:9544->15396,"at_a_glance,why_this_matters,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:44:25.753229,4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,OK,rev6401:12677->19523,"at_a_glance,why_this_matters,what_we_considered,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:44:36.389548,4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,OK,rev6403:13412->20245,"at_a_glance,why_this_matters,what_we_considered,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:44:47.731395,3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,OK,rev6431:16746->23741,"at_a_glance,why_this_matters,what_we_considered,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:44:58.669572,5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Educational,OK,rev6553:25152->31050,"at_a_glance,why_this_matters,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:45:10.069631,5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Educational,OK,rev6257:15212->21699,"at_a_glance,why_this_matters,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:45:21.107287,5419,Cat Care Basics: A Glossary for New Cat Owners,Educational,OK,rev6262:16195->22159,"at_a_glance,why_this_matters,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:45:32.685415,5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Educational,OK,rev6547:10316->16300,"at_a_glance,why_this_matters,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:45:44.312956,5414,Cat Toy Types Explained: A Complete Glossary,Educational,OK,rev6267:10157->16066,"at_a_glance,why_this_matters,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:45:55.601715,6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,OK,rev6115:9602->15524,"at_a_glance,why_this_matters,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:46:06.732275,6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,OK,rev6119:10097->16118,"at_a_glance,why_this_matters,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
