id,title,cluster,overall_ai_readiness,gap_to_70,weakest_dimension,weakest_score,actions_to_reach_70
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,70.0,0,comparison_use,26,"Add comparisons (26->70+): create comparison tables, pros/cons, ratings | Add glossary (65->70+): define key terms, add terminology section | Add FAQ/answers (65->70+): add FAQ section, direct answers to common questions | Add summaries (65->70+): add At a Glance, Key Takeaways sections"
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Cat Toys,70.0,0,comparison_use,31,"Add comparisons (31->70+): create comparison tables, pros/cons, ratings | Add glossary (65->70+): define key terms, add terminology section | Add FAQ/answers (61->70+): add FAQ section, direct answers to common questions"
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,70.1,0,comparison_use,35,"Add comparisons (35->70+): create comparison tables, pros/cons, ratings | Add glossary (69->70+): define key terms, add terminology section | Add FAQ/answers (47->70+): add FAQ section, direct answers to common questions | Add summaries (65->70+): add At a Glance, Key Takeaways sections"
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,70.2,0,comparison_use,27,"Add comparisons (27->70+): create comparison tables, pros/cons, ratings | Add glossary (65->70+): define key terms, add terminology section | Add FAQ/answers (65->70+): add FAQ section, direct answers to common questions | Add summaries (65->70+): add At a Glance, Key Takeaways sections"
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Toys,70.2,0,comparison_use,29,"Add comparisons (29->70+): create comparison tables, pros/cons, ratings | Add glossary (69->70+): define key terms, add terminology section | Add FAQ/answers (65->70+): add FAQ section, direct answers to common questions"
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Uncategorized,70.2,0,comparison_use,32,"Boost citation confidence (69->70+): add statistics, specific facts, definitive statements | Add comparisons (32->70+): create comparison tables, pros/cons, ratings | Add glossary (69->70+): define key terms, add terminology section | Add FAQ/answers (54->70+): add FAQ section, direct answers to common questions"
4272,Best Cat ID Tags UK (2026) – Identification Guide,Uncategorized,70.2,0,comparison_use,32,"Add comparisons (32->70+): create comparison tables, pros/cons, ratings | Add glossary (65->70+): define key terms, add terminology section | Add FAQ/answers (55->70+): add FAQ section, direct answers to common questions"
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Uncategorized,70.2,0,comparison_use,40,"Add comparisons (40->70+): create comparison tables, pros/cons, ratings | Add glossary (65->70+): define key terms, add terminology section | Add FAQ/answers (53->70+): add FAQ section, direct answers to common questions"
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Uncategorized,70.2,0,comparison_use,33,"Boost citation confidence (66->70+): add statistics, specific facts, definitive statements | Add comparisons (33->70+): create comparison tables, pros/cons, ratings | Add glossary (65->70+): define key terms, add terminology section | Add FAQ/answers (61->70+): add FAQ section, direct answers to common questions"
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,70.3,0,comparison_use,35,"Add comparisons (35->70+): create comparison tables, pros/cons, ratings | Add glossary (69->70+): define key terms, add terminology section | Add FAQ/answers (49->70+): add FAQ section, direct answers to common questions | Add summaries (65->70+): add At a Glance, Key Takeaways sections"
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,70.5,0,comparison_use,29,"Add comparisons (29->70+): create comparison tables, pros/cons, ratings | Add glossary (65->70+): define key terms, add terminology section | Add FAQ/answers (65->70+): add FAQ section, direct answers to common questions | Add summaries (65->70+): add At a Glance, Key Takeaways sections"
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Grooming,70.5,0,comparison_use,40,"Boost citation confidence (69->70+): add statistics, specific facts, definitive statements | Add comparisons (40->70+): create comparison tables, pros/cons, ratings | Add glossary (69->70+): define key terms, add terminology section | Add FAQ/answers (53->70+): add FAQ section, direct answers to common questions"
4783,How to Choose the Right Dog Bed Size,Dog Beds,70.7,0,comparison_use,38,"Boost citation confidence (62->70+): add statistics, specific facts, definitive statements | Add comparisons (38->70+): create comparison tables, pros/cons, ratings | Add glossary (69->70+): define key terms, add terminology section | Add FAQ/answers (61->70+): add FAQ section, direct answers to common questions"
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,70.8,0,comparison_use,29,"Add comparisons (29->70+): create comparison tables, pros/cons, ratings | Add glossary (69->70+): define key terms, add terminology section | Add FAQ/answers (49->70+): add FAQ section, direct answers to common questions"
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Puppy Care,70.8,0,comparison_use,31,"Add comparisons (31->70+): create comparison tables, pros/cons, ratings | Add glossary (54->70+): define key terms, add terminology section | Add FAQ/answers (43->70+): add FAQ section, direct answers to common questions"
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,70.9,0,comparison_use,38,"Add comparisons (38->70+): create comparison tables, pros/cons, ratings | Add glossary (69->70+): define key terms, add terminology section | Add FAQ/answers (67->70+): add FAQ section, direct answers to common questions"
