tier,target_domain,contact_type,outreach_angle,status,outreach_date,response_date,link_acquired,link_url,notes
1,pdsa.org.uk,editorial,Cite PDSA research + offer complementary data,planned,,,no,,PDSA publishes pet welfare data - reference their statistics
1,bluecross.org.uk,editorial,Cite Blue Cross rehoming guides,planned,,,no,,Strong pet welfare content
1,rspca.org.uk,editorial,Reference RSPCA care standards,planned,,,no,,UK's largest animal welfare charity
1,bva.co.uk,professional,Offer evidence-based content partnership,planned,,,no,,British Veterinary Association
1,rcvs.org.uk,professional,Reference RCVS practice standards,planned,,,no,,Royal College of Veterinary Surgeons
1,petplan.co.uk,content,Complementary content on pet health topics,planned,,,no,,Major UK pet insurer with active blog
1,yourcatmagazine.co.uk,media,Guest contribution or expert source,planned,,,no,,UK's leading cat magazine
1,dogstodaymagazine.co.uk,media,Expert source for product guides,planned,,,no,,Leading UK dog magazine
1,catsprotection.org.uk,charity,Resource linking for cat care guides,planned,,,no,,UK's leading cat charity
1,dogstrust.org.uk,charity,Complementary rehoming and care content,planned,,,no,,UK's largest dog welfare charity
1,thekennelclub.org.uk,authority,Reference breed health data,planned,,,no,,Official UK breed registry
1,vetcompass.org,academic,Cite their epidemiological research,planned,,,no,,RVC companion animal surveillance
1,gov.uk/defra,government,Reference pet legislation and licensing,planned,,,no,,UK government pet regulations
2,rvc.ac.uk,academic,Cite RVC veterinary research,planned,,,no,,Royal Veterinary College
2,ed.ac.uk/vet,academic,Reference Edinburgh vet school research,planned,,,no,,University of Edinburgh Veterinary
2,vet.cam.ac.uk,academic,Reference Cambridge vet school research,planned,,,no,,Cambridge Veterinary School
2,nottingham.ac.uk/vet,academic,Reference Nottingham vet research,planned,,,no,,Nottingham Veterinary School
2,bristol.ac.uk/vet,academic,Reference Bristol vet research,planned,,,no,,Bristol Veterinary School
2,battersea.org.uk,rescue,Complementary pet care content,planned,,,no,,Battersea Dogs & Cats Home
2,woodgreen.org.uk,rescue,Resource linking for pet welfare,planned,,,no,,Woodgreen Pets Charity
2,pfma.org.uk,industry,Reference pet food industry data,planned,,,no,,Pet Food Manufacturers Association
2,bsava.com,professional,Cite BSAVA clinical guidelines,planned,,,no,,British Small Animal Veterinary Association
3,crufts.org.uk,event,Event coverage opportunity,planned,,,no,,World's largest dog show
3,nationalpetshow.com,event,Event coverage and review,planned,,,no,,UK's largest consumer pet event
3,londondogshow.co.uk,event,Event review opportunity,planned,,,no,,London-based dog event
