id,title,cluster,evaluation_added,troubleshooting_added,scenario_added,tables_added,status
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,yes,yes,yes,1,updated
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,yes,yes,yes,0,updated
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,yes,yes,yes,0,updated
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,yes,yes,yes,0,updated
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Grooming,yes,yes,yes,1,updated
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Grooming,yes,yes,yes,1,updated
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Grooming,yes,yes,yes,1,updated
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,yes,yes,yes,1,updated
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,yes,yes,yes,1,updated
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Training,yes,yes,yes,1,updated
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Training,yes,yes,yes,0,updated
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Dog Toys,yes,yes,yes,0,updated
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,yes,yes,yes,0,updated
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Dog Grooming,yes,yes,yes,1,updated
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Dog Grooming,yes,yes,yes,1,updated
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Dog Grooming,yes,yes,yes,1,updated
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Dog Toys,yes,yes,yes,0,updated
4415,Cat Toy Safety Guide: What Every Owner Should Know,Dog Toys,yes,yes,yes,0,updated
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Grooming,yes,yes,yes,1,updated
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,yes,yes,yes,0,updated
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,yes,yes,yes,0,updated
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,yes,yes,yes,1,updated
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,yes,yes,yes,0,updated
4791,How to Choose the Right Dog Training Treats,Dog Training,yes,yes,yes,1,updated
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Training,yes,yes,yes,1,updated
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Dog Toys,yes,yes,yes,0,updated
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Dog Toys,yes,yes,yes,0,updated
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Dog Training,yes,yes,yes,1,updated
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Dog Toys,yes,yes,yes,0,updated
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,yes,yes,yes,0,updated
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,yes,yes,yes,1,updated
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,yes,yes,yes,1,updated
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,yes,yes,yes,0,updated
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,yes,yes,yes,0,updated
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Dog Training,yes,yes,yes,1,updated
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,yes,yes,yes,0,updated
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,yes,yes,yes,0,updated
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Dog Toys,yes,yes,yes,0,updated
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,yes,yes,yes,1,updated
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,yes,yes,yes,1,updated
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,yes,yes,yes,1,updated
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Dog Toys,yes,yes,yes,1,updated
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Dog Toys,yes,yes,yes,0,updated
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Dog Training,yes,yes,yes,1,updated
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,yes,yes,yes,0,updated
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Toys,yes,yes,yes,0,updated
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Toys,yes,yes,yes,0,updated
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Toys,yes,yes,yes,0,updated
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Toys,yes,yes,yes,0,updated
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,yes,yes,yes,1,updated
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Toys,yes,yes,yes,1,updated
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Toys,yes,yes,yes,0,updated
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,yes,yes,yes,1,updated
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,yes,yes,yes,1,updated
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,yes,yes,yes,1,updated
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Dog Toys,yes,yes,yes,0,updated
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,yes,yes,yes,1,updated
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,yes,yes,yes,1,updated
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,yes,yes,yes,0,updated
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,yes,yes,yes,0,updated
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,yes,yes,yes,0,updated
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,yes,yes,yes,0,updated
