weak_post_id,weak_post_title,source_post_id,source_post_title,anchor_text,status
5950,Dog Toy Durability Guide,5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toy Durability Guide: What Lasts and What Does Not,inserted
5950,Dog Toy Durability Guide,5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Dog Toy Durability Guide: What Lasts and What Does Not,inserted
5950,Dog Toy Durability Guide,3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toy Durability Guide: What Lasts and What Does Not,inserted
5935,Dog Toy Storage and Organisation,5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,inserted
5935,Dog Toy Storage and Organisation,5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,inserted
5935,Dog Toy Storage and Organisation,6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,inserted
5933,Safe Tug Play with Dogs,4789,Best Types of Dog Toys for Different Play Styles,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",inserted
5933,Safe Tug Play with Dogs,5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",inserted
5933,Safe Tug Play with Dogs,3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",inserted
5930,Dog Toy Safety by Breed Size,4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,inserted
5930,Dog Toy Safety by Breed Size,5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Dog Toy Safety by Breed Size: Choosing the Right Size Toy,inserted
5930,Dog Toy Safety by Breed Size,5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,inserted
5520,Dog Health Basics,4089,Best Dog Health and Care UK (2026) – Complete Guide,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",inserted
5520,Dog Health Basics,4568,Dog Dental Health: A Practical Care Guide,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",inserted
5520,Dog Health Basics,5521,Pet Health Terminology: A Guide to Common Veterinary Terms,dog-health-basics-guide,already_exists
5511,Pet Enrichment Explained,5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work","Pet Enrichment Explained: Types, Benefits, and Practical Ideas",inserted
5511,Pet Enrichment Explained,5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas","Pet Enrichment Explained: Types, Benefits, and Practical Ideas",inserted
5511,Pet Enrichment Explained,4788,Mental Stimulation for Dogs: Beyond Physical Exercise,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",inserted
5510,Dog Bed Sizing Guide,4783,How to Choose the Right Dog Bed Size,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,inserted
5510,Dog Bed Sizing Guide,3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,inserted
5510,Dog Bed Sizing Guide,4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,inserted
5508,Puppy Development Stages,5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Development Stages: A Complete Guide from Birth to Maturity,inserted
5508,Puppy Development Stages,4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Development Stages: A Complete Guide from Birth to Maturity,inserted
5508,Puppy Development Stages,4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Puppy Development Stages: A Complete Guide from Birth to Maturity,inserted
5467,Pet Feeding Guide,3836,Best Dog Food UK (2026) - Complete Buying Guide,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",inserted
5467,Pet Feeding Guide,3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",inserted
5467,Pet Feeding Guide,3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",inserted
5460,Pet Nutrition Terminology,3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,inserted
5460,Pet Nutrition Terminology,3836,Best Dog Food UK (2026) - Complete Buying Guide,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,inserted
5460,Pet Nutrition Terminology,5521,Pet Health Terminology: A Guide to Common Veterinary Terms,pet-nutrition-terminology-guide,already_exists
5458,Cat Scratching Behaviour,5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,cat-scratching-behaviour-explained,already_exists
5458,Cat Scratching Behaviour,4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,inserted
5458,Cat Scratching Behaviour,696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,inserted
5421,Puppy-Safe Dog Toys,4790,DIY Dog Toys: Safe Homemade Options,Puppy-Safe Dog Toys: What to Look For and What to Avoid,inserted
5421,Puppy-Safe Dog Toys,4787,Dog Toy Safety: What Every Owner Needs to Know,Puppy-Safe Dog Toys: What to Look For and What to Avoid,inserted
5421,Puppy-Safe Dog Toys,5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy-Safe Dog Toys: What to Look For and What to Avoid,inserted
5419,Cat Care Basics Glossary,5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Cat Care Basics: A Glossary for New Cat Owners,inserted
5419,Cat Care Basics Glossary,696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,cat-care-basics-glossary,already_exists
5419,Cat Care Basics Glossary,4174,Best Cat Toys UK (2026) – Complete Guide,Cat Care Basics: A Glossary for New Cat Owners,inserted
5418,Dog Harness Types,4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harness Types Explained: Finding the Right Fit,inserted
5418,Dog Harness Types,4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harness Types Explained: Finding the Right Fit,inserted
5418,Dog Harness Types,4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harness Types Explained: Finding the Right Fit,inserted
