source_id,source_title,source_topic,target_id,target_slug,target_topic,anchor_text,link_type,status
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,6052,low-mobility-enrichment-dogs,Dog Toys,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,related_reading,INSERTED
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,6050,toy-overstimulation-recovery-dogs,Dog Toys,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,related_reading,INSERTED
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,6049,sensory-enrichment-dogs,Dog Toys,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,related_reading,INSERTED
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,6048,confidence-building-play-dogs,Dog Toys,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,related_reading,INSERTED
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,6047,play-recovery-after-surgery-dogs,Dog Toys,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,related_reading,INSERTED
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Grooming,5522,orthopaedic-care-dogs,Dog Health,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",related_reading,INSERTED
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Grooming,5521,pet-health-terminology-guide,Dog Health,Pet Health Terminology: A Guide to Common Veterinary Terms,related_reading,INSERTED
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Grooming,5520,dog-health-basics-guide,Dog Health,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",related_reading,INSERTED
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Grooming,4110,best-dog-joint-supplements-uk,Dog Health,Best Dog Joint Supplements – Mobility Support Guide,related_reading,INSERTED
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Grooming,4103,best-dog-flea-treatment-uk,Dog Health,Best Dog Flea Treatment – Prevention Guide,related_reading,INSERTED
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,6052,low-mobility-enrichment-dogs,Dog Toys,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,related_reading,INSERTED
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,6050,toy-overstimulation-recovery-dogs,Dog Toys,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,related_reading,INSERTED
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,6049,sensory-enrichment-dogs,Dog Toys,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,related_reading,INSERTED
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,6048,confidence-building-play-dogs,Dog Toys,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,related_reading,INSERTED
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,6047,play-recovery-after-surgery-dogs,Dog Toys,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,related_reading,INSERTED
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,5522,orthopaedic-care-dogs,Dog Health,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",related_reading,INSERTED
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,5521,pet-health-terminology-guide,Dog Health,Pet Health Terminology: A Guide to Common Veterinary Terms,related_reading,INSERTED
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,5520,dog-health-basics-guide,Dog Health,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",related_reading,INSERTED
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,4110,best-dog-joint-supplements-uk,Dog Health,Best Dog Joint Supplements – Mobility Support Guide,related_reading,INSERTED
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,4103,best-dog-flea-treatment-uk,Dog Health,Best Dog Flea Treatment – Prevention Guide,related_reading,INSERTED
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Pet Care,6052,low-mobility-enrichment-dogs,Dog Toys,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,related_reading,INSERTED
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Pet Care,6050,toy-overstimulation-recovery-dogs,Dog Toys,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,related_reading,INSERTED
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Pet Care,6049,sensory-enrichment-dogs,Dog Toys,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,related_reading,INSERTED
