id,title,cluster,trust_blocks_count,named_refs_count,trust_score
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,4,5,100
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,4,5,100
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,4,7,100
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,4,6,100
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,4,7,100
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,4,5,100
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,4,6,100
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,4,5,100
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,4,5,100
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Training Supplies,4,4,100
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,4,4,100
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,4,4,100
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,4,6,100
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,4,6,100
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,4,5,100
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,4,6,100
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Training Supplies,4,5,100
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,4,6,100
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,4,6,100
4791,How to Choose the Right Dog Training Treats,Training Supplies,4,6,100
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,4,8,100
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,4,6,100
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,4,6,100
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,4,10,100
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,4,5,100
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,4,5,100
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,4,8,100
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,4,6,100
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,4,8,100
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,4,8,100
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Training Supplies,4,4,100
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Training Supplies,4,6,100
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,4,5,100
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,4,6,100
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,4,5,100
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,4,4,100
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,4,5,100
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Toys,4,6,100
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,4,6,100
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,4,6,100
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,4,6,100
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,4,7,100
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,4,6,100
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,4,7,100
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,3,6,85
7341,First Week with a New Puppy: A Day-by-Day Guide,Dog Care,4,7,100
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,4,6,100
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Dog Care,4,5,100
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,4,5,100
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,4,6,100
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,4,4,100
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,4,7,100
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,4,4,100
4568,Dog Dental Health: A Practical Care Guide,Dog Health,4,6,100
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,4,4,100
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,4,6,100
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,4,6,100
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,4,5,100
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,4,6,100
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,4,7,100
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,4,6,100
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,4,6,100
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,4,8,100
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,4,7,100
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,4,4,100
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,4,4,100
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,4,9,100
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,4,9,100
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,4,8,100
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,4,4,100
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,4,6,100
