post_id,title,status,cluster,word_count,has_quick_answer,answer_block_count,answer_density_score,structure_score,extraction_quality,conversational_readiness,h2_count,h3_count,list_count,table_count,overall_answer_quality
5033,How to Choose the Right Cat Toy for Your Cat's Personality,publish,Cat Toys,404,NO,0,0,70,90,8,7,0,0,0,MEDIUM
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,publish,Cat Toys,405,NO,0,0,70,88,16,7,0,0,0,MEDIUM
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,publish,Cat Toys,1159,NO,0,0,95,80,40,8,3,0,0,MEDIUM
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,publish,Cat Toys,969,NO,0,0,93,76,40,7,3,1,0,MEDIUM
5032,Cat Toys FAQ: Common Questions Answered,publish,Cat Toys,709,NO,1,20,90,79,80,9,0,0,0,MEDIUM
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,draft,Uncategorized,793,YES,1,35,100,78,76,6,7,3,0,MEDIUM
4415,Cat Toy Safety Guide: What Every Owner Should Know,publish,Cat Supplies,570,YES,1,35,100,88,36,6,6,2,0,MEDIUM
4414,Harness vs Collar: Which Is Better for Your Dog?,publish,Dog Care,470,YES,1,35,94,86,36,6,2,3,0,MEDIUM
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,publish,Dog Care,575,YES,1,35,100,85,52,9,2,4,0,MEDIUM
4408,How Often Should You Replace Cat Toys? A Practical Guide,publish,Cat Supplies,530,YES,1,35,100,91,36,5,7,2,0,MEDIUM
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,publish,Cat Supplies,564,YES,1,35,91,77,36,4,7,2,0,MEDIUM
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,publish,Dog Supplies,326,YES,1,35,76,78,60,5,2,2,0,MEDIUM
3836,Best Dog Food UK (2026) - Complete Buying Guide,publish,Dog Food,4038,NO,2,40,100,59,100,15,23,34,4,HIGH
5414,Cat Toy Types Explained: A Complete Glossary,draft,Uncategorized,761,YES,2,55,100,88,44,8,16,1,0,HIGH
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,publish,Uncategorized,1083,YES,2,55,100,72,52,6,9,2,0,HIGH
4792,Puppy Socialisation: A Complete Timeline Guide,publish,Dog Supplies,807,YES,2,55,100,80,44,10,3,5,0,HIGH
4791,How to Choose the Right Dog Training Treats,publish,Dog Supplies,674,YES,2,55,100,93,44,10,3,3,0,HIGH
4790,DIY Dog Toys: Safe Homemade Options,publish,Dog Supplies,701,YES,2,55,100,85,44,10,3,3,0,HIGH
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,publish,Dog Supplies,755,YES,2,55,100,85,44,10,3,5,0,HIGH
4787,Dog Toy Safety: What Every Owner Needs to Know,publish,Dog Supplies,681,YES,2,55,100,77,44,10,3,4,0,HIGH
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,publish,Dog Beds,784,YES,2,55,100,81,44,10,3,3,0,HIGH
4785,How to Wash and Maintain Your Dog's Bed,publish,Dog Beds,759,YES,2,55,100,83,44,10,3,4,0,HIGH
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",publish,Dog Beds,718,YES,2,55,100,80,44,10,3,5,0,HIGH
4783,How to Choose the Right Dog Bed Size,publish,Dog Beds,619,YES,2,55,100,76,44,9,3,4,0,HIGH
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,publish,Pet Care,713,YES,2,55,99,85,44,6,3,3,0,HIGH
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,publish,Dog Supplies,620,YES,2,55,94,87,52,6,2,3,0,HIGH
4571,Pet First Aid Basics: What Every Owner Should Know,publish,Dog Supplies,599,YES,2,55,94,66,44,6,2,3,0,HIGH
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,publish,Dog Care,635,YES,2,55,81,78,44,5,3,2,0,HIGH
4563,Dog Grooming Basics: A Complete Guide for Owners,publish,Dog Care,656,YES,2,55,93,86,44,7,3,1,0,HIGH
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,publish,Cat Supplies,757,YES,2,55,93,92,60,5,7,1,0,HIGH
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,publish,Dog Harnesses,531,YES,2,55,81,85,36,4,5,2,0,HIGH
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",publish,Dog Care,817,YES,2,55,100,82,52,7,8,4,0,HIGH
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,publish,Cat Supplies,629,YES,2,55,100,89,36,7,7,2,0,HIGH
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,publish,Cat Supplies,569,YES,2,55,100,86,36,6,6,4,0,HIGH
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,publish,Cat Supplies,725,YES,2,55,100,84,60,10,6,4,0,HIGH
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,publish,Dog Supplies,801,YES,2,55,100,77,60,10,6,4,0,HIGH
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,publish,Dog Supplies,774,YES,2,55,100,75,60,10,7,9,0,HIGH
4125,Best Dog Training Treats UK (2026) – Reward Guide,publish,Buying Guides,762,YES,2,55,100,78,60,10,6,4,0,HIGH
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,publish,Buying Guides,874,YES,2,55,100,79,60,12,6,6,0,HIGH
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,publish,Dog Health,853,YES,2,55,100,82,68,11,7,5,0,HIGH
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,publish,Dog Health,788,YES,2,55,100,82,60,10,6,4,0,HIGH
4089,Best Dog Health and Care UK (2026) – Complete Guide,publish,Dog Health,908,YES,2,55,100,85,60,11,6,5,0,HIGH
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,publish,Dog Food,1610,YES,2,55,100,66,76,10,15,5,3,HIGH
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,publish,Buying Guides,594,YES,2,55,100,86,36,9,4,0,0,HIGH
4789,Best Types of Dog Toys for Different Play Styles,publish,Dog Supplies,769,YES,3,75,100,81,76,10,3,3,0,HIGH
4573,Seasonal Pet Safety: Protecting Pets Through the Year,publish,Pet Care,567,YES,3,75,86,86,36,6,2,2,0,HIGH
4568,Dog Dental Health: A Practical Care Guide,publish,Dog Care,626,YES,3,75,91,89,44,6,3,2,0,HIGH
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,publish,Cat Supplies,824,YES,3,75,100,80,60,11,5,5,0,HIGH
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,publish,Cat Supplies,753,YES,3,75,100,73,60,10,6,4,0,HIGH
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,publish,Cat Supplies,745,YES,3,75,100,78,60,9,7,3,0,HIGH
4314,Best Cat Litter Trays UK (2026) – Complete Guide,publish,Cat Supplies,988,YES,3,75,100,77,76,12,6,5,0,HIGH
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,publish,Cat Supplies,743,YES,3,75,100,80,60,10,6,4,0,HIGH
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,publish,Cat Supplies,777,YES,3,75,100,78,60,10,6,4,0,HIGH
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,publish,Cat Supplies,934,YES,3,75,100,74,68,11,6,5,0,HIGH
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,publish,Cat Supplies,782,YES,3,75,100,78,60,10,5,4,0,HIGH
4272,Best Cat ID Tags UK (2026) – Identification Guide,publish,Cat Supplies,794,YES,3,75,100,81,60,10,6,4,0,HIGH
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,publish,Cat Supplies,778,YES,3,75,100,81,60,10,5,4,0,HIGH
4258,Best Cat Collars UK (2026) – Complete Safety Guide,publish,Cat Supplies,911,YES,3,75,100,89,60,11,6,4,0,HIGH
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,publish,Cat Supplies,778,YES,3,75,100,71,68,10,6,5,0,HIGH
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,publish,Cat Supplies,760,YES,3,75,100,83,60,10,5,4,0,HIGH
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,publish,Cat Supplies,724,YES,3,75,100,76,60,9,6,3,0,HIGH
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,publish,Cat Supplies,779,YES,3,75,100,75,60,10,5,5,0,HIGH
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,publish,Cat Supplies,762,YES,3,75,100,81,60,9,5,3,0,HIGH
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,publish,Cat Supplies,698,YES,3,75,100,82,68,9,5,3,0,HIGH
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,publish,Cat Supplies,731,YES,3,75,100,82,60,9,5,3,0,HIGH
4202,Best Cat Beds UK (2026) – Complete Guide,publish,Cat Supplies,853,YES,3,75,100,82,60,9,7,3,0,HIGH
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,publish,Cat Supplies,750,YES,3,75,100,82,60,9,6,7,0,HIGH
4188,Best Catnip Toys UK (2026) – What Works and Why,publish,Cat Supplies,783,YES,3,75,100,77,68,8,6,3,0,HIGH
