post_id,title,cluster,refs_added,sources,status
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Li,pet_care_general,3,"RSPCA, PDSA, Blue Cross",updated
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Do,dog_toy,3,"RSPCA, Blue Cross, Battersea",updated
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Throug,pet_care_general,3,"RSPCA, PDSA, Blue Cross",updated
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Throu,dog_toy,3,"RSPCA, Blue Cross, Battersea",updated
6047,Play Recovery After Surgery: Gentle Enrichment for Healing D,pet_care_general,3,"RSPCA, PDSA, Blue Cross",updated
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,dog_toy,3,"RSPCA, Blue Cross, Battersea",updated
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,dog_toy,3,"RSPCA, Blue Cross, Battersea",updated
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart ,pet_care_general,3,"RSPCA, PDSA, Blue Cross",updated
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Inst,pet_care_general,3,"RSPCA, PDSA, Blue Cross",updated
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,dog_toy,3,"RSPCA, Blue Cross, Battersea",updated
5950,Dog Toy Durability Guide: What Lasts and What Does Not,dog_toy,3,"RSPCA, Blue Cross, Battersea",updated
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",dog_toy,3,"RSPCA, Blue Cross, Battersea",updated
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing,pet_care_general,3,"RSPCA, PDSA, Blue Cross",updated
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Me,pet_care_general,3,"RSPCA, PDSA, Blue Cross",updated
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Acc,dog_toy,3,"RSPCA, Blue Cross, Battersea",updated
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Sp,pet_care_general,3,"RSPCA, PDSA, Blue Cross",updated
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistake",pet_care_general,3,"RSPCA, PDSA, Blue Cross",updated
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your D,pet_care_general,3,"RSPCA, PDSA, Blue Cross",updated
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too ,dog_toy,3,"RSPCA, Blue Cross, Battersea",updated
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,dog_toy,3,"RSPCA, Blue Cross, Battersea",updated
5523,"Dog Training Equipment Explained: Tools, Uses, and What to A",pet_care_general,3,"RSPCA, PDSA, Blue Cross",updated
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,pet_care_general,3,"RSPCA, PDSA, Blue Cross",updated
5512,Dog Behaviour Explained: Understanding Your Dog's Body Langu,pet_care_general,3,"RSPCA, PDSA, Blue Cross",updated
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend The,dog_toy,3,"RSPCA, Blue Cross, Battersea",updated
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain ",dog_toy,3,"RSPCA, Blue Cross, Battersea",updated
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,dog_toy,3,"RSPCA, Blue Cross, Battersea",updated
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ide",pet_care_general,3,"RSPCA, PDSA, Blue Cross",updated
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engage,dog_toy,3,"RSPCA, Blue Cross, Battersea",updated
5464,Pet Grooming Glossary: Understanding Grooming Terms and Tech,dog_care,3,"RSPCA, PDSA, Blue Cross",updated
5462,Dog Training Terminology Explained: Key Concepts for New Own,pet_care_general,3,"RSPCA, PDSA, Blue Cross",updated
