orphan_post_id,orphan_title,linking_post_id,linking_post_title,anchor_text,status
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",5415,Dog Play Styles Explained: Understanding How Your Dog Plays,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",success_inserted_before_editorial
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet","Dog Training Equipment Explained: Tools, Uses, and What to Avoid",success_appended_at_end
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",5414,Cat Toy Types Explained: A Complete Glossary,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",success_inserted_before_editorial
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet","Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",success_appended_to_existing
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",5415,Dog Play Styles Explained: Understanding How Your Dog Plays,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",success_appended_to_existing
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",5414,Cat Toy Types Explained: A Complete Glossary,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",success_appended_to_existing
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Pet Health Terminology: A Guide to Common Veterinary Terms,success_appended_to_existing
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Pet Health Terminology: A Guide to Common Veterinary Terms,success_appended_to_existing
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Pet Health Terminology: A Guide to Common Veterinary Terms,success_appended_to_existing
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,success_inserted_before_editorial
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,5414,Cat Toy Types Explained: A Complete Glossary,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,success_appended_to_existing
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,success_appended_to_existing
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,success_appended_to_existing
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,success_appended_to_existing
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,success_appended_to_existing
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods","Pet Toy Safety: Understanding Materials, Hazards, and Standards",success_inserted_before_editorial
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",4787,Dog Toy Safety: What Every Owner Needs to Know,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",success_inserted_before_editorial
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",4573,Seasonal Pet Safety: Protecting Pets Through the Year,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",success_inserted_before_editorial
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,4790,DIY Dog Toys: Safe Homemade Options,Senior Dog Toys: Gentle Play Options for Older Dogs,success_inserted_before_editorial
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Senior Dog Toys: Gentle Play Options for Older Dogs,success_inserted_before_editorial
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Senior Dog Toys: Gentle Play Options for Older Dogs,success_appended_to_existing
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Pet Grooming Glossary: Understanding Grooming Terms and Techniques,success_appended_to_existing
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,success_appended_to_existing
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,success_appended_to_existing
5425,Dog Toys FAQ: Common Questions Answered,5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys FAQ: Common Questions Answered,success_inserted_before_editorial
5425,Dog Toys FAQ: Common Questions Answered,4789,Best Types of Dog Toys for Different Play Styles,Dog Toys FAQ: Common Questions Answered,success_inserted_before_editorial
5425,Dog Toys FAQ: Common Questions Answered,3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys FAQ: Common Questions Answered,success_inserted_before_last_separator
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Indoor vs Outdoor Dog Toys: Choosing the Right Type,success_appended_to_existing
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,4790,DIY Dog Toys: Safe Homemade Options,Indoor vs Outdoor Dog Toys: Choosing the Right Type,success_appended_to_existing
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,5423,Dog Toy Enrichment: Beyond Basic Fetch,Indoor vs Outdoor Dog Toys: Choosing the Right Type,success_inserted_before_editorial
5418,Dog Harness Types Explained: Finding the Right Fit,4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harness Types Explained: Finding the Right Fit,success_inserted_before_last_separator
5418,Dog Harness Types Explained: Finding the Right Fit,4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harness Types Explained: Finding the Right Fit,success_appended_at_end
5418,Dog Harness Types Explained: Finding the Right Fit,4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harness Types Explained: Finding the Right Fit,success_appended_at_end
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,4570,First-Time Dog Owner Essentials: What You Need to Know,Puppy Care Essentials: Key Terms Every New Owner Should Know,success_inserted_before_editorial
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care Essentials: Key Terms Every New Owner Should Know,success_inserted_before_editorial
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,4568,Dog Dental Health: A Practical Care Guide,Puppy Care Essentials: Key Terms Every New Owner Should Know,success_inserted_before_last_separator
5416,Dog Bed Types Explained: A Complete Glossary,4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Bed Types Explained: A Complete Glossary,success_inserted_before_editorial
5416,Dog Bed Types Explained: A Complete Glossary,4783,How to Choose the Right Dog Bed Size,Dog Bed Types Explained: A Complete Glossary,success_inserted_before_editorial
5416,Dog Bed Types Explained: A Complete Glossary,3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Bed Types Explained: A Complete Glossary,success_inserted_before_last_separator
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,5419,Cat Care Basics: A Glossary for New Cat Owners,Multi-Pet Household Tips: Living with Dogs and Cats Together,success_inserted_before_editorial
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,4573,Seasonal Pet Safety: Protecting Pets Through the Year,Multi-Pet Household Tips: Living with Dogs and Cats Together,success_appended_to_existing
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Multi-Pet Household Tips: Living with Dogs and Cats Together,success_inserted_before_editorial
4414,Harness vs Collar: Which Is Better for Your Dog?,4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Harness vs Collar: Which Is Better for Your Dog?,success_inserted_before_last_separator
4414,Harness vs Collar: Which Is Better for Your Dog?,4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Harness vs Collar: Which Is Better for Your Dog?,success_inserted_before_last_separator
4414,Harness vs Collar: Which Is Better for Your Dog?,4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Harness vs Collar: Which Is Better for Your Dog?,success_appended_to_existing
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",How to Measure Your Dog for a Harness: Step-by-Step Guide,success_appended_to_existing
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,4414,Harness vs Collar: Which Is Better for Your Dog?,How to Measure Your Dog for a Harness: Step-by-Step Guide,success_inserted_before_last_separator
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,4568,Dog Dental Health: A Practical Care Guide,How to Measure Your Dog for a Harness: Step-by-Step Guide,success_appended_to_existing
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",success_appended_to_existing
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",4563,Dog Grooming Basics: A Complete Guide for Owners,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",success_inserted_before_last_separator
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",4414,Harness vs Collar: Which Is Better for Your Dog?,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",success_appended_to_existing
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,success_inserted_before_last_separator
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,4408,How Often Should You Replace Cat Toys? A Practical Guide,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,success_inserted_before_last_separator
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,4415,Cat Toy Safety Guide: What Every Owner Should Know,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,success_inserted_before_last_separator
4408,How Often Should You Replace Cat Toys? A Practical Guide,4415,Cat Toy Safety Guide: What Every Owner Should Know,How Often Should You Replace Cat Toys? A Practical Guide,success_appended_to_existing
4408,How Often Should You Replace Cat Toys? A Practical Guide,4410,Cat Enrichment Activities Beyond Toys: Complete Guide,How Often Should You Replace Cat Toys? A Practical Guide,success_appended_to_existing
4408,How Often Should You Replace Cat Toys? A Practical Guide,4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,How Often Should You Replace Cat Toys? A Practical Guide,success_inserted_before_last_separator
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,4410,Cat Enrichment Activities Beyond Toys: Complete Guide,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,success_appended_to_existing
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,success_appended_to_existing
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,4415,Cat Toy Safety Guide: What Every Owner Should Know,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,success_appended_to_existing
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,5419,Cat Care Basics: A Glossary for New Cat Owners,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,success_appended_to_existing
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,success_appended_at_end
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,4415,Cat Toy Safety Guide: What Every Owner Should Know,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,success_appended_to_existing
