# generated_at: 2026-05-27T20:48:03Z
# source_server: 167.99.198.145
# git_commit: 078d7e2
# generated_by: Phase10B_Authority_Expansion_Generator
# data_source_label: live_wordpress_api + live_sitemap + live_site_crawl
# total_posts: 58
# in_sitemap: 58
# missing: 0
# sitemap_health: HEALTHY
# clusters_tracked: 15
# approval_status: GREEN_auto
# next_action: continue_monitoring_6h_interval
post_id,slug,title,url,cluster,categories,in_sitemap,published_date,last_modified,days_since_publish,indexing_status,crawl_priority,orphan_risk,approval_status,next_action
4335,best-cat-litter-disposal-uk,Best Cat Litter Disposal UK (2026) – Waste Managem,https://pethubonline.com/best-cat-litter-disposal-uk,cat_litter,Cat Supplies; Pet Care; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4328,best-self-cleaning-litter-trays-uk,Best Self-Cleaning Litter Trays UK (2026) – Automa,https://pethubonline.com/best-self-cleaning-litter-trays-uk,cat_litter,Cat Supplies; Pet Care; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4321,best-cat-litter-uk,Best Cat Litter UK (2026) – Types &#038; Compariso,https://pethubonline.com/best-cat-litter-uk,cat_litter,Cat Supplies; Pet Care; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4314,best-cat-litter-trays-uk,Best Cat Litter Trays UK (2026) – Complete Guide,https://pethubonline.com/best-cat-litter-trays-uk,cat_litter,Cat Supplies; Pet Care; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4307,best-wall-mounted-cat-scratchers-uk,Best Wall-Mounted Cat Scratchers UK (2026) – Space,https://pethubonline.com/best-wall-mounted-cat-scratchers-uk,cat_scratching,Cat Supplies; Pet Care; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4300,best-cardboard-cat-scratchers-uk,Best Cardboard Cat Scratchers UK (2026) – Budget F,https://pethubonline.com/best-cardboard-cat-scratchers-uk,cat_scratching,Cat Supplies; Pet Care; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4293,best-cat-trees-uk,Best Cat Trees UK (2026) – Climbing &#038; Scratch,https://pethubonline.com/best-cat-trees-uk,cat_scratching,Cat Supplies; Pet Care; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4286,best-cat-scratching-posts-uk,Best Cat Scratching Posts UK (2026) – Complete Gui,https://pethubonline.com/best-cat-scratching-posts-uk,cat_scratching,Cat Supplies; Pet Care; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4279,best-cat-harnesses-uk,Best Cat Harnesses UK (2026) – Safe Walking Guide,https://pethubonline.com/best-cat-harnesses-uk,other,Cat Supplies; Pet Care; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4272,best-cat-id-tags-uk,Best Cat ID Tags UK (2026) – Identification Guide,https://pethubonline.com/best-cat-id-tags-uk,other,Cat Supplies; Pet Care; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
