cluster,current_avg,target_avg,action_required,posts_affected,estimated_lift,priority
Indoor Cats,57.8,80.0,Add UK prices/measurements/timelines to 10 posts,10,15.5,1
Puppy Care,61.3,80.0,Add UK prices/measurements/timelines to 16 posts,16,13.1,2
Dog Beds,60.3,80.0,Add UK prices/measurements/timelines to 18 posts,18,13.8,3
Dog Care,55.7,80.0,Add UK prices/measurements/timelines to 1 posts,1,17.0,4
Cat Supplies,65.5,80.0,Add UK prices/measurements/timelines to 16 posts,16,10.1,5
Cat Toys,59.7,80.0,Add UK prices/measurements/timelines to 14 posts,14,14.2,6
Dog Toys,59.0,80.0,Add UK prices/measurements/timelines to 22 posts,22,14.7,7
Dog Supplies,60.1,80.0,Add UK prices/measurements/timelines to 25 posts,25,13.9,8
Dog Food,72.8,80.0,Add UK prices/measurements/timelines to 6 posts,6,5.0,9
Dog Harnesses,54.6,80.0,Add UK prices/measurements/timelines to 8 posts,8,17.8,10
Dog Health,65.2,80.0,Add UK prices/measurements/timelines to 6 posts,6,10.4,11
Dog Training,63.2,80.0,Add UK prices/measurements/timelines to 7 posts,7,11.8,12
Pet Care General,50.4,80.0,Add UK prices/measurements/timelines to 2 posts,2,20.7,13
Uncategorized,56.1,80.0,Add UK prices/measurements/timelines to 7 posts,7,16.7,14
