cluster,post_count,avg_humanization,avg_decision_confidence,avg_practical_depth,avg_answer_ownership,weakest_dimension,posts_fully_humanized,humanization_coverage_pct
Cat Supplies,12,17.5,73.0,56.7,68.0,humanization,0,0.0
Cat Toys,13,10.8,38.5,52.3,70.2,humanization,1,7.7
Dog Beds,7,26.4,62.7,68.6,73.7,humanization,0,0.0
Dog Care,2,17.5,22.5,50.0,72.0,humanization,0,0.0
Dog Food,3,15.0,52.0,66.7,74.7,humanization,0,0.0
Dog Grooming,8,38.1,46.5,85.0,70.5,humanization,2,25.0
Dog Harnesses,9,5.6,46.3,51.1,77.3,humanization,0,0.0
Dog Health,6,25.0,45.0,76.7,76.0,humanization,0,0.0
Dog Toys,24,24.8,34.4,59.2,78.3,humanization,1,4.2
Dog Training,8,27.5,54.6,47.5,72.5,humanization,1,12.5
Educational,25,8.8,32.1,57.6,73.3,humanization,0,0.0
Puppy Care,1,35.0,19.0,80.0,76.0,decision_confidence,0,0.0
Uncategorized,26,9.2,25.1,58.5,77.4,humanization,0,0.0
