cluster,post_id,title,slug,word_count,snippet_readiness_score,has_definition,has_numbered_list,has_bullet_list,table_count,has_faq,has_how_to,has_direct_answer,question_h2_count,has_key_takeaways,snippet_opportunities,optimization_actions
Dog Care,5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,puppy-care-essentials-glossary,3147,60,Yes,No,Yes,0,Yes,Yes,No,5,Yes,"Paragraph Snippet, How-To Snippet, List Snippet, FAQ Rich Result, People Also Ask, AI Citation",Add comparison or data table; Rewrite first paragraph as direct answer
Uncategorized,6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,confidence-building-play-dogs,2136,75,Yes,No,Yes,2,Yes,Yes,No,7,Yes,"Paragraph Snippet, How-To Snippet, List Snippet, Table Snippet, FAQ Rich Result, People Also Ask, AI Citation",Rewrite first paragraph as direct answer
Uncategorized,6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,rotating-puzzle-complexity-dogs,2257,75,Yes,No,Yes,2,Yes,Yes,No,9,Yes,"Paragraph Snippet, How-To Snippet, List Snippet, Table Snippet, FAQ Rich Result, People Also Ask, AI Citation",Rewrite first paragraph as direct answer
Uncategorized,5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,indoor-cat-care-guide,4662,75,Yes,No,Yes,2,Yes,Yes,No,12,Yes,"Paragraph Snippet, How-To Snippet, List Snippet, Table Snippet, FAQ Rich Result, People Also Ask, AI Citation",Rewrite first paragraph as direct answer
Uncategorized,5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",pet-enrichment-guide,4315,75,Yes,No,Yes,2,Yes,Yes,No,10,Yes,"Paragraph Snippet, How-To Snippet, List Snippet, Table Snippet, FAQ Rich Result, People Also Ask, AI Citation",Rewrite first paragraph as direct answer
Uncategorized,5462,Dog Training Terminology Explained: Key Concepts for New Owners,dog-training-terminology-explained,2994,75,Yes,No,Yes,2,Yes,Yes,No,9,Yes,"Paragraph Snippet, How-To Snippet, List Snippet, Table Snippet, FAQ Rich Result, People Also Ask, AI Citation",Rewrite first paragraph as direct answer
Uncategorized,5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,best-indoor-cat-toys,3391,75,Yes,No,Yes,2,Yes,Yes,No,8,Yes,"Paragraph Snippet, How-To Snippet, List Snippet, Table Snippet, FAQ Rich Result, People Also Ask, AI Citation",Rewrite first paragraph as direct answer
Cat Toys,5032,Cat Toys FAQ: Common Questions Answered,cat-toys-faq,4546,75,No,Yes,Yes,2,Yes,Yes,No,10,Yes,"How-To Snippet, List Snippet, Table Snippet, FAQ Rich Result, People Also Ask, AI Citation",Add definition paragraph in first 100 words; Rewrite first paragraph as direct answer
Dog Supplies,4571,Pet First Aid Basics: What Every Owner Should Know,pet-first-aid-basics,3604,75,No,Yes,Yes,2,Yes,Yes,No,7,Yes,"How-To Snippet, List Snippet, Table Snippet, FAQ Rich Result, People Also Ask, AI Citation",Add definition paragraph in first 100 words; Rewrite first paragraph as direct answer
Dog Care,4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,seasonal-dog-care-guide,4183,75,No,Yes,Yes,3,Yes,Yes,No,7,Yes,"How-To Snippet, List Snippet, Table Snippet, FAQ Rich Result, People Also Ask, AI Citation",Add definition paragraph in first 100 words; Rewrite first paragraph as direct answer
Cat Supplies,4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,best-cat-nail-clippers-uk,2979,75,Yes,No,Yes,3,Yes,Yes,No,9,Yes,"Paragraph Snippet, How-To Snippet, List Snippet, Table Snippet, FAQ Rich Result, People Also Ask, AI Citation",Rewrite first paragraph as direct answer
Cat Supplies,4237,Best Cat Brushes UK (2026) – Guide by Coat Type,best-cat-brushes-uk,2979,75,Yes,No,Yes,3,Yes,Yes,No,8,Yes,"Paragraph Snippet, How-To Snippet, List Snippet, Table Snippet, FAQ Rich Result, People Also Ask, AI Citation",Rewrite first paragraph as direct answer
Dog Care,4563,Dog Grooming Basics: A Complete Guide for Owners,dog-grooming-basics-guide,3816,80,No,Yes,Yes,3,Yes,Yes,Yes,2,Yes,"Paragraph Snippet, How-To Snippet, List Snippet, Table Snippet, FAQ Rich Result, People Also Ask, AI Citation",Add definition paragraph in first 100 words
Dog Care,4414,Harness vs Collar: Which Is Better for Your Dog?,harness-vs-collar-which-is-better,4024,80,Yes,Yes,Yes,5,Yes,Yes,No,0,Yes,"Paragraph Snippet, How-To Snippet, List Snippet, Table Snippet, FAQ Rich Result, AI Citation",Rewrite first paragraph as direct answer; Reframe H2s as questions for PAA targeting
Dog Care,4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,how-to-measure-dog-for-harness,3504,80,Yes,Yes,Yes,1,Yes,Yes,No,0,Yes,"Paragraph Snippet, How-To Snippet, List Snippet, Table Snippet, FAQ Rich Result, AI Citation",Rewrite first paragraph as direct answer; Reframe H2s as questions for PAA targeting
