post_id,title,cluster,uk_authority,content_depth,structure_quality,evidence_strength,freshness,dominance_index,competitive_position
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Supplies,11.0,25,14.0,6.0,4,60.0,STRONG COMPETITIVE
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,17.1,25,14.0,5.5,4,65.6,STRONG COMPETITIVE
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Cat Supplies,12.3,25,14.0,3.5,4,58.8,STRONG COMPETITIVE
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,17.1,25.0,10.0,3.5,4,59.6,STRONG COMPETITIVE
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Supplies,11.2,25,12.0,3.5,9,60.7,STRONG COMPETITIVE
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Supplies,13.8,25.0,12.0,4.8,9,64.6,STRONG COMPETITIVE
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Supplies,11.4,23.0,12.0,3.5,9,58.9,STRONG COMPETITIVE
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Supplies,11.2,25.0,12.0,3.0,9,60.2,STRONG COMPETITIVE
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Supplies,11.2,25.0,12.0,3.0,9,60.2,STRONG COMPETITIVE
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Supplies,11.1,25.0,12.0,3.0,9,60.1,STRONG COMPETITIVE
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,11.1,25.0,14.2,3.0,9,62.3,STRONG COMPETITIVE
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,13.9,25.0,14.2,4.2,9,66.3,STRONG COMPETITIVE
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,11.1,25.0,14.2,4.5,9,63.8,STRONG COMPETITIVE
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,12.4,25,14.2,4.8,9,65.4,STRONG COMPETITIVE
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,14.0,25.0,14.2,4.0,9,66.2,STRONG COMPETITIVE
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,16.7,25.0,12.2,4.0,9,66.9,STRONG COMPETITIVE
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,14.1,25.0,12.2,4.0,9,64.3,STRONG COMPETITIVE
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,12.5,25,12.2,5.8,9,64.5,STRONG COMPETITIVE
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,11.1,25.0,14.2,3.0,9,62.3,STRONG COMPETITIVE
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,20.0,25,14.2,3.0,9,71.2,STRONG COMPETITIVE
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,14.0,25.0,14.2,4.0,9,66.2,STRONG COMPETITIVE
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,16.1,25.0,16.2,4.5,9,70.8,STRONG COMPETITIVE
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,13.9,25,12.2,3.0,9,63.1,STRONG COMPETITIVE
