cluster,competitor,pethub_advantage,pethub_avg_citation,pethub_avg_moat,displacement_opportunity
Dog Food,Pets at Home,deeper glossary/terminology; structured Gutenberg blocks for AI extraction; UK-focused with named UK authorities,92.3,84.7,"add UK pricing context to comparison tables; emphasize independent, unbiased editorial stance"
Dog Food,Zooplus,"deeper glossary/terminology; stronger UK trust signals (RSPCA, BVA, PDSA); structured Gutenberg blocks for AI extraction",92.3,84.7,add UK pricing context to comparison tables; maintain educational depth that retailers cannot match
Dog Food,Purina,deeper glossary/terminology; comparison tables and feature analysis; structured Gutenberg blocks for AI extraction,92.3,84.7,"strengthen named UK authority citations (BVA, RSPCA); highlight independent cross-brand analysis"
Dog Food,Rover,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",92.3,84.7,add community-oriented practical content
Dog Food,Cats.com,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",92.3,84.7,maintain current advantage
Dog Health,Pets at Home,deeper glossary/terminology; comparison tables and feature analysis; structured Gutenberg blocks for AI extraction,90.3,82.6,"emphasize independent, unbiased editorial stance; maintain educational depth that retailers cannot match"
Dog Health,Zooplus,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",90.3,82.6,maintain educational depth that retailers cannot match; reference retailer products while providing deeper analysis
Dog Health,Purina,deeper glossary/terminology; comparison tables and feature analysis; structured Gutenberg blocks for AI extraction,90.3,82.6,"strengthen named UK authority citations (BVA, RSPCA); highlight independent cross-brand analysis"
Dog Health,Rover,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",90.3,82.6,add community-oriented practical content
Dog Health,Cats.com,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",90.3,82.6,maintain current advantage
Dog Beds,Pets at Home,"deeper glossary/terminology; stronger UK trust signals (RSPCA, BVA, PDSA); structured Gutenberg blocks for AI extraction",92.1,81.4,add UK pricing context to comparison tables; maintain educational depth that retailers cannot match
Dog Beds,Zooplus,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",92.1,81.4,reference retailer products while providing deeper analysis
Dog Beds,Purina,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",92.1,81.4,maintain current advantage
Dog Beds,Rover,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",92.1,81.4,add community-oriented practical content
Dog Beds,Cats.com,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",92.1,81.4,maintain current advantage
Dog Care,Pets at Home,deeper glossary/terminology; comparison tables and feature analysis; structured Gutenberg blocks for AI extraction,91.9,81.6,"emphasize independent, unbiased editorial stance; maintain educational depth that retailers cannot match"
Dog Care,Zooplus,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",91.9,81.6,maintain educational depth that retailers cannot match; reference retailer products while providing deeper analysis
Dog Care,Purina,deeper glossary/terminology; comparison tables and feature analysis; structured Gutenberg blocks for AI extraction,91.9,81.6,"strengthen named UK authority citations (BVA, RSPCA); highlight independent cross-brand analysis"
Dog Care,Rover,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",91.9,81.6,add community-oriented practical content
Dog Care,Cats.com,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",91.9,81.6,maintain current advantage
Dog Supplies,Pets at Home,"deeper glossary/terminology; stronger UK trust signals (RSPCA, BVA, PDSA); structured Gutenberg blocks for AI extraction",88.6,79.1,add UK pricing context to comparison tables; maintain educational depth that retailers cannot match
Dog Supplies,Zooplus,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",88.6,79.1,maintain educational depth that retailers cannot match; reference retailer products while providing deeper analysis
Dog Supplies,Purina,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",88.6,79.1,maintain current advantage
Dog Supplies,Rover,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",88.6,79.1,add community-oriented practical content
Dog Supplies,Cats.com,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",88.6,79.1,maintain current advantage
Dog Toys,Pets at Home,"deeper glossary/terminology; stronger UK trust signals (RSPCA, BVA, PDSA); structured Gutenberg blocks for AI extraction",85.4,78.5,add UK pricing context to comparison tables; maintain educational depth that retailers cannot match
Dog Toys,Zooplus,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",85.4,78.5,maintain educational depth that retailers cannot match; reference retailer products while providing deeper analysis
Dog Toys,Purina,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",85.4,78.5,highlight independent cross-brand analysis
