id,title,cluster,reference_quality,comparison_usefulness,practical_specificity,extractability,trust_depth,summary_usefulness,citation_score
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,95,95,90,100,100,100,96.7
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,95,95,90,100,100,100,96.7
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,95,95,90,100,100,100,96.7
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,95,95,90,100,100,100,96.7
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,95,95,90,100,100,100,96.7
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,95,95,90,100,100,100,96.7
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,95,95,90,100,100,100,96.7
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,95,95,90,100,100,100,96.7
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,95,95,90,100,100,100,96.7
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,95,95,90,100,100,100,96.7
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,95,95,90,100,100,100,96.7
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,95,95,90,100,100,100,96.7
4791,How to Choose the Right Dog Training Treats,Training Supplies,95,95,90,100,100,100,96.7
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,95,95,90,100,100,100,96.7
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,95,95,90,100,100,100,96.7
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,95,95,90,100,100,100,96.7
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,95,95,90,100,100,100,96.7
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,95,95,90,100,100,100,96.7
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,95,95,90,100,100,100,96.7
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,95,95,90,100,100,100,96.7
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,95,95,90,100,100,100,96.7
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,95,95,90,100,100,100,96.7
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,95,95,90,100,100,100,96.7
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Training Supplies,95,95,90,100,100,100,96.7
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Training Supplies,95,95,90,100,100,100,96.7
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,95,95,90,100,100,100,96.7
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,95,95,90,100,100,100,96.7
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,95,95,90,100,100,100,96.7
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,95,95,90,100,100,100,96.7
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,95,95,90,100,100,100,96.7
