endpoint,http_status,response_type,status,returns_real_data,misleading,next_action,generated_at,source_server,git_commit_hash,generated_by,data_source_label,approval_status
/api/health,404,JSON,NOT_IMPLEMENTED,NO,NO,Implement in NOC routes (Phase 9E deployment pending restart),2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
/api/redis/status,404,JSON,NOT_IMPLEMENTED,NO,NO,Implement in NOC routes (Phase 9E deployment pending restart),2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
/api/postgres/status,404,JSON,NOT_IMPLEMENTED,NO,NO,Implement in NOC routes (Phase 9E deployment pending restart),2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
/api/event-bus/health,404,JSON,NOT_IMPLEMENTED,NO,NO,Implement in NOC routes (Phase 9E deployment pending restart),2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
/api/kill-switch/status,404,JSON,NOT_IMPLEMENTED,NO,NO,Implement in NOC routes (Phase 9E deployment pending restart),2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
/api/recovery/status,404,JSON,NOT_IMPLEMENTED,NO,NO,Implement in NOC routes (Phase 9E deployment pending restart),2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
/api/cache/status,404,JSON,NOT_IMPLEMENTED,NO,NO,Implement in NOC routes (Phase 9E deployment pending restart),2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
/api/queue/status,404,JSON,NOT_IMPLEMENTED,NO,NO,Implement in NOC routes (Phase 9E deployment pending restart),2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
/api/dlq/status,404,JSON,NOT_IMPLEMENTED,NO,NO,Implement in NOC routes (Phase 9E deployment pending restart),2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
/api/backup/status,200,JSON,UP,YES,NO,None,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
/api/agents,200,JSON,UP,YES,NO,None,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
/api/copilot/status,200,JSON,UP,YES,NO,None,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
/api/dlq/stats,200,JSON,UP,YES,NO,None,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
