# generated_at: 2026-05-27T20:16:06Z
# verification_type: post_bulk_update
# sitemap_before: 6
# sitemap_after: 58
# posts_recovered: 52
# still_missing: 0
# issues_found: 0
post_id,slug,title,was_in_sitemap,now_in_sitemap,status,content_changed,categories_changed,modified_before,modified_after,url_status
4335,best-cat-litter-disposal-uk,Best Cat Litter Disposal UK (2026) – Waste Management Guide,no,yes,RECOVERED,no,no,2026-05-27T20:57:58,2026-05-27T21:12:37,200
4328,best-self-cleaning-litter-trays-uk,Best Self-Cleaning Litter Trays UK (2026) – Automatic Option,no,yes,RECOVERED,no,no,2026-05-27T20:58:08,2026-05-27T21:12:40,200
4321,best-cat-litter-uk,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,no,yes,RECOVERED,no,no,2026-05-27T20:58:20,2026-05-27T21:12:42,200
4314,best-cat-litter-trays-uk,Best Cat Litter Trays UK (2026) – Complete Guide,no,yes,RECOVERED,no,no,2026-05-27T20:16:52,2026-05-27T21:12:42,200
4307,best-wall-mounted-cat-scratchers-uk,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,no,yes,RECOVERED,no,no,2026-05-27T20:16:56,2026-05-27T21:12:42,200
4300,best-cardboard-cat-scratchers-uk,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,no,yes,RECOVERED,no,no,2026-05-27T20:16:59,2026-05-27T21:12:43,200
4293,best-cat-trees-uk,Best Cat Trees UK (2026) – Climbing &#038; Scratching Towers,no,yes,RECOVERED,no,no,2026-05-27T20:17:03,2026-05-27T21:12:43,200
4286,best-cat-scratching-posts-uk,Best Cat Scratching Posts UK (2026) – Complete Guide,no,yes,RECOVERED,no,no,2026-05-27T20:17:06,2026-05-27T21:12:44,200
4279,best-cat-harnesses-uk,Best Cat Harnesses UK (2026) – Safe Walking Guide,no,yes,RECOVERED,no,no,2026-05-27T20:17:10,2026-05-27T21:12:44,200
4272,best-cat-id-tags-uk,Best Cat ID Tags UK (2026) – Identification Guide,no,yes,RECOVERED,no,no,2026-05-27T20:17:14,2026-05-27T21:12:45,200
4265,best-cat-gps-trackers-uk,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,no,yes,RECOVERED,no,no,2026-05-27T19:45:12,2026-05-27T21:12:45,200
4258,best-cat-collars-uk,Best Cat Collars UK (2026) – Complete Safety Guide,no,yes,RECOVERED,no,no,2026-05-27T19:45:17,2026-05-27T21:12:46,200
4251,best-cat-shampoo-uk,Best Cat Shampoo UK (2026) – When &#038; How to Bathe,no,yes,RECOVERED,no,no,2026-05-27T19:45:21,2026-05-27T21:12:46,200
4244,best-cat-nail-clippers-uk,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,no,yes,RECOVERED,no,no,2026-05-27T19:45:25,2026-05-27T21:12:46,200
4237,best-cat-brushes-uk,Best Cat Brushes UK (2026) – Guide by Coat Type,no,yes,RECOVERED,no,no,2026-05-27T19:45:29,2026-05-27T21:12:47,200
4230,best-cat-grooming-supplies-uk,Best Cat Grooming Supplies UK (2026) – Complete Guide,no,yes,RECOVERED,no,no,2026-05-27T19:45:35,2026-05-27T21:12:47,200
4223,best-cat-window-perches-uk,Best Cat Window Perches UK (2026) – Sunning &#038; Bird Watc,no,yes,RECOVERED,no,no,2026-05-27T19:45:40,2026-05-27T21:12:48,200
4216,best-cat-radiator-beds-uk,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,no,yes,RECOVERED,no,no,2026-05-27T19:45:45,2026-05-27T21:12:48,200
4209,best-heated-cat-beds-uk,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,no,yes,RECOVERED,no,no,2026-05-27T19:45:51,2026-05-27T21:12:49,200
4202,best-cat-beds-uk,Best Cat Beds UK (2026) – Complete Guide,no,yes,RECOVERED,no,no,2026-05-27T19:45:55,2026-05-27T21:12:49,200
4195,best-cat-toys-indoor-cats-uk,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,no,yes,RECOVERED,no,no,2026-05-27T19:46:00,2026-05-27T21:12:49,200
4188,best-catnip-toys-uk,Best Catnip Toys UK (2026) – What Works and Why,no,yes,RECOVERED,no,no,2026-05-27T19:46:05,2026-05-27T21:12:50,200
