id,title,cluster,citation_score,moat_score
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,96.7,83.6
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,95.8,82.9
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,95.8,81.4
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,95.8,81.4
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,95,83.6
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,95,80.7
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,95,84.3
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,95,82.1
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Training Supplies,95,83.6
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,95,83.6
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,95,83.6
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,95,87.9
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,94.2,81.4
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,94.2,82.9
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Training Supplies,94.2,83.6
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,93.3,79.3
4791,How to Choose the Right Dog Training Treats,Training Supplies,93.3,84.3
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,93.3,82.1
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,93.3,79.3
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,93.3,84.3
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,93.3,87.9
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,93.3,80.7
