id,title,cluster,comparison_added,checklist_added,next_steps_added,uk_enrichment,status
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Dog Food,skip,yes,yes,yes,updated
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Dog Food,skip,yes,yes,yes,updated
3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,Dog Food,yes,yes,yes,yes,updated
3838,Dry vs Wet Dog Food UK &#8211; An Honest Comparison Guide,Dog Food,yes,yes,yes,yes,updated
3837,Best Dry Dog Food UK (2026) &#8211; Evidence-Based Guide,Dog Food,yes,yes,yes,yes,updated
3836,Best Dog Food UK (2026) &#8211; Complete Buying Guide,Dog Food,yes,yes,yes,yes,updated
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,yes,yes,yes,yes,updated
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Educational,skip,yes,yes,yes,updated
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Educational,skip,yes,yes,yes,updated
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Educational,skip,yes,yes,yes,updated
5419,Cat Care Basics: A Glossary for New Cat Owners,Educational,skip,yes,yes,yes,updated
5416,Dog Bed Types Explained: A Complete Glossary,Educational,skip,yes,yes,yes,updated
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Educational,skip,yes,yes,yes,updated
5414,Cat Toy Types Explained: A Complete Glossary,Educational,skip,yes,yes,yes,updated
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Educational,skip,yes,yes,yes,updated
4272,Best Cat ID Tags UK (2026) – Identification Guide,Educational,skip,yes,yes,yes,updated
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Educational,skip,yes,yes,yes,updated
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Educational,skip,yes,yes,yes,updated
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Educational,skip,yes,yes,yes,updated
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Educational,skip,yes,yes,yes,updated
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Educational,skip,yes,yes,yes,updated
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,skip,yes,yes,yes,updated
5512,Dog Behaviour Explained: Understanding Your Dog&#8217;s Body Language and Actions,Dog Training,skip,yes,yes,yes,updated
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Dog Training,skip,yes,yes,yes,updated
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Dog Training,skip,yes,yes,yes,updated
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Training,skip,yes,yes,yes,updated
4791,How to Choose the Right Dog Training Treats,Dog Training,skip,yes,yes,yes,updated
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Training,skip,yes,yes,yes,updated
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,skip,yes,yes,yes,updated
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,skip,yes,yes,yes,updated
