id,title,cluster,score,elements_found
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,65,trust-footer|uk-authority-links|ai-transparency|editorial-process|corrections-policy
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,65,trust-footer|uk-authority-links|ai-transparency|editorial-process|corrections-policy
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,65,trust-footer|uk-authority-links|ai-transparency|editorial-process|corrections-policy
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Food,65,uk-authority-links|evaluation-methodology|ai-transparency|editorial-process|corrections-policy
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Food,50,uk-authority-links|ai-transparency|editorial-process|corrections-policy
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Food,50,uk-authority-links|ai-transparency|editorial-process|corrections-policy
4568,Dog Dental Health: A Practical Care Guide,Dog Health,50,uk-authority-links|ai-transparency|editorial-process|corrections-policy
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,50,uk-authority-links|ai-transparency|editorial-process|corrections-policy
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Dog Health,65,trust-footer|uk-authority-links|ai-transparency|editorial-process|corrections-policy
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,65,trust-footer|uk-authority-links|ai-transparency|editorial-process|corrections-policy
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,65,trust-footer|uk-authority-links|ai-transparency|editorial-process|corrections-policy
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Training,65,trust-footer|uk-authority-links|ai-transparency|editorial-process|corrections-policy
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,65,trust-footer|uk-authority-links|ai-transparency|editorial-process|corrections-policy
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,50,uk-authority-links|ai-transparency|editorial-process|corrections-policy
5033,How to Choose the Right Cat Toy for Your Cat’s Personality,Cat Toys,50,uk-authority-links|ai-transparency|editorial-process|corrections-policy
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,65,trust-footer|uk-authority-links|ai-transparency|editorial-process|corrections-policy
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,50,uk-authority-links|ai-transparency|editorial-process|corrections-policy
696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,Cat Supplies,65,trust-footer|uk-authority-links|ai-transparency|editorial-process|corrections-policy
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Grooming,65,trust-footer|uk-authority-links|ai-transparency|editorial-process|corrections-policy
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Grooming,65,trust-footer|uk-authority-links|ai-transparency|editorial-process|corrections-policy
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,65,trust-footer|uk-authority-links|ai-transparency|editorial-process|corrections-policy
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,65,trust-footer|uk-authority-links|ai-transparency|editorial-process|corrections-policy
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,65,trust-footer|uk-authority-links|ai-transparency|editorial-process|corrections-policy
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Dog Harnesses,65,trust-footer|uk-authority-links|ai-transparency|editorial-process|corrections-policy
4786,Where to Place Your Dog’s Bed: Location and Comfort Tips,Dog Beds,50,uk-authority-links|ai-transparency|editorial-process|corrections-policy
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,50,uk-authority-links|ai-transparency|editorial-process|corrections-policy
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,50,uk-authority-links|ai-transparency|editorial-process|corrections-policy
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Puppy Care,65,trust-footer|uk-authority-links|ai-transparency|editorial-process|corrections-policy
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,65,trust-footer|uk-authority-links|ai-transparency|editorial-process|corrections-policy
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,65,trust-footer|uk-authority-links|ai-transparency|editorial-process|corrections-policy
