cluster,post_count,practical_score,decision_score,citation_score,comparison_score,trust_score,extraction_score,cluster_dominance_score
Dog Food,5,74.4,100.0,80.0,96.0,61.0,100.0,85.1
Cat Supplies,23,63.5,99.8,78.4,56.7,61.0,100.0,76.1
Dog Health,8,54.9,94.8,78.1,70.8,65.5,100.0,75.7
Dog Supplies,7,60.9,99.6,74.9,51.1,73.3,97.1,74.7
Dog Care,12,54.6,96.4,73.1,69.8,64.6,98.3,74.4
Uncategorized,45,48.5,98.8,79.2,62.5,70.3,98.7,74.0
Dog Beds,15,58.8,94.2,64.5,75.5,60.1,97.3,73.7
Training Supplies,6,54.8,98.0,70.8,65.3,59.5,100.0,73.3
Dog Harnesses,7,47.7,98.3,79.7,55.0,65.0,100.0,72.3
Cat Toys,16,48.0,99.8,76.9,57.1,59.7,97.5,71.5
Puppy Care,2,54.0,96.0,58.0,79.0,59.5,90.0,70.8
Indoor Cats,6,39.7,98.5,80.8,49.3,66.7,100.0,69.9
Dog Toys,14,45.0,99.4,64.6,55.8,56.4,94.3,67.2
Pet Care,2,36.0,96.0,75.5,44.0,60.0,100.0,66.0
