cluster,current_posts,growth_this_cycle,saturation_pct,authority_acceleration,blueprint_completion_pct,publication_throughput,indexing_readiness,authority_velocity
Dog Supplies,61,8,81.3,83.0,79.9,HIGH,READY,ACCELERATING
Uncategorized,6,5,100.0,72.0,70.9,HIGH,READY,ACCELERATING
Cat Supplies,32,1,64.0,69.1,81.3,LOW,READY,ACCELERATING
Dog Care,12,1,60.0,63.2,70.6,LOW,READY,ACCELERATING
Dog Toys,14,6,56.0,58.8,53.8,HIGH,READY,GROWING
Dog Beds,9,1,60.0,58.8,68.3,LOW,READY,GROWING
Dog Harnesses,7,1,58.3,58.2,64.1,LOW,READY,GROWING
Buying Guides,3,0,25.0,57.4,74.2,LOW,EXPANDING,GROWING
Dog Health,5,0,41.7,56.6,73.9,LOW,EXPANDING,GROWING
Pet Care,29,1,72.5,53.1,59.1,LOW,READY,GROWING
Cat Toys,15,0,60.0,52.5,59.9,LOW,READY,GROWING
Product Reviews,43,0,71.7,51.0,59.3,LOW,READY,GROWING
Puppy Care,8,1,53.3,48.1,52.9,LOW,READY,GROWING
Dog Food,4,0,26.7,44.0,49.8,LOW,EXPANDING,GROWING
Training Supplies,6,0,40.0,42.8,49.1,LOW,EXPANDING,GROWING
Pet Beds,4,0,40.0,42.7,48.9,LOW,EXPANDING,GROWING
Interactive Toys,2,0,25.0,39.4,45.2,LOW,EXPANDING,NASCENT
Orthopaedic Care,2,0,25.0,39.0,44.6,LOW,EXPANDING,NASCENT
Pet Health,3,0,25.0,39.0,44.5,LOW,EXPANDING,NASCENT
Indoor Cats,1,0,16.7,37.2,42.6,LOW,EXPANDING,NASCENT
