cluster,element,count,total,pct,gap_vs_reference,priority_score
Dog Toys,faq,128,131,97.7,0,0
Dog Toys,comparison_table,121,131,92.4,0,0
Dog Toys,trust_footer,131,131,100.0,0,0
Dog Toys,at_a_glance,131,131,100.0,0,0
Dog Toys,key_takeaways,118,131,90.1,0,0
Dog Toys,uk_authority_refs,131,131,100.0,0,0
Dog Toys,how_we_evaluated,118,131,90.1,0,0
Dog Toys,why_we_reference,118,131,90.1,0,0
Dog Toys,common_mistakes,82,131,62.6,0,0
Dog Toys,when_to_seek_help,120,131,91.6,0,0
Dog Toys,beginner_recs,70,131,53.4,0,0
Dog Toys,budget_premium,88,131,67.2,0,0
Dog Toys,glossary,119,131,90.8,0,0
Dog Food,faq,117,120,97.5,0.2,0.02
Dog Food,comparison_table,109,120,90.8,1.6,0.14
Dog Food,trust_footer,120,120,100.0,0.0,0.0
Dog Food,at_a_glance,118,120,98.3,1.7,0.14
Dog Food,key_takeaways,105,120,87.5,2.6,0.21
Dog Food,uk_authority_refs,120,120,100.0,0.0,0.0
Dog Food,how_we_evaluated,105,120,87.5,2.6,0.18
Dog Food,why_we_reference,105,120,87.5,2.6,0.18
Dog Food,common_mistakes,80,120,66.7,-4.1,-0.25
Dog Food,when_to_seek_help,108,120,90.0,1.6,0.1
Dog Food,beginner_recs,56,120,46.7,6.7,0.4
Dog Food,budget_premium,76,120,63.3,3.9,0.2
Dog Food,glossary,109,120,90.8,0.0,0.0
Dog Beds,faq,105,111,94.6,3.1,0.31
Dog Beds,comparison_table,97,111,87.4,5.0,0.45
Dog Beds,trust_footer,111,111,100.0,0.0,0.0
Dog Beds,at_a_glance,109,111,98.2,1.8,0.14
Dog Beds,key_takeaways,93,111,83.8,6.3,0.5
Dog Beds,uk_authority_refs,111,111,100.0,0.0,0.0
Dog Beds,how_we_evaluated,94,111,84.7,5.4,0.38
Dog Beds,why_we_reference,94,111,84.7,5.4,0.38
Dog Beds,common_mistakes,60,111,54.1,8.5,0.51
Dog Beds,when_to_seek_help,95,111,85.6,6.0,0.36
Dog Beds,beginner_recs,58,111,52.3,1.1,0.07
Dog Beds,budget_premium,76,111,68.5,-1.3,-0.07
Dog Beds,glossary,101,111,91.0,-0.2,-0.01
Puppy Care,faq,79,85,92.9,4.8,0.48
Puppy Care,comparison_table,73,85,85.9,6.5,0.58
