id,title,type,word_count,trust_lint,content_quality,metadata,structure,safety,overall_gate,issues,fixes_applied
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,glossary,2358,FAIL,PASS,FAIL,PASS,PASS,PASS (after fixes),MISSING editorial process link | RECOMMENDED: AI transparency disclosure missing | MISSING slug,slug set to 'indoor-cat-terminology-a-complete-glossary-for-cat-owners' | added editorial process footer (glossary)
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,glossary,2231,FAIL,PASS,FAIL,PASS,PASS,PASS (after fixes),MISSING editorial process link | RECOMMENDED: AI transparency disclosure missing | MISSING slug,slug set to 'puppy-care-glossary-essential-terms-for-new-puppy-owners' | added editorial process footer (glossary)
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,glossary,2158,FAIL,PASS,FAIL,PASS,PASS,PASS (after fixes),MISSING editorial process link | RECOMMENDED: AI transparency disclosure missing | MISSING slug,slug set to 'dog-health-terminology-understanding-common-veterinary-and-care-terms' | added editorial process footer (glossary)
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,glossary,2313,FAIL,PASS,FAIL,PASS,PASS,PASS (after fixes),MISSING editorial process link | MISSING slug,slug set to 'dog-food-glossary-understanding-ingredients-and-nutrition-labels' | added editorial process footer (glossary)
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",glossary,2068,FAIL,PASS,FAIL,PASS,PASS,PASS (after fixes),MISSING editorial process link | RECOMMENDED: AI transparency disclosure missing | MISSING slug,slug set to 'dog-bed-terminology-materials-types-and-sizing-terms-explained' | added editorial process footer (glossary)
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,glossary,2308,FAIL,PASS,FAIL,PASS,PASS,PASS (after fixes),MISSING editorial process link | RECOMMENDED: AI transparency disclosure missing | MISSING slug,slug set to 'cat-supply-essentials-glossary-understanding-cat-care-products' | added editorial process footer (glossary)
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,glossary,2430,FAIL,PASS,FAIL,PASS,PASS,PASS (after fixes),MISSING editorial process link | RECOMMENDED: AI transparency disclosure missing | MISSING slug,slug set to 'cat-toy-terminology-understanding-play-types-and-toy-features' | added editorial process footer (glossary)
7332,How to Wash and Dry a Dog Bed Safely,educational_spoke,1740,PASS,PASS,PASS,PASS,PASS,PASS,RECOMMENDED: no comparison table found,
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,educational_spoke,1579,PASS,PASS,PASS,PASS,PASS,PASS,RECOMMENDED: no comparison table found,
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,educational_spoke,1539,PASS,PASS,PASS,PASS,PASS,PASS,RECOMMENDED: no comparison table found,
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,educational_spoke,1188,PASS,PASS,PASS,PASS,PASS,PASS,RECOMMENDED: no comparison table found,
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,educational_spoke,1172,PASS,PASS,PASS,PASS,PASS,PASS,RECOMMENDED: no comparison table found,
7337,Puppy Vaccination Schedule UK: What to Expect and When,educational_spoke,1092,PASS,PASS,PASS,PASS,PASS,PASS,RECOMMENDED: no comparison table found,
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,educational_spoke,915,PASS,PASS,PASS,PASS,PASS,PASS,RECOMMENDED: no comparison table found,
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,educational_spoke,990,PASS,PASS,PASS,PASS,PASS,PASS,RECOMMENDED: no comparison table found,
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",educational_spoke,990,PASS,PASS,PASS,PASS,PASS,PASS,RECOMMENDED: no comparison table found,
7341,First Week with a New Puppy: A Day-by-Day Guide,educational_spoke,1072,PASS,PASS,PASS,PASS,PASS,PASS,RECOMMENDED: no comparison table found,
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,educational_spoke,907,PASS,PASS,PASS,PASS,PASS,PASS,RECOMMENDED: no comparison table found,
7343,Indoor Cat Safety: Common Household Hazards for Cats,educational_spoke,903,PASS,PASS,PASS,PASS,PASS,PASS,RECOMMENDED: no comparison table found,
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,educational_spoke,829,PASS,PASS,PASS,PASS,PASS,PASS,RECOMMENDED: no comparison table found,
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,educational_spoke,867,PASS,PASS,PASS,PASS,PASS,PASS,RECOMMENDED: no comparison table found,
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,educational_spoke,988,PASS,PASS,PASS,PASS,PASS,PASS,RECOMMENDED: no comparison table found,
7828,How We Evaluate Pet Products and Create Our Guides,editorial_brand,1355,PASS,PASS,PASS,PASS,PASS,PASS,RECOMMENDED: no categories assigned,
7829,Our Editorial Mission,editorial_brand,723,FAIL,PASS,PASS,PASS,PASS,PASS (after fixes),MISSING UK authority reference | MISSING editorial process link | RECOMMENDED: no categories assigned,added editorial process footer | added UK authority reference
8171,Why PetHub Online Exists,editorial_brand,604,FAIL,PASS,PASS,PASS,PASS,PASS (after fixes),MISSING trust footer (Editorial Standards) | MISSING editorial process link | MISSING affiliate disclosure link,added trust footer
8172,Our Research Standards,editorial_brand,1054,FAIL,PASS,PASS,PASS,PASS,PASS (after fixes),MISSING editorial process link | MISSING affiliate disclosure link,added editorial process footer
