source_id,source_title,source_cluster,target_id,target_title,target_cluster,anchor_text,is_cross_cluster
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Supplies,5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Supplies,Cognitive Enrichment for Senior Dogs,False
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Supplies,5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Supplies,Scent Game Enrichment for Dogs,False
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Supplies,5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Supplies,Crate Play and Enrichment,False
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Supplies,5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Supplies,Building Enrichment Schedules,False
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Supplies,6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Supplies,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,False
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Toys,Recognising Overstimulation Signs,False
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Supplies,Building Enrichment Schedules,True
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Supplies,Safe Tug Play for Dogs,True
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,Mental Stimulation Toys for Dogs,False
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Supplies,5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Supplies,Scent Game Enrichment for Dogs,False
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Supplies,5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,Dog Toy Materials Compared,True
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Supplies,5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,Enrichment Beyond Fetch,True
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Supplies,5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,Mental Stimulation Toys for Dogs,True
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Supplies,5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Supplies,Building Enrichment Schedules,False
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Supplies,6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Supplies,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,False
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Toys,Recognising Overstimulation Signs,False
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,Mental Stimulation Toys for Dogs,False
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,Enrichment Beyond Fetch,False
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Supplies,Scent Game Enrichment for Dogs,True
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Supplies,5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Supplies,Cognitive Enrichment for Senior Dogs,False
