post_id,title,cluster,conversion_sophistication_score,has_best_for_sections,has_suitability_guides,has_decision_trees,has_budget_vs_premium,has_beginner_recommendations
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,80,True,True,True,False,True
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,40,True,True,False,False,False
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Dog Food,80,True,True,True,False,True
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Dog Food,80,True,True,True,True,False
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Beds,80,True,True,True,True,False
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,100,True,True,True,True,True
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Care,60,False,True,True,False,True
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,100,True,True,True,True,True
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,80,True,True,True,True,False
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,80,True,True,True,True,False
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,60,False,True,True,True,False
4568,Dog Dental Health: A Practical Care Guide,Dog Health,100,True,True,True,True,True
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,60,True,True,True,False,False
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,60,True,True,True,False,False
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,100,True,True,True,True,True
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Dog Training,80,True,True,True,False,True
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Grooming,60,True,True,True,False,False
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Grooming,40,True,True,False,False,False
5033,How to Choose the Right Cat Toy for Your Cat’s Personality,Cat Toys,80,True,True,True,True,False
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,100,True,True,True,True,True
