id,title,cluster,evaluation_added,troubleshooting_added,scenario_added,tables_added,status
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,yes,yes,yes,2,updated
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,yes,yes,yes,1,updated
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,yes,yes,yes,1,updated
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,yes,yes,yes,1,updated
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,yes,yes,yes,2,updated
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,yes,yes,yes,1,updated
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Puppy Care,yes,yes,yes,2,updated
4568,Dog Dental Health: A Practical Care Guide,Dog Health,yes,yes,yes,1,updated
4570,First-Time Dog Owner Essentials: What You Need to Know,Puppy Care,yes,yes,yes,2,updated
4783,How to Choose the Right Dog Bed Size,Dog Beds,yes,yes,yes,1,updated
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,yes,yes,yes,1,updated
4785,How to Wash and Maintain Your Dog's Bed,Dog Beds,yes,yes,yes,1,updated
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,yes,yes,yes,1,updated
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,yes,yes,yes,2,updated
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,yes,yes,yes,1,updated
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Puppy Care,yes,yes,yes,1,updated
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,yes,yes,yes,2,updated
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,yes,yes,yes,2,updated
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,yes,yes,yes,1,updated
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,yes,yes,yes,1,updated
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,yes,yes,yes,1,updated
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,yes,yes,yes,1,updated
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,yes,yes,yes,1,updated
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,yes,yes,yes,1,updated
7337,Puppy Vaccination Schedule UK: What to Expect and When,Puppy Care,yes,yes,yes,1,updated
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Puppy Care,yes,yes,yes,1,updated
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Puppy Care,yes,yes,yes,1,updated
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Puppy Care,yes,yes,yes,1,updated
7341,First Week with a New Puppy: A Day-by-Day Guide,Puppy Care,yes,yes,yes,1,updated
